run_id,pair_id,role,target_foot,foot,actual_first_affected_foot,contact_episode_id,episode_start_sample,episode_end_sample_exclusive,touchdown_sample,physical_onset_sample,time_from_touchdown_to_onset_ms,active_physical_slip_intervals,maximum_contact_anchor_drift_m,stable_loaded_contact_valid,fall_time_s,fall_reason,first_fall_censor_boundary,post_fall_excluded_sample_count,air_mask_sample_count,touchdown_mask_sample_count,invalid_mask_sample_count,contralateral_physical_slip_contamination,variation_index,variation_id,phase_offset,phase_fraction,command_delay_s,initial_perturbation
supplemental_positive_v8_l00,v8_pair_00,positive,left,left,left,0,33,143,33,,,[],0.0017894917400553823,True,,,,0,0,10,13,False,9,V8_L00,-0.13999999999999996,0.27,0.02,"[0.0012416722727670785, 0.0005759409250333067, 0.0016629560975428685]"
supplemental_positive_v8_l00,v8_pair_00,positive,left,left,left,1,399,741,399,687,289,"[[687,740]]",0.05896137282252312,True,,,,0,0,10,18,False,9,V8_L00,-0.13999999999999996,0.27,0.02,"[0.0012416722727670785, 0.0005759409250333067, 0.0016629560975428685]"
supplemental_positive_v8_l00,v8_pair_00,positive,left,left,left,2,999,1284,999,1279,281,"[[1279,1284]]",0.0563955120742321,True,,,,0,0,10,10,False,9,V8_L00,-0.13999999999999996,0.27,0.02,"[0.0012416722727670785, 0.0005759409250333067, 0.0016629560975428685]"
supplemental_positive_v8_l00,v8_pair_00,positive,left,left,left,3,1285,1288,1285,,,[],0.0019357326673343778,False,,,,0,0,3,3,False,9,V8_L00,-0.13999999999999996,0.27,0.02,"[0.0012416722727670785, 0.0005759409250333067, 0.0016629560975428685]"
supplemental_positive_v8_l00,v8_pair_00,positive,left,left,left,4,1289,1342,1289,,,[],0.008726827800273895,True,,,,0,0,10,12,False,9,V8_L00,-0.13999999999999996,0.27,0.02,"[0.0012416722727670785, 0.0005759409250333067, 0.0016629560975428685]"
supplemental_positive_v8_l00,v8_pair_00,positive,left,left,left,5,1600,1883,1600,1882,283,"[[1882,1883]]",0.05276840552687645,True,,,,0,0,10,10,False,9,V8_L00,-0.13999999999999996,0.27,0.02,"[0.0012416722727670785, 0.0005759409250333067, 0.0016629560975428685]"
supplemental_positive_v8_l00,v8_pair_00,positive,left,left,left,6,1884,1944,1884,,,[],0.011123106814920902,True,,,,0,0,10,14,False,9,V8_L00,-0.13999999999999996,0.27,0.02,"[0.0012416722727670785, 0.0005759409250333067, 0.0016629560975428685]"
supplemental_positive_v8_l00,v8_pair_00,positive,left,left,left,7,2200,2484,2200,2482,283,"[[2482,2484]]",0.05334093049168587,True,,,,0,0,10,10,False,9,V8_L00,-0.13999999999999996,0.27,0.02,"[0.0012416722727670785, 0.0005759409250333067, 0.0016629560975428685]"
supplemental_positive_v8_l00,v8_pair_00,positive,left,left,left,8,2485,2543,2485,,,[],0.011310175061225891,True,,,,0,0,10,13,False,9,V8_L00,-0.13999999999999996,0.27,0.02,"[0.0012416722727670785, 0.0005759409250333067, 0.0016629560975428685]"
supplemental_positive_v8_l00,v8_pair_00,positive,left,left,left,9,2799,3000,2799,,,[],0.007168819196522236,True,,,,0,0,10,10,False,9,V8_L00,-0.13999999999999996,0.27,0.02,"[0.0012416722727670785, 0.0005759409250333067, 0.0016629560975428685]"
supplemental_positive_v8_l00,v8_pair_00,positive,left,right,left,0,48,425,48,,,[],0.0032265225891023874,True,,,,0,0,10,10,False,9,V8_L00,-0.13999999999999996,0.27,0.02,"[0.0012416722727670785, 0.0005759409250333067, 0.0016629560975428685]"
supplemental_positive_v8_l00,v8_pair_00,positive,left,right,left,1,706,1024,706,,,[],0.009558425284922123,True,,,,0,0,10,10,False,9,V8_L00,-0.13999999999999996,0.27,0.02,"[0.0012416722727670785, 0.0005759409250333067, 0.0016629560975428685]"
supplemental_positive_v8_l00,v8_pair_00,positive,left,right,left,2,1309,1624,1309,,,[],0.007955334149301052,True,,,,0,0,10,10,False,9,V8_L00,-0.13999999999999996,0.27,0.02,"[0.0012416722727670785, 0.0005759409250333067, 0.0016629560975428685]"
supplemental_positive_v8_l00,v8_pair_00,positive,left,right,left,3,1910,2224,1910,,,[],0.007857481017708778,True,,,,0,0,10,10,False,9,V8_L00,-0.13999999999999996,0.27,0.02,"[0.0012416722727670785, 0.0005759409250333067, 0.0016629560975428685]"
supplemental_positive_v8_l00,v8_pair_00,positive,left,right,left,4,2509,2824,2509,,,[],0.008289915509521961,True,,,,0,0,10,10,False,9,V8_L00,-0.13999999999999996,0.27,0.02,"[0.0012416722727670785, 0.0005759409250333067, 0.0016629560975428685]"
supplemental_control_v8_l00,v8_pair_00,control,left,left,none,0,33,143,33,,,[],0.0017894917400553823,True,,,,0,0,10,13,False,9,V8_L00,-0.13999999999999996,0.27,0.02,"[0.0012416722727670785, 0.0005759409250333067, 0.0016629560975428685]"
supplemental_control_v8_l00,v8_pair_00,control,left,left,none,1,399,765,399,,,[],0.004893219098448753,True,,,,0,0,10,15,False,9,V8_L00,-0.13999999999999996,0.27,0.02,"[0.0012416722727670785, 0.0005759409250333067, 0.0016629560975428685]"
supplemental_control_v8_l00,v8_pair_00,control,left,left,none,2,1026,1366,1026,,,[],0.0021957308053970337,True,,,,0,0,10,15,False,9,V8_L00,-0.13999999999999996,0.27,0.02,"[0.0012416722727670785, 0.0005759409250333067, 0.0016629560975428685]"
supplemental_control_v8_l00,v8_pair_00,control,left,left,none,3,1633,1966,1633,,,[],0.0016956118633970618,True,,,,0,0,10,15,False,9,V8_L00,-0.13999999999999996,0.27,0.02,"[0.0012416722727670785, 0.0005759409250333067, 0.0016629560975428685]"
supplemental_control_v8_l00,v8_pair_00,control,left,left,none,4,2232,2566,2232,,,[],0.0021686158142983913,True,,,,0,0,10,16,False,9,V8_L00,-0.13999999999999996,0.27,0.02,"[0.0012416722727670785, 0.0005759409250333067, 0.0016629560975428685]"
