run_id,pair_id,role,speed_mps,target_foot,target_phase,actual_onset_phase,severity,material_profile,control_type,variation_index,actual_first_affected_foot,target_touchdown_sample,target_touchdown_time_s,target_physical_onset_sample,target_physical_onset_time_s,touchdown_to_onset_ms,target_contact_episode_id,contralateral_physical_slip_contamination,valid_target_positive,wrong_foot_onset,bilateral_ambiguous,no_onset,fall_occurred,first_fall_sample,fall_reason,post_fall_excluded_sample_count,discarded,replaced,silently_relabelled,target_foot_patch_contact,target_foot_physical_slip,target_first,valid_pre_fall_duration_s,maximum_target_anchor_drift_m,source_valid,failure_reason,failed_attempt_preserved,development_only,variation_id,phase_offset,phase_fraction,command_delay_s,initial_perturbation
supplemental_positive_v8_l00,v8_pair_00,positive,0.15,left,mid_late_stance,mid_late_stance,moderate_v2,moderate_v2_M1,hard_normal,9,left,399,0.4000000000000003,687,0.6879999999999796,289,1,False,True,False,False,False,False,,,0,False,False,False,True,True,True,3.0,0.05896137282252312,True,,True,True,V8_L00,-0.13999999999999996,0.27,0.02,"[0.0012416722727670785, 0.0005759409250333067, 0.0016629560975428685]"
supplemental_positive_v8_l01,v8_pair_01,positive,0.15,left,mid_late_stance,mid_late_stance,moderate_v2,moderate_v2_M1,near_slip_non_event,10,left,399,0.4000000000000003,687,0.6879999999999796,289,1,False,True,False,False,False,False,,,0,False,False,False,True,True,True,3.0,0.06626404076814651,True,,True,True,V8_L01,-0.13999999999999996,0.27,0.03,"[0.0013403413903868015, 9.105988184313204e-05, 0.0014643070893949088]"
supplemental_positive_v8_l02,v8_pair_02,positive,0.15,left,mid_late_stance,mid_late_stance,moderate_v2,moderate_v2_M1,hard_normal,11,left,999,0.9999999999999453,1278,1.2789999999999146,280,3,False,True,False,False,False,False,,,0,False,False,False,True,True,True,3.0,0.06039825454354286,True,,True,True,V8_L02,-0.13999999999999996,0.27,0.04,"[0.0008627796497288911, 0.0007808037337714456, 0.0013875321335813933]"
supplemental_positive_v8_l03,v8_pair_03,positive,0.15,left,mid_late_stance,mid_late_stance,moderate_v2,moderate_v2_M1,near_slip_non_event,12,left,999,0.9999999999999453,1278,1.2789999999999146,280,3,False,True,False,False,False,False,,,0,False,False,False,True,True,True,3.0,0.06039799377322197,True,,True,True,V8_L03,-0.13999999999999996,0.27,0.05,"[0.0005769898956369509, -0.0002809221591442534, 0.0014388559330953963]"
supplemental_positive_v8_l04,v8_pair_04,positive,0.15,left,mid_late_stance,none,moderate_v2,moderate_v2_M1,hard_normal,13,none,39,0.04000000000000003,,,,0,False,False,False,False,True,False,,,0,False,False,False,True,False,False,3.0,0.03902474790811539,False,NO_PHYSICAL_ONSET,True,True,V8_L04,0.0,0.41,0.02,"[0.00029682268200740235, 8.824183071989475e-05, 0.0016814933667546276]"
supplemental_positive_v8_l05,v8_pair_05,positive,0.15,left,mid_late_stance,none,moderate_v2,moderate_v2_M1,near_slip_non_event,14,none,39,0.04000000000000003,,,,0,False,False,False,False,True,False,,,0,False,False,False,True,False,False,3.0,0.042811889201402664,False,NO_PHYSICAL_ONSET,True,True,V8_L05,0.0,0.41,0.03,"[0.0015607421679779076, -0.0005621800735247805, 0.0012841729139735185]"
supplemental_positive_v8_l06,v8_pair_06,positive,0.15,left,mid_late_stance,mid_late_stance,moderate_v2,moderate_v2_M1,hard_normal,15,left,304,0.3050000000000002,584,0.584999999999991,281,1,False,True,False,False,False,False,,,0,False,False,False,True,True,True,3.0,0.05823312699794769,True,,True,True,V8_L06,0.0,0.41,0.04,"[0.0002914733933655866, 0.0008732290826420532, 0.0016863007545616553]"
supplemental_positive_v8_l07,v8_pair_07,positive,0.15,left,mid_late_stance,none,moderate_v2,moderate_v2_M1,near_slip_non_event,16,none,39,0.04000000000000003,,,,0,False,False,False,False,True,False,,,0,False,False,False,True,False,False,3.0,0.03249671310186386,False,NO_PHYSICAL_ONSET,True,True,V8_L07,0.0,0.41,0.05,"[0.0016625161407072039, -0.0005734190612621388, 0.0011374837996894864]"
supplemental_positive_v8_l08,v8_pair_08,positive,0.15,left,mid_late_stance,none,moderate_v2,moderate_v2_M1,hard_normal,17,none,228,0.22900000000000018,,,,0,False,False,False,False,True,False,,,0,False,False,False,True,False,False,3.0,0.0399315282702446,False,NO_PHYSICAL_ONSET,True,True,V8_L08,0.14000000000000007,0.55,0.02,"[0.00037756762786769196, 0.00038885088932019067, 0.0010385405289600746]"
supplemental_positive_v8_l09,v8_pair_09,positive,0.15,left,mid_late_stance,mid_late_stance,moderate_v2,moderate_v2_M1,near_slip_non_event,18,left,2641,2.6420000000000496,2933,2.934000000000147,293,7,False,True,False,False,False,False,,,0,False,False,False,True,True,True,3.0,0.06741463392972946,True,,True,True,V8_L09,0.14000000000000007,0.55,0.03,"[0.0007072125986332194, -0.0005213253876359261, 0.001211291254116341]"
