run_id,pair_id,pair_index,role,block,calibration_arm,speed_mps,target_foot,target_phase,severity,material_profile,control_type,variation_index,phase_fraction,command_delay_s,lateral_offset_m,seed,duration_s,disposition,pair_fingerprint,patch,collision_geometry_sha256,initial_qpos_sha256,initial_qvel_sha256,initial_policy_observation_sha256,sample_count,first_sample_time_s,last_sample_time_s,sample_spacing_max_error_s,fusion20_shape,finite_fusion20,first_patch_contact_sample,patch_active_contact_sample_count,intervention_configured_physics_steps,effective_patch_friction_mean,patch_base_double_contact_count,left_first_loaded_touchdown_sample,right_first_loaded_touchdown_sample,first_fall_sample,first_fall_time_s,fall_occurred,fall_reason,post_fall_excluded_sample_count,full_trace_sha256,discarded,replaced,silently_relabelled,development_only,g0_geometry_sha256,profile_calibration_only_do_not_train,training_use_assigned,variation_id,phase_offset,initial_perturbation
supplemental_positive_v8_l00,v8_pair_00,0,positive,moderate_v2_supplemental_cell,,0.15,left,mid_late_stance,moderate_v2,moderate_v2_M1,hard_normal,9,0.27,0.02,0.0,202608814,3.0,DEVELOPMENT_ONLY,c0a0061579166b09cbed7a4468f9294e4531656e8c44ca39a45423893a6ecd8c,"{'x_min_m': -1.0, 'x_max_m': 2.0, 'y_min_m': -0.8, 'y_max_m': 0.8, 'top_z_m': 0.0}",58b3071a02305e9ea39c75751a7a9c67c32afb648478888eb597c404f529b717,5d42bfb953aa847d6f984719f34c534a7e3741bd2a629c1fe7203437f1bff7ed,4002ebb71965fcda365dab4f53b8cc5eb97c257cd953898df809ba7d8bd4cd8f,91abf46144963fb19c4b1a293d4875f5cdd7404e2e769d4b41605c7e8da565af,3000,0.001,3.000000000000169,3.3393426912553537e-16,"[3000, 20]",True,33,1679,778,0.7896739130434783,0,33,48,,,False,,0,a6dc256894bb9ec2c1bb38fb2d49e806adeaab1a17ad6d7d67e88f2c9615ce05,False,False,False,True,a7ecd6fa3e44f49b07f3b0a0729d091f2156bc8493b171549748776c9fde5583,False,False,V8_L00,-0.13999999999999996,"[0.0012416722727670785, 0.0005759409250333067, 0.0016629560975428685]"
supplemental_control_v8_l00,v8_pair_00,0,control,moderate_v2_supplemental_cell,,0.15,left,mid_late_stance,moderate_v2,hard_normal,hard_normal,9,0.27,0.02,0.0,202608814,3.0,DEVELOPMENT_ONLY,c0a0061579166b09cbed7a4468f9294e4531656e8c44ca39a45423893a6ecd8c,"{'x_min_m': -1.0, 'x_max_m': 2.0, 'y_min_m': -0.8, 'y_max_m': 0.8, 'top_z_m': 0.0}",58b3071a02305e9ea39c75751a7a9c67c32afb648478888eb597c404f529b717,5d42bfb953aa847d6f984719f34c534a7e3741bd2a629c1fe7203437f1bff7ed,4002ebb71965fcda365dab4f53b8cc5eb97c257cd953898df809ba7d8bd4cd8f,91abf46144963fb19c4b1a293d4875f5cdd7404e2e769d4b41605c7e8da565af,3000,0.001,3.000000000000169,3.3393426912553537e-16,"[3000, 20]",True,33,1651,0,1.0,0,33,48,,,False,,0,7b6698d58b83aedab26592f58e6b2a42f2158073142ccb55ef45f92935087b22,False,False,False,True,a7ecd6fa3e44f49b07f3b0a0729d091f2156bc8493b171549748776c9fde5583,False,False,V8_L00,-0.13999999999999996,"[0.0012416722727670785, 0.0005759409250333067, 0.0016629560975428685]"
supplemental_positive_v8_l01,v8_pair_01,1,positive,moderate_v2_supplemental_cell,,0.15,left,mid_late_stance,moderate_v2,moderate_v2_M1,near_slip_non_event,10,0.27,0.03,0.0,202608839,3.0,DEVELOPMENT_ONLY,e9433cad512a1af4e5daa2d55748e6b216ed39a518e34da0bacf6da245b8c1dd,"{'x_min_m': -1.0, 'x_max_m': 2.0, 'y_min_m': -0.8, 'y_max_m': 0.8, 'top_z_m': 0.0}",58b3071a02305e9ea39c75751a7a9c67c32afb648478888eb597c404f529b717,12cfa4045917316473d9318e8fef78d6cc7e234548ae3494ed3a8e1c0ac988da,15b0088edc14b78ce978550b226073b4b0ebab1c359b5ebc52bb2c4c41a81aa1,91abf46144963fb19c4b1a293d4875f5cdd7404e2e769d4b41605c7e8da565af,3000,0.001,3.000000000000169,3.3393426912553537e-16,"[3000, 20]",True,33,1667,597,0.8374250149970007,0,33,48,,,False,,0,30bb6919b40889cdfc101861e3153728935a7f2c3e94be258932de324b0a7256,False,False,False,True,a7ecd6fa3e44f49b07f3b0a0729d091f2156bc8493b171549748776c9fde5583,False,False,V8_L01,-0.13999999999999996,"[0.0013403413903868015, 9.105988184313204e-05, 0.0014643070893949088]"
supplemental_control_v8_l01,v8_pair_01,1,control,moderate_v2_supplemental_cell,,0.15,left,mid_late_stance,moderate_v2,near_slip_non_event,near_slip_non_event,10,0.27,0.03,0.0,202608839,3.0,DEVELOPMENT_ONLY,e9433cad512a1af4e5daa2d55748e6b216ed39a518e34da0bacf6da245b8c1dd,"{'x_min_m': -1.0, 'x_max_m': 2.0, 'y_min_m': -0.8, 'y_max_m': 0.8, 'top_z_m': 0.0}",58b3071a02305e9ea39c75751a7a9c67c32afb648478888eb597c404f529b717,12cfa4045917316473d9318e8fef78d6cc7e234548ae3494ed3a8e1c0ac988da,15b0088edc14b78ce978550b226073b4b0ebab1c359b5ebc52bb2c4c41a81aa1,91abf46144963fb19c4b1a293d4875f5cdd7404e2e769d4b41605c7e8da565af,3000,0.001,3.000000000000169,3.3393426912553537e-16,"[3000, 20]",True,33,1642,1111,0.7810901339829476,0,33,48,,,False,,0,9cdad1ee30f85b5908d63956683430fe2932f719e21a0094ce32f7b2f172c191,False,False,False,True,a7ecd6fa3e44f49b07f3b0a0729d091f2156bc8493b171549748776c9fde5583,False,False,V8_L01,-0.13999999999999996,"[0.0013403413903868015, 9.105988184313204e-05, 0.0014643070893949088]"
supplemental_positive_v8_l02,v8_pair_02,2,positive,moderate_v2_supplemental_cell,,0.15,left,mid_late_stance,moderate_v2,moderate_v2_M1,hard_normal,11,0.27,0.04,0.0,202608834,3.0,DEVELOPMENT_ONLY,c0c3cdfae31e8b268b3c951a62618812b456b065c4741bf75d4852197619ee6f,"{'x_min_m': -1.0, 'x_max_m': 2.0, 'y_min_m': -0.8, 'y_max_m': 0.8, 'top_z_m': 0.0}",58b3071a02305e9ea39c75751a7a9c67c32afb648478888eb597c404f529b717,c1353e55c5b490a330ce431bc8f0197afa4ec3d75157ac8034babd3e1da0d337,e44fadcc48091e1fba9147c68adc4ef241fb68090ff674bc9108c45789b38d35,91abf46144963fb19c4b1a293d4875f5cdd7404e2e769d4b41605c7e8da565af,3000,0.001,3.000000000000169,3.3393426912553537e-16,"[3000, 20]",True,33,1682,675,0.817717003567182,0,33,49,,,False,,0,fe8f76e6fd75837006a0373edf0062722227ba84646d07b83bceabc6a85f8e84,False,False,False,True,a7ecd6fa3e44f49b07f3b0a0729d091f2156bc8493b171549748776c9fde5583,False,False,V8_L02,-0.13999999999999996,"[0.0008627796497288911, 0.0007808037337714456, 0.0013875321335813933]"
supplemental_control_v8_l02,v8_pair_02,2,control,moderate_v2_supplemental_cell,,0.15,left,mid_late_stance,moderate_v2,hard_normal,hard_normal,11,0.27,0.04,0.0,202608834,3.0,DEVELOPMENT_ONLY,c0c3cdfae31e8b268b3c951a62618812b456b065c4741bf75d4852197619ee6f,"{'x_min_m': -1.0, 'x_max_m': 2.0, 'y_min_m': -0.8, 'y_max_m': 0.8, 'top_z_m': 0.0}",58b3071a02305e9ea39c75751a7a9c67c32afb648478888eb597c404f529b717,c1353e55c5b490a330ce431bc8f0197afa4ec3d75157ac8034babd3e1da0d337,e44fadcc48091e1fba9147c68adc4ef241fb68090ff674bc9108c45789b38d35,91abf46144963fb19c4b1a293d4875f5cdd7404e2e769d4b41605c7e8da565af,3000,0.001,3.000000000000169,3.3393426912553537e-16,"[3000, 20]",True,33,1649,0,1.0,0,33,49,,,False,,0,fd2d590319cfab1446d925a58ac25fac952f6c9749225be06ae23fea7582c6b6,False,False,False,True,a7ecd6fa3e44f49b07f3b0a0729d091f2156bc8493b171549748776c9fde5583,False,False,V8_L02,-0.13999999999999996,"[0.0008627796497288911, 0.0007808037337714456, 0.0013875321335813933]"
supplemental_positive_v8_l03,v8_pair_03,3,positive,moderate_v2_supplemental_cell,,0.15,left,mid_late_stance,moderate_v2,moderate_v2_M1,near_slip_non_event,12,0.27,0.05,0.0,202608895,3.0,DEVELOPMENT_ONLY,e39c6e772352334b5b4d0ce17a7c354361e7a7e9b40840299c0d941f43a381cf,"{'x_min_m': -1.0, 'x_max_m': 2.0, 'y_min_m': -0.8, 'y_max_m': 0.8, 'top_z_m': 0.0}",58b3071a02305e9ea39c75751a7a9c67c32afb648478888eb597c404f529b717,2920abd13df3b548341e81b94a29b2fc7bfd1249b6be20d3bc81efc7d60731dd,04e41d9819e5d38995213ca4228206a34955213d684db6b9806f8308da6a8c72,91abf46144963fb19c4b1a293d4875f5cdd7404e2e769d4b41605c7e8da565af,3000,0.001,3.000000000000169,3.3393426912553537e-16,"[3000, 20]",True,33,1682,675,0.817717003567182,0,33,49,,,False,,0,ab41f02b1d13620d1f52f3b383b44f019ef6202b4799db07f74c182589e436af,False,False,False,True,a7ecd6fa3e44f49b07f3b0a0729d091f2156bc8493b171549748776c9fde5583,False,False,V8_L03,-0.13999999999999996,"[0.0005769898956369509, -0.0002809221591442534, 0.0014388559330953963]"
supplemental_control_v8_l03,v8_pair_03,3,control,moderate_v2_supplemental_cell,,0.15,left,mid_late_stance,moderate_v2,near_slip_non_event,near_slip_non_event,12,0.27,0.05,0.0,202608895,3.0,DEVELOPMENT_ONLY,e39c6e772352334b5b4d0ce17a7c354361e7a7e9b40840299c0d941f43a381cf,"{'x_min_m': -1.0, 'x_max_m': 2.0, 'y_min_m': -0.8, 'y_max_m': 0.8, 'top_z_m': 0.0}",58b3071a02305e9ea39c75751a7a9c67c32afb648478888eb597c404f529b717,2920abd13df3b548341e81b94a29b2fc7bfd1249b6be20d3bc81efc7d60731dd,04e41d9819e5d38995213ca4228206a34955213d684db6b9806f8308da6a8c72,91abf46144963fb19c4b1a293d4875f5cdd7404e2e769d4b41605c7e8da565af,3000,0.001,3.000000000000169,3.3393426912553537e-16,"[3000, 20]",True,33,1640,1114,0.780030487804878,0,33,49,,,False,,0,a12390de6f0a1733fabe14b0e1c9d96dc235d2d8ff2d33f22fdffb381370eca5,False,False,False,True,a7ecd6fa3e44f49b07f3b0a0729d091f2156bc8493b171549748776c9fde5583,False,False,V8_L03,-0.13999999999999996,"[0.0005769898956369509, -0.0002809221591442534, 0.0014388559330953963]"
supplemental_positive_v8_l04,v8_pair_04,4,positive,moderate_v2_supplemental_cell,,0.15,left,mid_late_stance,moderate_v2,moderate_v2_M1,hard_normal,13,0.41,0.02,0.0,202608855,3.0,DEVELOPMENT_ONLY,6d01888deb4fe34ec130cccfee817b27fa0aaa59c2d26c5ef34fc98b4b9c07b3,"{'x_min_m': -1.0, 'x_max_m': 2.0, 'y_min_m': -0.8, 'y_max_m': 0.8, 'top_z_m': 0.0}",58b3071a02305e9ea39c75751a7a9c67c32afb648478888eb597c404f529b717,71ae37230c71bd2e5b7b24a2f21c046d7bcc6819faee50b6c265a50cf5ae5001,7be9556dc88950155b7c8ebf37d5f16b7b3e9df35523784c141e8193f449dad1,9145d4546123182ed68a19d519066e07547c7a9c385db1f5ec2a30986e59f0f8,3000,0.001,3.000000000000169,3.3393426912553537e-16,"[3000, 20]",True,39,1702,562,0.849882491186839,0,39,37,,,False,,0,61de00a291d2c85a63d1dbf898af0b260a7398a877a5f0233606320868ff2a0b,False,False,False,True,a7ecd6fa3e44f49b07f3b0a0729d091f2156bc8493b171549748776c9fde5583,False,False,V8_L04,0.0,"[0.00029682268200740235, 8.824183071989475e-05, 0.0016814933667546276]"
supplemental_control_v8_l04,v8_pair_04,4,control,moderate_v2_supplemental_cell,,0.15,left,mid_late_stance,moderate_v2,hard_normal,hard_normal,13,0.41,0.02,0.0,202608855,3.0,DEVELOPMENT_ONLY,6d01888deb4fe34ec130cccfee817b27fa0aaa59c2d26c5ef34fc98b4b9c07b3,"{'x_min_m': -1.0, 'x_max_m': 2.0, 'y_min_m': -0.8, 'y_max_m': 0.8, 'top_z_m': 0.0}",58b3071a02305e9ea39c75751a7a9c67c32afb648478888eb597c404f529b717,71ae37230c71bd2e5b7b24a2f21c046d7bcc6819faee50b6c265a50cf5ae5001,7be9556dc88950155b7c8ebf37d5f16b7b3e9df35523784c141e8193f449dad1,9145d4546123182ed68a19d519066e07547c7a9c385db1f5ec2a30986e59f0f8,3000,0.001,3.000000000000169,3.3393426912553537e-16,"[3000, 20]",True,39,1687,0,1.0,0,39,37,,,False,,0,92b3dae29a2c92284b517ef9587389de1b3e122e572d283f73b3202533193c30,False,False,False,True,a7ecd6fa3e44f49b07f3b0a0729d091f2156bc8493b171549748776c9fde5583,False,False,V8_L04,0.0,"[0.00029682268200740235, 8.824183071989475e-05, 0.0016814933667546276]"
