variation_id,run_id,phase_offset,phase_fraction,command_delay_s,seed,initial_policy_state_composite_sha256,target_touchdown_sample,target_touchdown_timestamp_s,first_patch_contact_sample,first_patch_contact_timestamp_s,patch_entry_pose_xyz,remaining_stance_duration_ms,anchor_drift_rate_peak_mps,oracle_margin_m,actual_onset_phase,actual_first_affected_foot,contralateral_slip,fall_or_censor,valid,failure_reason,effective_sliding_friction,effective_friction_vector,effective_friction_contract,patch_contact_duration_ms,maximum_continuous_patch_dwell_ms,normal_contact_force_mean_n,tangential_contact_force_mean_n,friction_cone_utilization_mean,tangential_foot_velocity_mean_mps,contralateral_support_load_mean_n,maximum_anchor_drift_m,physical_onset_time_s,touchdown_to_onset_ms,contact_loss_before_physical_onset,fall_occurred,first_fall_censor_boundary,full_trace_sha256,source_valid
V8_L00,supplemental_positive_v8_l00,-0.13999999999999996,0.27,0.02,202608814,418d0e563918e563d2b056dfb859bdc865a8370502272b5101c78a8dc7a94608,399,0.4000000000000003,33,0.03400000000000002,"[-0.02300427295267582, 0.12034711986780167, 0.03670109435915947]",54,0.8903518319129944,0.008961372822523114,mid_late_stance,left,False,False,True,,0.08750000000000001,"[0.08750000000000001, 0.08750000000000001, 0.00125, 2.125e-05, 2.125e-05]",True,1679,342,295.7053443823141,25.86641918912369,0.9991794295389335,0.4858599603176117,0.0,0.05896137282252312,0.6879999999999796,289,False,False,,a6dc256894bb9ec2c1bb38fb2d49e806adeaab1a17ad6d7d67e88f2c9615ce05,True
V8_L01,supplemental_positive_v8_l01,-0.13999999999999996,0.27,0.03,202608839,6c9ccbc27bf66e005774f1284e41e9e038de009e4548a3bb582ad884efc865ec,399,0.4000000000000003,33,0.03400000000000002,"[-0.022912252694368362, 0.11986224353313446, 0.03670109435915947]",45,0.9231604337692261,0.016264040768146512,mid_late_stance,left,False,False,True,,0.08750000000000001,"[0.08750000000000001, 0.08750000000000001, 0.00125, 2.125e-05, 2.125e-05]",True,1667,349,298.51231559507704,26.110072595763988,0.999495410398639,0.42950454354286194,0.0,0.06626404076814651,0.6879999999999796,289,False,False,,30bb6919b40889cdfc101861e3153728935a7f2c3e94be258932de324b0a7256,True
V8_L02,supplemental_positive_v8_l02,-0.13999999999999996,0.27,0.04,202608834,2a5aad6cf67e344d23e6625496bbee111b7d84da4335d54893e43a212a85c079,999,0.9999999999999453,33,0.03400000000000002,"[-0.023392384871840477, 0.12055198103189468, 0.03670109435915947]",10,1.0331459045410156,0.01039825454354286,mid_late_stance,left,False,False,True,,0.08750000000000001,"[0.08750000000000001, 0.08750000000000001, 0.00125, 2.125e-05, 2.125e-05]",True,1682,349,298.7099598755079,26.131011151839033,0.9996898690648148,0.43997955322265625,0.0,0.06039825454354286,1.2789999999999146,280,False,False,,fe8f76e6fd75837006a0373edf0062722227ba84646d07b83bceabc6a85f8e84,True
V8_L03,supplemental_positive_v8_l03,-0.13999999999999996,0.27,0.05,202608895,a495dce90b0f10ae42ec8974fc0e320499f68fb5555e6d9b118c1173363ab0a1,999,0.9999999999999453,33,0.03400000000000002,"[-0.02367645688354969, 0.11949025839567184, 0.03670109435915947]",10,1.0331459045410156,0.010397993773221967,mid_late_stance,left,False,False,True,,0.08750000000000001,"[0.08750000000000001, 0.08750000000000001, 0.00125, 2.125e-05, 2.125e-05]",True,1682,349,298.71044391776854,26.131050893903513,0.9996897338184312,0.43998223543167114,0.0,0.06039799377322197,1.2789999999999146,280,False,False,,ab41f02b1d13620d1f52f3b383b44f019ef6202b4799db07f74c182589e436af,True
V8_L04,supplemental_positive_v8_l04,0.0,0.41,0.02,202608855,01cfeff64e98bf6e22128bd4ed7be26fb0721a4b94230b17ed52445246e0e72e,39,0.04000000000000003,39,0.04000000000000003,"[-0.024876892566680908, 0.11921436339616776, 0.035485103726387024]",26,0.7240809202194214,-0.010975252091884616,none,none,False,False,False,NO_PHYSICAL_ONSET,0.08750000000000001,"[0.08750000000000001, 0.08750000000000001, 0.00125, 2.125e-05, 2.125e-05]",True,1702,363,315.2411605627023,27.57289138958692,0.999639983701335,0.26545625925064087,0.0,0.03902474790811539,,,True,False,,61de00a291d2c85a63d1dbf898af0b260a7398a877a5f0233606320868ff2a0b,False
V8_L05,supplemental_positive_v8_l05,0.0,0.41,0.03,202608897,84ec828795b597131ce224d1677c435fd6212146ea39ee920863b3dd95bd84e4,39,0.04000000000000003,39,0.04000000000000003,"[-0.023628653958439827, 0.1185639351606369, 0.035485103726387024]",1,0.5029644966125488,-0.007188110798597339,none,none,False,False,False,NO_PHYSICAL_ONSET,0.08750000000000001,"[0.08750000000000001, 0.08750000000000001, 0.00125, 2.125e-05, 2.125e-05]",True,1701,316,290.57812906276945,25.402114688619672,0.9980162226612391,0.27976858615875244,25.44410514831543,0.042811889201402664,,,True,False,,6a21c857d3758885a521c17a5c7d3f8d67518c459de4b58c81c0760cb051145d,False
V8_L06,supplemental_positive_v8_l06,0.0,0.41,0.04,202608856,a4793b14aceee8c2fc2887ad4cc45c3f76822afa2dfa635325a37d1076129848,304,0.3050000000000002,39,0.04000000000000003,"[-0.024882052093744278, 0.11999934911727905, 0.035485103726387024]",7,1.0581388473510742,0.00823312699794769,mid_late_stance,left,False,False,True,,0.08750000000000001,"[0.08750000000000001, 0.08750000000000001, 0.00125, 2.125e-05, 2.125e-05]",True,1712,287,309.18707102777654,27.052484476060865,0.9995252269888195,0.4300340712070465,0.0,0.05823312699794769,0.584999999999991,281,False,False,,dbfde09ebce87ca9abde66c5686127980b3a5bc4a2c571dd06ecbf37b53a5006,True
V8_L07,supplemental_positive_v8_l07,0.0,0.41,0.05,202608871,573009c8762c45e923743969db09617bbd1cbf797e6b21ed8716f6586134eb33,39,0.04000000000000003,39,0.04000000000000003,"[-0.023532669991254807, 0.11855269968509674, 0.035485103726387024]",1,0.7281266450881958,-0.01750328689813614,none,none,False,False,False,NO_PHYSICAL_ONSET,0.08750000000000001,"[0.08750000000000001, 0.08750000000000001, 0.00125, 2.125e-05, 2.125e-05]",True,1702,259,318.1585000739423,27.834537331358177,0.9989577224752012,0.2836662232875824,0.0,0.03249671310186386,,,True,False,,fbff83ac6ca673a50cbd110a0d6fb568fe84b020557d2a67405e83ea17df3a44,False
V8_L08,supplemental_positive_v8_l08,0.14000000000000007,0.55,0.02,202608812,be9cc2e427019962675ee65324fc33d736eb88f9dc6f8ef8cefa94326e0949e0,228,0.22900000000000018,228,0.22900000000000018,"[0.018034588545560837, 0.16477476060390472, 0.03665122762322426]",1,0.7807571887969971,-0.010068471729755404,none,none,False,False,False,NO_PHYSICAL_ONSET,0.08750000000000001,"[0.08750000000000001, 0.08750000000000001, 0.00125, 2.125e-05, 2.125e-05]",True,1706,338,300.43572480966213,26.184211002545982,0.9949236374901838,0.26462242007255554,20.12603759765625,0.0399315282702446,,,True,False,,43011a3b093536cf7d349f9434a4bfca7782d6df382b3e3b0b647151132cc085,False
V8_L09,supplemental_positive_v8_l09,0.14000000000000007,0.55,0.03,202608898,567702f3c554de655fd3cf4b114840825998859113455f56f4229f2ab4662201,2641,2.6420000000000496,228,0.22900000000000018,"[0.018412195146083832, 0.16386295855045319, 0.036648884415626526]",20,0.8604377508163452,0.01741463392972946,mid_late_stance,left,False,False,True,,0.08750000000000001,"[0.08750000000000001, 0.08750000000000001, 0.00125, 2.125e-05, 2.125e-05]",True,1670,316,276.00073204774816,24.019251383596583,0.9930885157054892,0.37310224771499634,33.3627815246582,0.06741463392972946,2.934000000000147,293,False,False,,c48717705d518eda82dd4e1d78eeda97a1bf4898c39778ca26de4ddc6bbd3eeb,True
