candidate_id,evaluation_scope,config_id,state_threshold,proposal_threshold,early_margin,normal_margin,foot_threshold,persistence_endpoints,hysteresis,run_count,actionable_episode_count,raw_actionable_argmax_detected,proposal_detected,verifier_detected,V4_masked_verifier_detected,persistence_detected,stable_episode_detection_detected,raw_actionable_argmax_recall,proposal_recall,verifier_recall,V4_masked_verifier_recall,persistence_recall,stable_episode_detection_recall,actionable_episode_detected,actionable_episode_recall,speed_total,speed_detected,speed_recall,minimum_speed_recall,foot_total,foot_detected,affected_foot_count,affected_foot_correct,affected_foot_accuracy,normal_run_fp,normal_contact_episode_fp,too_early,air_firing,touchdown_firing,invalid_firing,post_fall_firing,latch_carryover,cross_foot_violation,future_leakage,actionable_runs,detected_runs,median_warning_margin_ms,p95_warning_margin_ms,median_late_latency_ms,p95_late_latency_ms,contact_loss_resets,touchdown_resets,fall_boundary_resets,invalid_mask_resets,zero_safety_pass,variant,seed,outer_fold
F0_seed_202608241,FROZEN_OUTER_0_ONCE,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.05,0.85,0.85,0.15,0.1,0.6,3,0.05,119,170,151,142,121,117,63,62,0.888235294117647,0.8352941176470589,0.711764705882353,0.6882352941176471,0.37058823529411766,0.36470588235294116,62,0.36470588235294116,"{""0.10"":58,""0.15"":58,""0.20"":54}","{""0.10"":21,""0.15"":22,""0.20"":19}","{""0.10"":0.3620689655172414,""0.15"":0.3793103448275862,""0.20"":0.35185185185185186}",0.35185185185185186,"{""left"":83,""right"":87}","{""left"":25,""right"":37}",71,62,0.8732394366197183,0,43,2,0,0,0,0,0,9,0,40,32,38.5,73.79999999999998,0.0,112.64999999999972,26317,2543,30,0,False,F0,202608241,0
F0_seed_202608241,FROZEN_OUTER_1_ONCE,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.05,0.85,0.85,0.15,0.1,0.6,3,0.05,121,183,166,141,114,113,60,59,0.907103825136612,0.7704918032786885,0.6229508196721312,0.6174863387978142,0.32786885245901637,0.3224043715846995,59,0.3224043715846995,"{""0.10"":66,""0.15"":59,""0.20"":58}","{""0.10"":21,""0.15"":15,""0.20"":23}","{""0.10"":0.3181818181818182,""0.15"":0.2542372881355932,""0.20"":0.39655172413793105}",0.2542372881355932,"{""left"":90,""right"":93}","{""left"":30,""right"":29}",65,58,0.8923076923076924,0,31,1,0,0,0,0,0,7,0,47,34,36.0,69.29999999999998,0.0,80.6999999999995,26805,2555,40,0,False,F0,202608241,1
F0_seed_202608241,FROZEN_OUTER_2_ONCE,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.05,0.85,0.85,0.15,0.1,0.6,3,0.05,93,118,115,88,81,77,41,41,0.9745762711864406,0.7457627118644068,0.6864406779661016,0.652542372881356,0.3474576271186441,0.3474576271186441,41,0.3474576271186441,"{""0.10"":41,""0.15"":39,""0.20"":38}","{""0.10"":14,""0.15"":14,""0.20"":13}","{""0.10"":0.34146341463414637,""0.15"":0.358974358974359,""0.20"":0.34210526315789475}",0.34146341463414637,"{""left"":56,""right"":62}","{""left"":23,""right"":18}",44,40,0.9090909090909091,0,29,0,0,0,0,0,0,4,0,38,26,33.0,63.0,0.0,72.0,20660,1875,30,0,False,F0,202608241,2
F0_seed_202608242,FROZEN_OUTER_0_ONCE,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,0.85,0.85,0.15,0.1,0.6,3,0.0,119,170,152,146,116,110,69,68,0.8941176470588236,0.8588235294117647,0.6823529411764706,0.6470588235294118,0.40588235294117647,0.4,68,0.4,"{""0.10"":58,""0.15"":58,""0.20"":54}","{""0.10"":24,""0.15"":24,""0.20"":20}","{""0.10"":0.41379310344827586,""0.15"":0.41379310344827586,""0.20"":0.37037037037037035}",0.37037037037037035,"{""left"":83,""right"":87}","{""left"":29,""right"":39}",73,67,0.9178082191780822,0,45,2,0,0,0,0,0,6,0,40,34,37.0,73.65,0.0,47.949999999999996,26317,2543,30,0,False,F0,202608242,0
F0_seed_202608242,FROZEN_OUTER_1_ONCE,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,0.85,0.85,0.15,0.1,0.6,3,0.0,121,183,161,140,116,114,65,63,0.8797814207650273,0.7650273224043715,0.6338797814207651,0.6229508196721312,0.3551912568306011,0.3442622950819672,63,0.3442622950819672,"{""0.10"":66,""0.15"":59,""0.20"":58}","{""0.10"":27,""0.15"":18,""0.20"":18}","{""0.10"":0.4090909090909091,""0.15"":0.3050847457627119,""0.20"":0.3103448275862069}",0.3050847457627119,"{""left"":90,""right"":93}","{""left"":33,""right"":30}",71,63,0.8873239436619719,0,36,2,0,0,0,0,0,8,0,47,38,36.0,74.8,0.0,166.69999999999996,26805,2555,40,0,False,F0,202608242,1
F0_seed_202608242,FROZEN_OUTER_2_ONCE,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,0.85,0.85,0.15,0.1,0.6,3,0.0,93,118,115,91,83,80,34,34,0.9745762711864406,0.7711864406779662,0.7033898305084746,0.6779661016949152,0.288135593220339,0.288135593220339,34,0.288135593220339,"{""0.10"":41,""0.15"":39,""0.20"":38}","{""0.10"":12,""0.15"":11,""0.20"":11}","{""0.10"":0.2926829268292683,""0.15"":0.28205128205128205,""0.20"":0.2894736842105263}",0.28205128205128205,"{""left"":56,""right"":62}","{""left"":18,""right"":16}",38,34,0.8947368421052632,0,30,2,0,0,0,0,0,4,0,38,24,32.0,72.39999999999999,0.0,126.24999999999967,20660,1875,30,0,False,F0,202608242,2
F0_seed_202608243,FROZEN_OUTER_0_ONCE,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,0.85,0.85,0.15,0.1,0.6,3,0.0,119,170,150,150,128,123,69,68,0.8823529411764706,0.8823529411764706,0.7529411764705882,0.7235294117647059,0.40588235294117647,0.4,68,0.4,"{""0.10"":58,""0.15"":58,""0.20"":54}","{""0.10"":26,""0.15"":22,""0.20"":20}","{""0.10"":0.4482758620689655,""0.15"":0.3793103448275862,""0.20"":0.37037037037037035}",0.37037037037037035,"{""left"":83,""right"":87}","{""left"":32,""right"":36}",76,68,0.8947368421052632,0,46,1,0,0,0,0,0,8,0,40,36,37.0,67.65,0.0,29.65,26317,2543,30,0,False,F0,202608243,0
F0_seed_202608243,FROZEN_OUTER_1_ONCE,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,0.85,0.85,0.15,0.1,0.6,3,0.0,121,183,164,146,123,121,62,61,0.8961748633879781,0.7978142076502732,0.6721311475409836,0.6612021857923497,0.33879781420765026,0.3333333333333333,61,0.3333333333333333,"{""0.10"":66,""0.15"":59,""0.20"":58}","{""0.10"":20,""0.15"":19,""0.20"":22}","{""0.10"":0.30303030303030304,""0.15"":0.3220338983050847,""0.20"":0.3793103448275862}",0.30303030303030304,"{""left"":90,""right"":93}","{""left"":31,""right"":30}",67,60,0.8955223880597015,0,31,1,0,0,0,0,0,7,0,47,33,34.0,73.0,0.0,179.0,26805,2555,40,0,False,F0,202608243,1
F0_seed_202608243,FROZEN_OUTER_2_ONCE,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,0.85,0.85,0.15,0.1,0.6,3,0.0,93,118,114,90,78,74,36,36,0.9661016949152542,0.7627118644067796,0.6610169491525424,0.6271186440677966,0.3050847457627119,0.3050847457627119,36,0.3050847457627119,"{""0.10"":41,""0.15"":39,""0.20"":38}","{""0.10"":13,""0.15"":11,""0.20"":12}","{""0.10"":0.3170731707317073,""0.15"":0.28205128205128205,""0.20"":0.3157894736842105}",0.28205128205128205,"{""left"":56,""right"":62}","{""left"":16,""right"":20}",41,36,0.8780487804878049,0,31,0,0,0,0,0,0,5,0,38,23,26.0,68.0,0.0,79.25,20660,1875,30,0,False,F0,202608243,2
F1_seed_202608241,FROZEN_OUTER_0_ONCE,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,0.85,0.85,0.15,0.1,0.6,3,0.0,119,170,132,56,45,42,9,9,0.7764705882352941,0.32941176470588235,0.2647058823529412,0.24705882352941178,0.052941176470588235,0.052941176470588235,9,0.052941176470588235,"{""0.10"":58,""0.15"":58,""0.20"":54}","{""0.10"":4,""0.15"":3,""0.20"":2}","{""0.10"":0.06896551724137931,""0.15"":0.05172413793103448,""0.20"":0.037037037037037035}",0.037037037037037035,"{""left"":83,""right"":87}","{""left"":5,""right"":4}",9,9,1.0,0,1,0,0,0,0,0,0,0,0,40,8,30.0,47.39999999999999,0.0,35.39999999999998,26317,2543,30,0,False,F1,202608241,0
