candidate_id,variant,seed,foot,actionable_episode_count,detected,recall,pooled_affected_foot_accuracy
F0_seed_202608241,F0,202608241,left,229,78,0.3406113537117904,0.8888888888888888
F0_seed_202608241,F0,202608241,right,242,84,0.34710743801652894,0.8888888888888888
F0_seed_202608242,F0,202608242,left,229,80,0.34934497816593885,0.9010989010989011
F0_seed_202608242,F0,202608242,right,242,85,0.3512396694214876,0.9010989010989011
F0_seed_202608243,F0,202608243,left,229,79,0.34497816593886466,0.8913043478260869
F0_seed_202608243,F0,202608243,right,242,86,0.35537190082644626,0.8913043478260869
F1_seed_202608241,F1,202608241,left,229,27,0.11790393013100436,0.9069767441860465
F1_seed_202608241,F1,202608241,right,242,12,0.049586776859504134,0.9069767441860465
F1_seed_202608242,F1,202608242,left,229,22,0.09606986899563319,0.8157894736842105
F1_seed_202608242,F1,202608242,right,242,9,0.0371900826446281,0.8157894736842105
F1_seed_202608243,F1,202608243,left,229,28,0.1222707423580786,0.8444444444444444
F1_seed_202608243,F1,202608243,right,242,10,0.04132231404958678,0.8444444444444444
