row_type,funnel_stage,count,run_id,fold,source_acquisition,speed_mps,foot,contact_episode_id,onset_phase,severity,contact_duration_ms,physical_active_duration_ms,physical_onset_sample,valid_actionable_sample_count,inter_episode_gap_ms,active_segment_count,short_oracle_deactivation_gap_count,fall_censored,insufficient_200ms_history,no_valid_actionable_samples_after_masks,per_foot_contact_owned,detected_by_R1_seed_202608231,short_gap_diagnostic_only,segmentation_changed
EPISODE,,,ice_native_0p10_v00,0,existing_valid_120_bilateral_development,0.1,left,0,legacy_development,legacy_development,109,11,134,88,,1,0,False,True,False,True,False,False,False
EPISODE,,,ice_native_0p10_v00,0,existing_valid_120_bilateral_development,0.1,left,7,legacy_development,legacy_development,223,185,505,25,361,2,1,False,False,False,True,False,True,False
EPISODE,,,ice_native_0p10_v00,0,existing_valid_120_bilateral_development,0.1,left,20,legacy_development,legacy_development,232,65,1090,100,398,1,0,False,False,False,True,False,False,False
EPISODE,,,ice_native_0p10_v00,0,existing_valid_120_bilateral_development,0.1,left,33,legacy_development,legacy_development,77,11,1638,55,484,1,0,False,False,False,True,False,False,False
EPISODE,,,ice_native_0p10_v00,0,existing_valid_120_bilateral_development,0.1,left,63,legacy_development,legacy_development,115,72,2308,33,660,1,0,False,False,False,True,True,False,False
EPISODE,,,ice_native_0p10_v00,0,existing_valid_120_bilateral_development,0.1,left,71,legacy_development,legacy_development,62,41,2670,11,291,1,0,False,False,False,True,False,False,False
EPISODE,,,ice_native_0p10_v00,0,existing_valid_120_bilateral_development,0.1,right,1,legacy_development,legacy_development,162,89,223,62,,1,0,False,False,False,True,False,False,False
EPISODE,,,ice_native_0p10_v00,0,existing_valid_120_bilateral_development,0.1,right,2,legacy_development,legacy_development,65,11,367,43,56,1,0,False,False,False,True,False,False,False
EPISODE,,,ice_native_0p10_v00,0,existing_valid_120_bilateral_development,0.1,right,9,legacy_development,legacy_development,332,245,631,63,254,2,1,False,False,False,True,False,True,False
EPISODE,,,ice_native_0p10_v00,0,existing_valid_120_bilateral_development,0.1,right,10,legacy_development,legacy_development,54,13,932,31,54,1,0,False,False,False,True,False,False,False
