outer_fold,inner_fold,fit_fold,mining_fold,reason,identity,run_id,outer_validation_member,actionable_score,foot_score
0,0,2,1,high_normal,positive_0p15_right_early_loading_native_strong_ice_v1:889:0,positive_0p15_right_early_loading_native_strong_ice_v1,False,0.999999998303011,1.89385728519261e-09
0,0,2,1,high_normal,positive_0p20_right_early_loading_v1_M1:809:0,positive_0p20_right_early_loading_v1_M1,False,0.9999999983740928,0.00012486843917598658
0,0,2,1,high_normal,positive_0p15_right_early_loading_native_strong_ice_v1:929:0,positive_0p15_right_early_loading_native_strong_ice_v1,False,0.9999999984415946,3.958266765238862e-17
0,0,2,1,high_normal,positive_0p10_left_early_loading_v1_M1:669:1,positive_0p10_left_early_loading_v1_M1,False,0.9999999984439363,8.077588670232292e-05
0,0,2,1,high_normal,sand_solref_interpolation_3of4_stronger_v2_0p10_v04:2089:0,sand_solref_interpolation_3of4_stronger_v2_0p10_v04,False,0.9999999984895023,0.9999982638876014
0,0,2,1,high_normal,positive_0p15_right_mid_loading_early_stance_v1_M1:1419:1,positive_0p15_right_mid_loading_early_stance_v1_M1,False,0.9999999984960672,0.7192223784667655
0,0,2,1,high_normal,positive_0p20_right_early_loading_native_strong_ice_v1:889:0,positive_0p20_right_early_loading_native_strong_ice_v1,False,0.9999999985079593,5.2514893989612955e-06
0,0,2,1,high_normal,positive_0p20_left_early_loading_v1_M1:1619:1,positive_0p20_left_early_loading_v1_M1,False,0.9999999985171937,0.9807936897665801
0,0,2,1,high_normal,positive_0p10_right_early_loading_native_strong_ice_v1:909:0,positive_0p10_right_early_loading_native_strong_ice_v1,False,0.9999999986054555,1.0856665034200125e-12
0,0,2,1,high_normal,positive_0p15_left_early_loading_v1_M1:1609:1,positive_0p15_left_early_loading_v1_M1,False,0.99999999872429,0.9999768812529978
0,0,2,1,high_normal,positive_0p10_right_early_loading_v1_M1:1099:1,positive_0p10_right_early_loading_v1_M1,False,0.9999999987463217,0.05115924279677517
0,0,2,1,high_normal,positive_0p20_left_early_loading_native_strong_ice_v1:459:1,positive_0p20_left_early_loading_native_strong_ice_v1,False,0.999999998752986,0.00018525131037363794
0,0,2,1,high_normal,positive_0p10_left_early_loading_v1_M1:1659:1,positive_0p10_left_early_loading_v1_M1,False,0.9999999987597215,0.9999999984348393
0,0,2,1,high_normal,positive_0p10_left_mid_loading_early_stance_native_strong_ice_v1:639:1,positive_0p10_left_mid_loading_early_stance_native_strong_ice_v1,False,0.9999999987690005,0.0008468765993671119
