fold,state_id,state_name,eligible_endpoint_rows,unique_balance_units
0,0,NORMAL_NO_EVENT,31806,1397
0,1,EARLY_PRECURSOR,884,75
0,2,ACTIONABLE_RISK,1093,159
0,3,PHYSICAL_ACTIVE_EVIDENCE,814,140
1,0,NORMAL_NO_EVENT,31007,1342
1,1,EARLY_PRECURSOR,1158,83
1,2,ACTIONABLE_RISK,1178,177
1,3,PHYSICAL_ACTIVE_EVIDENCE,1100,149
2,0,NORMAL_NO_EVENT,23692,1000
2,1,EARLY_PRECURSOR,857,65
2,2,ACTIONABLE_RISK,856,115
2,3,PHYSICAL_ACTIVE_EVIDENCE,662,102
pooled,0,NORMAL_NO_EVENT,86505,3739
pooled,1,EARLY_PRECURSOR,2899,223
pooled,2,ACTIONABLE_RISK,3127,451
pooled,3,PHYSICAL_ACTIVE_EVIDENCE,2576,391
