run_id,pair_id,role,speed_mps,target_foot,target_phase,actual_onset_phase,severity,material_profile,control_type,variation_index,actual_first_affected_foot,target_touchdown_sample,target_touchdown_time_s,target_physical_onset_sample,target_physical_onset_time_s,touchdown_to_onset_ms,target_contact_episode_id,contralateral_physical_slip_contamination,valid_target_positive,wrong_foot_onset,bilateral_ambiguous,no_onset,fall_occurred,first_fall_sample,fall_reason,post_fall_excluded_sample_count,discarded,replaced,silently_relabelled,physical_slip_foot_count,physical_slip_onset_free,stable_loaded_contact_coverage,valid_control_source,maximum_target_anchor_drift_m,first_fall_censor_boundary,control_source_valid,failure_reason,failed_attempt_preserved,silently_counted_as_normal,development_only
control_0p10_left_early_loading_v0_M1,v7_pair_000,control,0.1,left,early_loading,none,moderate_v2,hard_normal,hard_normal,0,none,36,0.037000000000000026,,,,0,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True,0.0020243863109499216,,True,,True,False,True
control_0p10_left_early_loading_v1_M1,v7_pair_001,control,0.1,left,early_loading,none,moderate_v2,near_slip_non_event,near_slip_non_event,1,none,39,0.04000000000000003,,,,0,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True,0.007607855834066868,,True,,True,False,True
control_0p10_left_early_loading_v2_M1,v7_pair_002,control,0.1,left,early_loading,none,moderate_v2,hard_normal,hard_normal,2,none,44,0.04500000000000003,,,,0,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True,0.005537225864827633,,True,,True,False,True
control_0p10_left_mid_loading_early_stance_v0_M1,v7_pair_003,control,0.1,left,mid_loading_early_stance,none,moderate_v2,near_slip_non_event,near_slip_non_event,0,none,36,0.037000000000000026,,,,0,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True,0.001822782214730978,,True,,True,False,True
control_0p10_left_mid_loading_early_stance_v1_M1,v7_pair_004,control,0.1,left,mid_loading_early_stance,none,moderate_v2,hard_normal,hard_normal,1,none,39,0.04000000000000003,,,,0,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True,0.007877771742641926,,True,,True,False,True
control_0p10_left_mid_loading_early_stance_v2_M1,v7_pair_005,control,0.1,left,mid_loading_early_stance,none,moderate_v2,near_slip_non_event,near_slip_non_event,2,none,44,0.04500000000000003,,,,0,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True,0.004364992491900921,,True,,True,False,True
control_0p10_left_mid_late_stance_v0_M1,v7_pair_006,control,0.1,left,mid_late_stance,none,moderate_v2,hard_normal,hard_normal,0,none,36,0.037000000000000026,,,,0,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True,0.0020180493593215942,,True,,True,False,True
control_0p10_left_mid_late_stance_v1_M1,v7_pair_007,control,0.1,left,mid_late_stance,none,moderate_v2,near_slip_non_event,near_slip_non_event,1,none,39,0.04000000000000003,,,,0,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True,0.007952967658638954,,True,,True,False,True
control_0p10_left_mid_late_stance_v2_M1,v7_pair_008,control,0.1,left,mid_late_stance,none,moderate_v2,hard_normal,hard_normal,2,none,44,0.04500000000000003,,,,0,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True,0.005541850812733173,,True,,True,False,True
control_0p10_right_early_loading_v0_M1,v7_pair_009,control,0.1,right,early_loading,none,moderate_v2,near_slip_non_event,near_slip_non_event,0,none,43,0.04400000000000003,,,,0,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True,0.006679771933704615,,True,,True,False,True
