run_id,pair_id,role,fall_occurred,first_fall_sample,first_fall_time_s,fall_reason,pre_fall_valid_sample_count,post_fall_stored_sample_count,post_fall_excluded_from_labels
positive_0p10_left_early_loading_v0_M1,v7_pair_000,positive,True,2423,2.423999999999977,fallen_base_height,2423,577,True
control_0p10_left_early_loading_v0_M1,v7_pair_000,control,False,,,,3000,0,True
positive_0p10_left_early_loading_v1_M1,v7_pair_001,positive,True,2152,2.1529999999998863,fallen_base_height,2152,848,True
control_0p10_left_early_loading_v1_M1,v7_pair_001,control,False,,,,3000,0,True
positive_0p10_left_early_loading_v2_M1,v7_pair_002,positive,True,2036,2.0369999999998476,fallen_base_height,2036,964,True
control_0p10_left_early_loading_v2_M1,v7_pair_002,control,False,,,,3000,0,True
positive_0p10_left_mid_loading_early_stance_v0_M1,v7_pair_003,positive,False,,,,3000,0,True
control_0p10_left_mid_loading_early_stance_v0_M1,v7_pair_003,control,False,,,,3000,0,True
positive_0p10_left_mid_loading_early_stance_v1_M1,v7_pair_004,positive,False,,,,3000,0,True
control_0p10_left_mid_loading_early_stance_v1_M1,v7_pair_004,control,False,,,,3000,0,True
positive_0p10_left_mid_loading_early_stance_v2_M1,v7_pair_005,positive,False,,,,3000,0,True
control_0p10_left_mid_loading_early_stance_v2_M1,v7_pair_005,control,False,,,,3000,0,True
positive_0p10_left_mid_late_stance_v0_M1,v7_pair_006,positive,False,,,,3000,0,True
control_0p10_left_mid_late_stance_v0_M1,v7_pair_006,control,False,,,,3000,0,True
positive_0p10_left_mid_late_stance_v1_M1,v7_pair_007,positive,False,,,,3000,0,True
control_0p10_left_mid_late_stance_v1_M1,v7_pair_007,control,False,,,,3000,0,True
positive_0p10_left_mid_late_stance_v2_M1,v7_pair_008,positive,False,,,,3000,0,True
control_0p10_left_mid_late_stance_v2_M1,v7_pair_008,control,False,,,,3000,0,True
positive_0p10_right_early_loading_v0_M1,v7_pair_009,positive,True,1617,1.6179999999998773,fallen_base_height,1617,1383,True
control_0p10_right_early_loading_v0_M1,v7_pair_009,control,False,,,,3000,0,True
positive_0p10_right_early_loading_v1_M1,v7_pair_010,positive,True,1787,1.7879999999998586,fallen_base_height,1787,1213,True
control_0p10_right_early_loading_v1_M1,v7_pair_010,control,False,,,,3000,0,True
positive_0p10_right_early_loading_v2_M1,v7_pair_011,positive,True,1766,1.766999999999861,fallen_base_height,1766,1234,True
control_0p10_right_early_loading_v2_M1,v7_pair_011,control,False,,,,3000,0,True
positive_0p10_right_mid_loading_early_stance_v0_M1,v7_pair_012,positive,False,,,,3000,0,True
control_0p10_right_mid_loading_early_stance_v0_M1,v7_pair_012,control,False,,,,3000,0,True
positive_0p10_right_mid_loading_early_stance_v1_M1,v7_pair_013,positive,False,,,,3000,0,True
control_0p10_right_mid_loading_early_stance_v1_M1,v7_pair_013,control,False,,,,3000,0,True
positive_0p10_right_mid_loading_early_stance_v2_M1,v7_pair_014,positive,False,,,,3000,0,True
control_0p10_right_mid_loading_early_stance_v2_M1,v7_pair_014,control,False,,,,3000,0,True
positive_0p10_right_mid_late_stance_v0_M1,v7_pair_015,positive,False,,,,3000,0,True
control_0p10_right_mid_late_stance_v0_M1,v7_pair_015,control,False,,,,3000,0,True
positive_0p10_right_mid_late_stance_v1_M1,v7_pair_016,positive,False,,,,3000,0,True
control_0p10_right_mid_late_stance_v1_M1,v7_pair_016,control,False,,,,3000,0,True
positive_0p10_right_mid_late_stance_v2_M1,v7_pair_017,positive,False,,,,3000,0,True
control_0p10_right_mid_late_stance_v2_M1,v7_pair_017,control,False,,,,3000,0,True
positive_0p15_left_early_loading_v0_M1,v7_pair_018,positive,True,2307,2.307999999999938,fallen_base_height,2307,693,True
control_0p15_left_early_loading_v0_M1,v7_pair_018,control,False,,,,3000,0,True
positive_0p15_left_early_loading_v1_M1,v7_pair_019,positive,True,2009,2.0099999999998386,fallen_base_height,2009,991,True
control_0p15_left_early_loading_v1_M1,v7_pair_019,control,False,,,,3000,0,True
positive_0p15_left_early_loading_v2_M1,v7_pair_020,positive,True,2111,2.1119999999998726,fallen_base_height,2111,889,True
control_0p15_left_early_loading_v2_M1,v7_pair_020,control,False,,,,3000,0,True
positive_0p15_left_mid_loading_early_stance_v0_M1,v7_pair_021,positive,False,,,,3000,0,True
control_0p15_left_mid_loading_early_stance_v0_M1,v7_pair_021,control,False,,,,3000,0,True
positive_0p15_left_mid_loading_early_stance_v1_M1,v7_pair_022,positive,False,,,,3000,0,True
control_0p15_left_mid_loading_early_stance_v1_M1,v7_pair_022,control,False,,,,3000,0,True
positive_0p15_left_mid_loading_early_stance_v2_M1,v7_pair_023,positive,False,,,,3000,0,True
control_0p15_left_mid_loading_early_stance_v2_M1,v7_pair_023,control,False,,,,3000,0,True
positive_0p15_left_mid_late_stance_v0_M1,v7_pair_024,positive,False,,,,3000,0,True
control_0p15_left_mid_late_stance_v0_M1,v7_pair_024,control,False,,,,3000,0,True
positive_0p15_left_mid_late_stance_v1_M1,v7_pair_025,positive,False,,,,3000,0,True
control_0p15_left_mid_late_stance_v1_M1,v7_pair_025,control,False,,,,3000,0,True
positive_0p15_left_mid_late_stance_v2_M1,v7_pair_026,positive,False,,,,3000,0,True
control_0p15_left_mid_late_stance_v2_M1,v7_pair_026,control,False,,,,3000,0,True
positive_0p15_right_early_loading_v0_M1,v7_pair_027,positive,True,1606,1.6069999999998785,fallen_base_height,1606,1394,True
control_0p15_right_early_loading_v0_M1,v7_pair_027,control,False,,,,3000,0,True
positive_0p15_right_early_loading_v1_M1,v7_pair_028,positive,True,2032,2.0329999999998463,fallen_base_height,2032,968,True
control_0p15_right_early_loading_v1_M1,v7_pair_028,control,False,,,,3000,0,True
