run_id,pair_id,role,target_foot,foot,actual_first_affected_foot,contact_episode_id,episode_start_sample,episode_end_sample_exclusive,touchdown_sample,physical_onset_sample,time_from_touchdown_to_onset_ms,active_physical_slip_intervals,maximum_contact_anchor_drift_m,stable_loaded_contact_valid,fall_time_s,fall_reason,first_fall_censor_boundary,post_fall_excluded_sample_count,air_mask_sample_count,touchdown_mask_sample_count,invalid_mask_sample_count,contralateral_physical_slip_contamination
positive_0p10_left_early_loading_v0_M1,v7_pair_000,positive,left,left,left,0,36,174,36,,,[],0.04770556464791298,True,2.423999999999977,fallen_base_height,2423,0,0,10,10,False
positive_0p10_left_early_loading_v0_M1,v7_pair_000,positive,left,left,left,1,175,185,175,,,[],0.009103414602577686,False,2.423999999999977,fallen_base_height,2423,0,0,10,10,False
positive_0p10_left_early_loading_v0_M1,v7_pair_000,positive,left,left,left,2,187,198,187,,,[],0.009141223505139351,True,2.423999999999977,fallen_base_height,2423,0,0,10,10,False
positive_0p10_left_early_loading_v0_M1,v7_pair_000,positive,left,left,left,3,199,202,199,,,[],0.0015730283921584487,False,2.423999999999977,fallen_base_height,2423,0,0,3,3,False
positive_0p10_left_early_loading_v0_M1,v7_pair_000,positive,left,left,left,4,536,636,536,627,92,"[[627,636]]",0.061190035194158554,True,2.423999999999977,fallen_base_height,2423,0,0,10,16,False
positive_0p10_left_early_loading_v0_M1,v7_pair_000,positive,left,left,left,5,637,656,637,,,[],0.021051369607448578,True,2.423999999999977,fallen_base_height,2423,0,0,10,10,False
positive_0p10_left_early_loading_v0_M1,v7_pair_000,positive,left,left,left,6,657,673,657,,,[],0.02030722051858902,True,2.423999999999977,fallen_base_height,2423,0,0,10,10,False
positive_0p10_left_early_loading_v0_M1,v7_pair_000,positive,left,left,left,7,675,694,675,,,[],0.02724526636302471,True,2.423999999999977,fallen_base_height,2423,0,0,10,10,False
positive_0p10_left_early_loading_v0_M1,v7_pair_000,positive,left,left,left,8,695,700,695,,,[],0.006241894327104092,False,2.423999999999977,fallen_base_height,2423,0,0,5,5,False
positive_0p10_left_early_loading_v0_M1,v7_pair_000,positive,left,left,left,9,701,704,701,,,[],0.0030680010095238686,False,2.423999999999977,fallen_base_height,2423,0,0,3,3,False
positive_0p10_left_early_loading_v0_M1,v7_pair_000,positive,left,left,left,10,705,708,705,,,[],0.0029541696421802044,False,2.423999999999977,fallen_base_height,2423,0,0,3,3,False
