run_id,pair_id,role,speed_mps,target_foot,target_phase,actual_onset_phase,severity,material_profile,control_type,variation_index,actual_first_affected_foot,target_touchdown_sample,target_touchdown_time_s,target_physical_onset_sample,target_physical_onset_time_s,touchdown_to_onset_ms,target_contact_episode_id,contralateral_physical_slip_contamination,valid_target_positive,wrong_foot_onset,bilateral_ambiguous,no_onset,fall_occurred,first_fall_sample,fall_reason,post_fall_excluded_sample_count,discarded,replaced,silently_relabelled,target_foot_patch_contact,target_foot_physical_slip,target_first,valid_pre_fall_duration_s,maximum_target_anchor_drift_m,source_valid,failure_reason,failed_attempt_preserved,development_only
positive_0p10_left_early_loading_v0_M1,v7_pair_000,positive,0.1,left,early_loading,early_loading,moderate_v2,moderate_v2_M1,hard_normal,0,left,536,0.5369999999999963,627,0.6279999999999862,92,4,False,True,False,False,False,True,2423,fallen_base_height,577,False,False,False,True,True,True,2.423,0.061190035194158554,True,,True,True
positive_0p10_left_early_loading_v1_M1,v7_pair_001,positive,0.1,left,early_loading,early_loading,moderate_v2,moderate_v2_M1,near_slip_non_event,1,left,307,0.3080000000000002,382,0.3830000000000003,76,1,False,True,False,False,False,True,2152,fallen_base_height,848,False,False,False,True,True,True,2.152,0.08342596888542175,True,,True,True
positive_0p10_left_early_loading_v2_M1,v7_pair_002,positive,0.1,left,early_loading,mid_loading_early_stance,moderate_v2,moderate_v2_M1,hard_normal,2,left,44,0.04500000000000003,263,0.2640000000000002,220,0,False,False,False,False,False,True,2036,fallen_base_height,964,False,False,False,True,True,True,2.036,0.11006782948970795,False,OTHER_WITH_EVIDENCE,True,True
positive_0p10_left_mid_loading_early_stance_v0_M1,v7_pair_003,positive,0.1,left,mid_loading_early_stance,mid_loading_early_stance,moderate_v2,moderate_v2_M1,near_slip_non_event,0,left,551,0.5519999999999946,738,0.738999999999974,188,1,False,True,False,False,False,False,,,0,False,False,False,True,True,True,3.0,0.08378929644823074,True,,True,True
positive_0p10_left_mid_loading_early_stance_v1_M1,v7_pair_004,positive,0.1,left,mid_loading_early_stance,mid_loading_early_stance,moderate_v2,moderate_v2_M1,hard_normal,1,left,304,0.3050000000000002,546,0.5469999999999952,243,1,False,True,False,False,False,False,,,0,False,False,False,True,True,True,3.0,0.0831691101193428,True,,True,True
positive_0p10_left_mid_loading_early_stance_v2_M1,v7_pair_005,positive,0.1,left,mid_loading_early_stance,mid_loading_early_stance,moderate_v2,moderate_v2_M1,near_slip_non_event,2,left,44,0.04500000000000003,255,0.25600000000000017,212,0,False,True,False,False,False,False,,,0,False,False,False,True,True,True,3.0,0.1170894131064415,True,,True,True
positive_0p10_left_mid_late_stance_v0_M1,v7_pair_006,positive,0.1,left,mid_late_stance,none,moderate_v2,moderate_v2_M1,hard_normal,0,none,36,0.037000000000000026,,,,0,False,False,False,False,True,False,,,0,False,False,False,True,False,False,3.0,0.036198366433382034,False,NO_PHYSICAL_ONSET,True,True
positive_0p10_left_mid_late_stance_v1_M1,v7_pair_007,positive,0.1,left,mid_late_stance,mid_late_stance,moderate_v2,moderate_v2_M1,near_slip_non_event,1,left,304,0.3050000000000002,587,0.5879999999999906,284,1,False,True,False,False,False,False,,,0,False,False,False,True,True,True,3.0,0.05572892725467682,True,,True,True
positive_0p10_left_mid_late_stance_v2_M1,v7_pair_008,positive,0.1,left,mid_late_stance,none,moderate_v2,moderate_v2_M1,hard_normal,2,none,44,0.04500000000000003,,,,0,False,False,False,False,True,False,,,0,False,False,False,True,False,False,3.0,0.039111945778131485,False,NO_PHYSICAL_ONSET,True,True
positive_0p10_right_early_loading_v0_M1,v7_pair_009,positive,0.1,right,early_loading,early_loading,moderate_v2,moderate_v2_M1,near_slip_non_event,0,right,207,0.20800000000000016,307,0.3080000000000002,101,1,False,True,False,False,False,True,1617,fallen_base_height,1383,False,False,False,True,True,True,1.617,0.13074953854084015,True,,True,True
