run_id,pair_id,pair_index,role,block,calibration_arm,speed_mps,target_foot,target_phase,severity,material_profile,control_type,variation_index,phase_fraction,command_delay_s,lateral_offset_m,seed,duration_s,disposition,pair_fingerprint,patch,collision_geometry_sha256,initial_qpos_sha256,initial_qvel_sha256,initial_policy_observation_sha256,sample_count,first_sample_time_s,last_sample_time_s,sample_spacing_max_error_s,fusion20_shape,finite_fusion20,first_patch_contact_sample,patch_active_contact_sample_count,intervention_configured_physics_steps,effective_patch_friction_mean,patch_base_double_contact_count,left_first_loaded_touchdown_sample,right_first_loaded_touchdown_sample,first_fall_sample,first_fall_time_s,fall_occurred,fall_reason,post_fall_excluded_sample_count,full_trace_sha256,discarded,replaced,silently_relabelled,development_only,g0_geometry_sha256,profile_calibration_only_do_not_train,training_use_assigned
positive_0p10_left_early_loading_v0_M1,v7_pair_000,0,positive,moderate_v2_reacquisition,,0.1,left,early_loading,moderate_v2,moderate_v2_M1,hard_normal,0,0.07,0.0,-0.004,202608900,3.0,DEVELOPMENT_ONLY,95e3fbde1006e9ddd2687d0eae3777101021a8c2136755a3aa4737c049124c76,"{'x_min_m': -1.0, 'x_max_m': 2.0, 'y_min_m': -0.8, 'y_max_m': 0.8, 'top_z_m': 0.0}",58b3071a02305e9ea39c75751a7a9c67c32afb648478888eb597c404f529b717,c6914df78110521288a51f3d827b495fc5f022cb8b99ff600f86eec0e59cfa50,739f5217f3e8e9801933e65a7dd1e68d25692cd5acd6dd85c01756ca0769b145,e8db233ba68753692a7ca9d542ffa00754cdd2d0c4f2c428ef2644dfc559214a,3000,0.001,3.000000000000169,3.3393426912553537e-16,"[3000, 20]",True,36,1016,6000,0.08749999999999998,0,36,43,2423,2.423999999999977,True,fallen_base_height,577,ce33ae038e1c28d6f8e6b39be0c702702024557ca83ad29ea5f3541a35f9c80c,False,False,False,True,a7ecd6fa3e44f49b07f3b0a0729d091f2156bc8493b171549748776c9fde5583,False,False
control_0p10_left_early_loading_v0_M1,v7_pair_000,0,control,moderate_v2_reacquisition,,0.1,left,early_loading,moderate_v2,hard_normal,hard_normal,0,0.07,0.0,-0.004,202608900,3.0,DEVELOPMENT_ONLY,95e3fbde1006e9ddd2687d0eae3777101021a8c2136755a3aa4737c049124c76,"{'x_min_m': -1.0, 'x_max_m': 2.0, 'y_min_m': -0.8, 'y_max_m': 0.8, 'top_z_m': 0.0}",58b3071a02305e9ea39c75751a7a9c67c32afb648478888eb597c404f529b717,c6914df78110521288a51f3d827b495fc5f022cb8b99ff600f86eec0e59cfa50,739f5217f3e8e9801933e65a7dd1e68d25692cd5acd6dd85c01756ca0769b145,e8db233ba68753692a7ca9d542ffa00754cdd2d0c4f2c428ef2644dfc559214a,3000,0.001,3.000000000000169,3.3393426912553537e-16,"[3000, 20]",True,36,1607,0,1.0,0,36,43,,,False,,0,18c2d23a5eb068a275d76e00e9c754ed3cecc807eac3462d0635c5677b86b20c,False,False,False,True,a7ecd6fa3e44f49b07f3b0a0729d091f2156bc8493b171549748776c9fde5583,False,False
positive_0p10_left_early_loading_v1_M1,v7_pair_001,1,positive,moderate_v2_reacquisition,,0.1,left,early_loading,moderate_v2,moderate_v2_M1,near_slip_non_event,1,0.41,0.04,0.0,202608901,3.0,DEVELOPMENT_ONLY,0b4da428ef9e25cf4beb3bbf07694b47960c8b1610811d936cc11903eab162d7,"{'x_min_m': -1.0, 'x_max_m': 2.0, 'y_min_m': -0.8, 'y_max_m': 0.8, 'top_z_m': 0.0}",58b3071a02305e9ea39c75751a7a9c67c32afb648478888eb597c404f529b717,494b0db08b0034d34c6a253231dda4af5589da31cbfa4c59d6a7911698bee6f2,08e3401f959bf759090f7f04a75d1b3ab782a67c25cd13e2da6be6f1e55daf9d,9145d4546123182ed68a19d519066e07547c7a9c385db1f5ec2a30986e59f0f8,3000,0.001,3.000000000000169,3.3393426912553537e-16,"[3000, 20]",True,39,1513,6000,0.08750000000000001,0,39,37,2152,2.1529999999998863,True,fallen_base_height,848,347a246c505e44758585569e247c88b17791c898e23e94ca5e93b66a6ba56906,False,False,False,True,a7ecd6fa3e44f49b07f3b0a0729d091f2156bc8493b171549748776c9fde5583,False,False
control_0p10_left_early_loading_v1_M1,v7_pair_001,1,control,moderate_v2_reacquisition,,0.1,left,early_loading,moderate_v2,near_slip_non_event,near_slip_non_event,1,0.41,0.04,0.0,202608901,3.0,DEVELOPMENT_ONLY,0b4da428ef9e25cf4beb3bbf07694b47960c8b1610811d936cc11903eab162d7,"{'x_min_m': -1.0, 'x_max_m': 2.0, 'y_min_m': -0.8, 'y_max_m': 0.8, 'top_z_m': 0.0}",58b3071a02305e9ea39c75751a7a9c67c32afb648478888eb597c404f529b717,494b0db08b0034d34c6a253231dda4af5589da31cbfa4c59d6a7911698bee6f2,08e3401f959bf759090f7f04a75d1b3ab782a67c25cd13e2da6be6f1e55daf9d,9145d4546123182ed68a19d519066e07547c7a9c385db1f5ec2a30986e59f0f8,3000,0.001,3.000000000000169,3.3393426912553537e-16,"[3000, 20]",True,39,1681,6000,0.35000000000000003,0,39,37,,,False,,0,4c7d9f35d260ec5e32734c550c359e0a1318a75b12db05bd927a727f7b3a9259,False,False,False,True,a7ecd6fa3e44f49b07f3b0a0729d091f2156bc8493b171549748776c9fde5583,False,False
positive_0p10_left_early_loading_v2_M1,v7_pair_002,2,positive,moderate_v2_reacquisition,,0.1,left,early_loading,moderate_v2,moderate_v2_M1,hard_normal,2,0.83,0.08,0.004,202608902,3.0,DEVELOPMENT_ONLY,9b6f248379f1db42d28bee6f5f344f7bb1750745004973eb043a0f6f46957a8d,"{'x_min_m': -1.0, 'x_max_m': 2.0, 'y_min_m': -0.8, 'y_max_m': 0.8, 'top_z_m': 0.0}",58b3071a02305e9ea39c75751a7a9c67c32afb648478888eb597c404f529b717,c09168c4afbdc76cfa911f5f38e71e3b37058de8dbf2d953b5bf73a390a53b2e,1b6944bed7bcc15d67286bc959f3688b1893da3b8c5b953fe59e3d6c9aaf40a0,2dee8a77f195705bee7a231aaf858fad80e20a68a76c91445fcbc4dfb3ec8014,3000,0.001,3.000000000000169,3.3393426912553537e-16,"[3000, 20]",True,44,1753,6000,0.0875,0,44,34,2036,2.0369999999998476,True,fallen_base_height,964,7c2cd2c416e8f2f8be7b3240726a40da9b14a022f7137bb14977c31fd8ff9c63,False,False,False,True,a7ecd6fa3e44f49b07f3b0a0729d091f2156bc8493b171549748776c9fde5583,False,False
control_0p10_left_early_loading_v2_M1,v7_pair_002,2,control,moderate_v2_reacquisition,,0.1,left,early_loading,moderate_v2,hard_normal,hard_normal,2,0.83,0.08,0.004,202608902,3.0,DEVELOPMENT_ONLY,9b6f248379f1db42d28bee6f5f344f7bb1750745004973eb043a0f6f46957a8d,"{'x_min_m': -1.0, 'x_max_m': 2.0, 'y_min_m': -0.8, 'y_max_m': 0.8, 'top_z_m': 0.0}",58b3071a02305e9ea39c75751a7a9c67c32afb648478888eb597c404f529b717,c09168c4afbdc76cfa911f5f38e71e3b37058de8dbf2d953b5bf73a390a53b2e,1b6944bed7bcc15d67286bc959f3688b1893da3b8c5b953fe59e3d6c9aaf40a0,2dee8a77f195705bee7a231aaf858fad80e20a68a76c91445fcbc4dfb3ec8014,3000,0.001,3.000000000000169,3.3393426912553537e-16,"[3000, 20]",True,44,1714,0,1.0,0,44,34,,,False,,0,9924d6d7fdc88d996dba9ea034df285058a43f7d9deebcb367564ff8d9d4accf,False,False,False,True,a7ecd6fa3e44f49b07f3b0a0729d091f2156bc8493b171549748776c9fde5583,False,False
positive_0p10_left_mid_loading_early_stance_v0_M1,v7_pair_003,3,positive,moderate_v2_reacquisition,,0.1,left,mid_loading_early_stance,moderate_v2,moderate_v2_M1,near_slip_non_event,0,0.07,0.0,-0.004,202608903,3.0,DEVELOPMENT_ONLY,cd5740265a52d574439a86e2402be9e751c87bac54a5e13d9df4c2e28bc00ed8,"{'x_min_m': -1.0, 'x_max_m': 2.0, 'y_min_m': -0.8, 'y_max_m': 0.8, 'top_z_m': 0.0}",58b3071a02305e9ea39c75751a7a9c67c32afb648478888eb597c404f529b717,578050ad6196d98eb1c5bbcd487ac39e7784bebc0a3b77f893c5b21cf0da7440,b81d1f640e5b4d79ddd62fccffafa4bf09301639ea042f103c17c4591dec5c34,e8db233ba68753692a7ca9d542ffa00754cdd2d0c4f2c428ef2644dfc559214a,3000,0.001,3.000000000000169,3.3393426912553537e-16,"[3000, 20]",True,36,1579,1377,0.6052960734642179,0,36,43,,,False,,0,9480798a55277714114dc37725806caa700593e88f977b249e66d80c8e6e15c8,False,False,False,True,a7ecd6fa3e44f49b07f3b0a0729d091f2156bc8493b171549748776c9fde5583,False,False
control_0p10_left_mid_loading_early_stance_v0_M1,v7_pair_003,3,control,moderate_v2_reacquisition,,0.1,left,mid_loading_early_stance,moderate_v2,near_slip_non_event,near_slip_non_event,0,0.07,0.0,-0.004,202608903,3.0,DEVELOPMENT_ONLY,cd5740265a52d574439a86e2402be9e751c87bac54a5e13d9df4c2e28bc00ed8,"{'x_min_m': -1.0, 'x_max_m': 2.0, 'y_min_m': -0.8, 'y_max_m': 0.8, 'top_z_m': 0.0}",58b3071a02305e9ea39c75751a7a9c67c32afb648478888eb597c404f529b717,578050ad6196d98eb1c5bbcd487ac39e7784bebc0a3b77f893c5b21cf0da7440,b81d1f640e5b4d79ddd62fccffafa4bf09301639ea042f103c17c4591dec5c34,e8db233ba68753692a7ca9d542ffa00754cdd2d0c4f2c428ef2644dfc559214a,3000,0.001,3.000000000000169,3.3393426912553537e-16,"[3000, 20]",True,36,1576,2324,0.521986040609137,0,36,43,,,False,,0,a0c3630368822dab0146e1b7a8cde615c983b4ac9a764f61fd6fddbc2ecb8670,False,False,False,True,a7ecd6fa3e44f49b07f3b0a0729d091f2156bc8493b171549748776c9fde5583,False,False
positive_0p10_left_mid_loading_early_stance_v1_M1,v7_pair_004,4,positive,moderate_v2_reacquisition,,0.1,left,mid_loading_early_stance,moderate_v2,moderate_v2_M1,hard_normal,1,0.41,0.04,0.0,202608904,3.0,DEVELOPMENT_ONLY,90ec3aa5e05cce8aaa9cb32e1a2ec2e6d96077dccbac2d806a95a992d20fa1d1,"{'x_min_m': -1.0, 'x_max_m': 2.0, 'y_min_m': -0.8, 'y_max_m': 0.8, 'top_z_m': 0.0}",58b3071a02305e9ea39c75751a7a9c67c32afb648478888eb597c404f529b717,2a8e51822911fbff28b82165755caedaa474cf26367323083b3897aaf054b853,518560ec3a09ba366a7b1f6040ad3c292abc78ed0e2e2ae60fa9b769d950bc24,9145d4546123182ed68a19d519066e07547c7a9c385db1f5ec2a30986e59f0f8,3000,0.001,3.000000000000169,3.3393426912553537e-16,"[3000, 20]",True,39,1689,1357,0.6380254588513914,0,39,37,,,False,,0,98526dfb74487a51dade4b45bcf156a999c41403bda957b0a6b5e8f227b0700e,False,False,False,True,a7ecd6fa3e44f49b07f3b0a0729d091f2156bc8493b171549748776c9fde5583,False,False
control_0p10_left_mid_loading_early_stance_v1_M1,v7_pair_004,4,control,moderate_v2_reacquisition,,0.1,left,mid_loading_early_stance,moderate_v2,hard_normal,hard_normal,1,0.41,0.04,0.0,202608904,3.0,DEVELOPMENT_ONLY,90ec3aa5e05cce8aaa9cb32e1a2ec2e6d96077dccbac2d806a95a992d20fa1d1,"{'x_min_m': -1.0, 'x_max_m': 2.0, 'y_min_m': -0.8, 'y_max_m': 0.8, 'top_z_m': 0.0}",58b3071a02305e9ea39c75751a7a9c67c32afb648478888eb597c404f529b717,2a8e51822911fbff28b82165755caedaa474cf26367323083b3897aaf054b853,518560ec3a09ba366a7b1f6040ad3c292abc78ed0e2e2ae60fa9b769d950bc24,9145d4546123182ed68a19d519066e07547c7a9c385db1f5ec2a30986e59f0f8,3000,0.001,3.000000000000169,3.3393426912553537e-16,"[3000, 20]",True,39,1704,0,1.0,0,39,37,,,False,,0,d039a5b79f8b17b4f651dcf5ef166b76a12b649a812eb8888f9eee2950c17cae,False,False,False,True,a7ecd6fa3e44f49b07f3b0a0729d091f2156bc8493b171549748776c9fde5583,False,False
