run_id,pair_id,role,timestamp_s,start_sample,foot,sole_geom_name,sole_geom_id,patch_geom_name,patch_geom_id,contact_position_first_xyz,contact_position_last_xyz,patch_inclusion,explicit_pair_id,effective_friction_first,effective_friction_last,effective_sliding_friction_min,effective_sliding_friction_max,contact_dimension,exclude_state,efc_address_min,efc_address_max,normal_contact_force_peak_n,tangential_contact_force_peak_n,friction_configured_before_collision,constraints_constructed_at_configuration,patch_base_double_contact,visual_only_geom,end_sample_exclusive,end_time_s_exclusive,observed_1khz_sample_count,normal_contact_force_mean_n,tangential_contact_force_mean_n,contact_anchor_position_xy,contact_anchor_drift_max_m,block,calibration_arm,disposition
cal_0p10_hard_control,v7_cal_group_0,control,0.04000000000000003,39,left,left_foot_contact_3,19,slip_patch,2,"[0.0933181387001435, 0.1491524239229623, -0.00015007061701909075]","[0.09395627661798872, 0.14845010385568214, -6.338908213905647e-05]",True,2,"[1.0, 1.0, 0.005, 0.0001, 0.0001]","[1.0, 1.0, 0.005, 0.0001, 0.0001]",1.0,1.0,3,0,29,37,108.8507425853773,48.131994306643946,True,False,False,False,79,0.08000000000000006,40,30.433756522511914,8.576430300037096,"[-0.026631824672222137, 0.11975385993719101]",0.0004101158119738102,profile_calibration,hard_control,PROFILE_CALIBRATION_ONLY_DO_NOT_TRAIN
cal_0p10_hard_control,v7_cal_group_0,control,0.04000000000000003,39,left,left_foot_contact_4,20,slip_patch,2,"[0.09298997491089156, 0.08915341412470194, -0.00020282418485695342]","[0.09322697535076963, 0.08829146136450464, -7.926252738796324e-05]",True,3,"[1.0, 1.0, 0.005, 0.0001, 0.0001]","[1.0, 1.0, 0.005, 0.0001, 0.0001]",1.0,1.0,3,0,33,41,101.49320991777995,52.76163489826413,True,False,False,False,81,0.08200000000000006,42,37.175141855727155,8.280337117905567,"[-0.026631824672222137, 0.11975385993719101]",0.0004101158119738102,profile_calibration,hard_control,PROFILE_CALIBRATION_ONLY_DO_NOT_TRAIN
cal_0p10_hard_control,v7_cal_group_0,control,0.04200000000000003,41,left,left_foot_contact_1,17,slip_patch,2,"[-0.07660791638345932, 0.14520954527958146, -3.2096454555263776e-06]","[-0.07592608891644725, 0.14521188761270004, -6.317324850099726e-05]",True,0,"[1.0, 1.0, 0.005, 0.0001, 0.0001]","[1.0, 1.0, 0.005, 0.0001, 0.0001]",1.0,1.0,3,0,29,29,238.22340629687972,25.981560192932818,True,False,False,False,87,0.08800000000000006,46,64.10874584289368,4.548461217800252,"[-0.026631824672222137, 0.11975385993719101]",0.0004738076531793922,profile_calibration,hard_control,PROFILE_CALIBRATION_ONLY_DO_NOT_TRAIN
cal_0p10_hard_control,v7_cal_group_0,control,0.04200000000000003,41,left,left_foot_contact_2,18,slip_patch,2,"[-0.07691677086538806, 0.09521059771139159, -5.283570312525354e-05]","[-0.07667511191560428, 0.09502986933554688, -7.261226327057169e-05]",True,1,"[1.0, 1.0, 0.005, 0.0001, 0.0001]","[1.0, 1.0, 0.005, 0.0001, 0.0001]",1.0,1.0,3,0,29,33,294.98166390857205,31.33472508795527,True,False,False,False,89,0.09000000000000007,48,78.07985367604796,10.087147716901596,"[-0.026631824672222137, 0.11975385993719101]",0.0006749160238541663,profile_calibration,hard_control,PROFILE_CALIBRATION_ONLY_DO_NOT_TRAIN
cal_0p10_hard_control,v7_cal_group_0,control,0.03800000000000003,37,right,right_foot_contact_4,35,slip_patch,2,"[0.09434707055011432, -0.14688585552629152, -8.455300899934404e-05]","[0.0952328258776215, -0.14654332273781753, -1.1238495303406149e-06]",True,7,"[1.0, 1.0, 0.005, 0.0001, 0.0001]","[1.0, 1.0, 0.005, 0.0001, 0.0001]",1.0,1.0,3,0,29,57,144.05886384796233,62.384515905487476,True,False,False,False,177,0.17800000000000013,140,43.93381083325659,8.543118066950635,"[-0.025513166561722755, -0.11800125241279602]",0.0003605154051911086,profile_calibration,hard_control,PROFILE_CALIBRATION_ONLY_DO_NOT_TRAIN
cal_0p10_hard_control,v7_cal_group_0,control,0.04300000000000003,42,right,right_foot_contact_2,33,slip_patch,2,"[-0.07520325069978695, -0.14344818556495859, -4.6872833726147034e-05]","[-0.074814196707079, -0.1439580607635785, -1.3043610955221219e-06]",True,5,"[1.0, 1.0, 0.005, 0.0001, 0.0001]","[1.0, 1.0, 0.005, 0.0001, 0.0001]",1.0,1.0,3,0,33,49,507.8825497658897,25.210591072973155,True,False,False,False,190,0.19100000000000014,148,75.13225489127694,10.937921439065983,"[-0.025513166561722755, -0.11800125241279602]",0.0003605154051911086,profile_calibration,hard_control,PROFILE_CALIBRATION_ONLY_DO_NOT_TRAIN
cal_0p10_hard_control,v7_cal_group_0,control,0.04400000000000003,43,right,right_foot_contact_1,32,slip_patch,2,"[-0.07569822872353349, -0.09347361809339122, -0.00016293927839487743]","[-0.07557515209152799, -0.09379696980914251, -1.6067080756243524e-05]",True,4,"[1.0, 1.0, 0.005, 0.0001, 0.0001]","[1.0, 1.0, 0.005, 0.0001, 0.0001]",1.0,1.0,3,0,29,45,252.52313964256862,33.39928318801117,True,False,False,False,325,0.32600000000000023,282,138.53637662302842,17.80465456660994,"[-0.025513166561722755, -0.11800125241279602]",0.0026916339993476868,profile_calibration,hard_control,PROFILE_CALIBRATION_ONLY_DO_NOT_TRAIN
cal_0p10_hard_control,v7_cal_group_0,control,0.03900000000000003,38,right,right_foot_contact_3,34,slip_patch,2,"[0.09393977674914189, -0.08682192395861778, -0.00019563073331341219]","[0.09425468573180823, -0.086691061463155, -8.004931202884591e-06]",True,6,"[1.0, 1.0, 0.005, 0.0001, 0.0001]","[1.0, 1.0, 0.005, 0.0001, 0.0001]",1.0,1.0,3,0,29,53,275.3349859915778,68.60663585384083,True,False,False,False,328,0.32900000000000024,290,123.21771691257393,19.499667930479742,"[-0.025513166561722755, -0.11800125241279602]",0.002952250186353922,profile_calibration,hard_control,PROFILE_CALIBRATION_ONLY_DO_NOT_TRAIN
cal_0p10_hard_control,v7_cal_group_0,control,0.3110000000000002,310,left,left_foot_contact_4,20,slip_patch,2,"[0.15575733955366022, 0.15471572891446625, -0.0003570259640439388]","[0.15717983229971277, 0.1578782115655483, -3.5858540926858584e-07]",True,3,"[1.0, 1.0, 0.005, 0.0001, 0.0001]","[1.0, 1.0, 0.005, 0.0001, 0.0001]",1.0,1.0,3,0,37,41,208.42269649002617,65.39943845430324,True,False,False,False,408,0.4090000000000003,98,11.398756388647499,4.846381026417641,"[0.03302982077002525, 0.17981362342834473]",0.00730467913672328,profile_calibration,hard_control,PROFILE_CALIBRATION_ONLY_DO_NOT_TRAIN
cal_0p10_hard_control,v7_cal_group_0,control,0.3130000000000002,312,left,left_foot_contact_3,19,slip_patch,2,"[0.15543564117326286, 0.21545900156952347, -0.000334648267449722]","[0.1562519641082813, 0.21837924648104065, -8.616474236611271e-06]",True,2,"[1.0, 1.0, 0.005, 0.0001, 0.0001]","[1.0, 1.0, 0.005, 0.0001, 0.0001]",1.0,1.0,3,0,37,37,185.0640972920992,32.24961892188064,True,False,False,False,662,0.6629999999999824,350,52.95726024925604,7.691685145913394,"[0.03302982077002525, 0.17981362342834473]",0.007923583500087261,profile_calibration,hard_control,PROFILE_CALIBRATION_ONLY_DO_NOT_TRAIN
