run_id,pair_id,role,fall_occurred,first_fall_sample,first_fall_time_s,fall_reason,pre_fall_valid_sample_count,post_fall_stored_sample_count,post_fall_excluded_from_labels
cal_0p10_hard_control,v7_cal_group_0,control,False,,,,3000,0,True
cal_0p10_strong_reference,v7_cal_group_0,positive,False,,,,3000,0,True
cal_0p10_M0,v7_cal_group_0,positive,False,,,,3000,0,True
cal_0p10_M1,v7_cal_group_0,positive,False,,,,3000,0,True
cal_0p10_M2,v7_cal_group_0,positive,False,,,,3000,0,True
cal_0p10_M3,v7_cal_group_0,positive,False,,,,3000,0,True
cal_0p15_hard_control,v7_cal_group_1,control,False,,,,3000,0,True
cal_0p15_strong_reference,v7_cal_group_1,positive,False,,,,3000,0,True
cal_0p15_M0,v7_cal_group_1,positive,False,,,,3000,0,True
cal_0p15_M1,v7_cal_group_1,positive,False,,,,3000,0,True
cal_0p15_M2,v7_cal_group_1,positive,False,,,,3000,0,True
cal_0p15_M3,v7_cal_group_1,positive,False,,,,3000,0,True
cal_0p20_hard_control,v7_cal_group_2,control,False,,,,3000,0,True
cal_0p20_strong_reference,v7_cal_group_2,positive,False,,,,3000,0,True
cal_0p20_M0,v7_cal_group_2,positive,False,,,,3000,0,True
cal_0p20_M1,v7_cal_group_2,positive,False,,,,3000,0,True
cal_0p20_M2,v7_cal_group_2,positive,False,,,,3000,0,True
cal_0p20_M3,v7_cal_group_2,positive,False,,,,3000,0,True
