row_type,group_id,speed_mps,run_id,calibration_arm,material_profile,effective_sliding_friction,effective_friction_vector,effective_friction_contract,patch_contact_duration_ms,maximum_continuous_patch_dwell_ms,normal_contact_force_mean_n,tangential_contact_force_mean_n,friction_cone_utilization_mean,tangential_foot_velocity_mean_mps,contralateral_support_load_mean_n,maximum_anchor_drift_m,physical_onset_time_s,touchdown_to_onset_ms,actual_first_affected_foot,contact_loss_before_physical_onset,fall_occurred,first_fall_censor_boundary,full_trace_sha256,source_valid,patch_base_double_contact_count,finite_fusion20,sample_count,disposition,training_use_assigned,model_score_used,candidate_id,profile_name,friction3,friction5,profile_sha256,speed_criteria,valid_speed_count,candidate_pass
arm,v7_cal_group_0,0.1,cal_0p10_hard_control,hard_control,hard_normal,1.0,"[1.0, 1.0, 0.005, 0.0001, 0.0001]",True,1703,380,308.89185275259075,44.29537660965372,0.18802618013332456,0.015880148857831955,60.45793151855469,0.007923583500087261,,,none,True,False,,ff85f3d6895bc0233bd52228172290312c362d9dd0ea9cdeb63cba77f63a3871,False,0,True,3000,PROFILE_CALIBRATION_ONLY_DO_NOT_TRAIN,False,False,,,,,,,,
arm,v7_cal_group_0,0.1,cal_0p10_strong_reference,strong_reference,native_strong_ice,0.05,"[0.05, 0.05, 0.001, 1e-05, 1e-05]",True,1664,282,290.0133942925922,14.500669714629607,1.0,0.48052486777305603,0.0,0.07715624570846558,0.5699999999999926,266,left,False,False,,f37f7151738e69b25cb94ee88b2d2cf073a015a3da89e07502c97220927b4d2d,True,0,True,3000,PROFILE_CALIBRATION_ONLY_DO_NOT_TRAIN,False,False,,,,,,,,
arm,v7_cal_group_0,0.1,cal_0p10_M0,M0,moderate_v1_M0,0.1,"[0.1, 0.1, 0.00125, 2.125e-05, 2.125e-05]",True,1684,321,286.5459301848544,28.263866114463426,0.9825021004046949,0.2581222355365753,48.77183532714844,0.0381956622004509,,,none,True,False,,c7c5a18e34126b843b552c2ad673e2d2a1b44a5eaf565a5dd8afd799f2fa3e44,False,0,True,3000,PROFILE_CALIBRATION_ONLY_DO_NOT_TRAIN,False,False,,,,,,,,
arm,v7_cal_group_0,0.1,cal_0p10_M1,M1,moderate_v2_M1,0.08750000000000001,"[0.08750000000000001, 0.08750000000000001, 0.00125, 2.125e-05, 2.125e-05]",True,1723,350,301.3024600764373,26.350035697828023,0.9985390981033225,0.4468506872653961,0.0,0.05771153047680855,0.5889999999999905,285,left,False,False,,44b21d29482ff41bfe72db459079a5db3ec32b100b2af60afe9ef9e6bcecde41,True,0,True,3000,PROFILE_CALIBRATION_ONLY_DO_NOT_TRAIN,False,False,,,,,,,,
arm,v7_cal_group_0,0.1,cal_0p10_M2,M2,moderate_v2_M2,0.07500000000000001,"[0.07500000000000001, 0.07500000000000001, 0.00125, 2.125e-05, 2.125e-05]",True,1713,361,313.47654969034454,23.51024295003054,0.9999803950534782,0.3225993812084198,0.0,0.0456295870244503,,,none,True,False,,62a98e0fd22d8146086d36b58a20d45f5f23fcfceb799a17fe85aedf7cdf376e,False,0,True,3000,PROFILE_CALIBRATION_ONLY_DO_NOT_TRAIN,False,False,,,,,,,,
arm,v7_cal_group_0,0.1,cal_0p10_M3,M3,moderate_v2_M3,0.0625,"[0.0625, 0.0625, 0.00125, 2.125e-05, 2.125e-05]",True,1719,362,317.95159495381233,19.870874095597927,0.9995101303724315,0.3625949025154114,0.0,0.040566056966781616,,,none,True,False,,1bbdde123ad31da1fda9ba81e426c24769c5afd16eb8746f1b4f8a4aa968e53e,False,0,True,3000,PROFILE_CALIBRATION_ONLY_DO_NOT_TRAIN,False,False,,,,,,,,
arm,v7_cal_group_1,0.15,cal_0p15_hard_control,hard_control,hard_normal,1.0,"[1.0, 1.0, 0.005, 0.0001, 0.0001]",True,1686,379,311.9015987454502,45.52640415317592,0.18738699652990007,0.016950679942965508,58.20565414428711,0.007998533546924591,,,none,True,False,,37b69b0c1586314bc5bc8ffd9d433337a9cd6576e075758c7dfe516d563c35a9,False,0,True,3000,PROFILE_CALIBRATION_ONLY_DO_NOT_TRAIN,False,False,,,,,,,,
arm,v7_cal_group_1,0.15,cal_0p15_strong_reference,strong_reference,native_strong_ice,0.05,"[0.05, 0.05, 0.001, 1e-05, 1e-05]",True,1708,353,317.93407494450946,15.89670374722547,1.0,0.4219326674938202,0.0,0.061624348163604736,0.5679999999999928,264,left,False,False,,7e0de57d3a3261a5e1cc183cd75c7ca321f7e26ef3cf6419d8d9b8d0db5a6760,True,0,True,3000,PROFILE_CALIBRATION_ONLY_DO_NOT_TRAIN,False,False,,,,,,,,
arm,v7_cal_group_1,0.15,cal_0p15_M0,M0,moderate_v1_M0,0.1,"[0.1, 0.1, 0.00125, 2.125e-05, 2.125e-05]",True,1694,343,289.8259424054201,28.6729933394248,0.9879914558307131,0.21097515523433685,40.9892463684082,0.03183237090706825,,,none,True,False,,781d566928c74de612ad4211668309922463724c466d60d48e813c8718497139,False,0,True,3000,PROFILE_CALIBRATION_ONLY_DO_NOT_TRAIN,False,False,,,,,,,,
arm,v7_cal_group_1,0.15,cal_0p15_M1,M1,moderate_v2_M1,0.08750000000000001,"[0.08750000000000001, 0.08750000000000001, 0.00125, 2.125e-05, 2.125e-05]",True,1712,287,309.1871614555365,27.052492367704215,0.9995252055011771,0.43003934621810913,0.0,0.05823401361703873,0.584999999999991,281,left,False,False,,2a1fd333f426e9bf5fedfb9f681f064f1949b04c5d19d0fa386c04cf5a069b18,True,0,True,3000,PROFILE_CALIBRATION_ONLY_DO_NOT_TRAIN,False,False,,,,,,,,
arm,v7_cal_group_1,0.15,cal_0p15_M2,M2,moderate_v2_M2,0.07500000000000001,"[0.07500000000000001, 0.07500000000000001, 0.00125, 2.125e-05, 2.125e-05]",True,1688,301,289.5261718408778,21.711750645547042,0.9998938525376783,0.4316258430480957,15.517147064208984,0.0581527054309845,2.9950000000001675,276,left,False,False,,ac5d306bb4c1e9089cee7f8f4e54b3b06b0745bcb38d242aab05c3a97149b860,True,0,True,3000,PROFILE_CALIBRATION_ONLY_DO_NOT_TRAIN,False,False,,,,,,,,
arm,v7_cal_group_1,0.15,cal_0p15_M3,M3,moderate_v2_M3,0.0625,"[0.0625, 0.0625, 0.00125, 2.125e-05, 2.125e-05]",True,1705,343,315.53548992961055,19.7179530676673,0.9998594929626153,0.41080623865127563,0.0,0.04921381548047066,,,none,True,False,,261f147c10d5650af1e3e680c034394af9dda533302e789a506fbec02c41b53f,False,0,True,3000,PROFILE_CALIBRATION_ONLY_DO_NOT_TRAIN,False,False,,,,,,,,
arm,v7_cal_group_2,0.2,cal_0p20_hard_control,hard_control,hard_normal,1.0,"[1.0, 1.0, 0.005, 0.0001, 0.0001]",True,1668,378,314.7708910007942,46.0828834287665,0.18057709100028357,0.01887756772339344,55.90107727050781,0.008821888826787472,,,none,True,False,,73e3fbf87c30fc16a43bb08bc9ab2f4ecb7a2fbcd789fda405d459955ae6decf,False,0,True,3000,PROFILE_CALIBRATION_ONLY_DO_NOT_TRAIN,False,False,,,,,,,,
arm,v7_cal_group_2,0.2,cal_0p20_strong_reference,strong_reference,native_strong_ice,0.05,"[0.05, 0.05, 0.001, 1e-05, 1e-05]",True,1679,360,290.60397525756224,14.530198762878113,1.0,0.4837469756603241,8.773947715759277,0.06246103718876839,1.8179999999998553,279,left,False,False,,39e19866ec89c069efe91727b267c92e7306a70acda72a689a55fc83651b3312,True,0,True,3000,PROFILE_CALIBRATION_ONLY_DO_NOT_TRAIN,False,False,,,,,,,,
arm,v7_cal_group_2,0.2,cal_0p20_M0,M0,moderate_v1_M0,0.1,"[0.1, 0.1, 0.00125, 2.125e-05, 2.125e-05]",True,1671,353,285.1735358996932,27.789338843219753,0.9736780659932834,0.2646835148334503,31.25894546508789,0.05946662276983261,0.5979999999999895,294,left,False,False,,3831bcb98665ac0c86c221d64af36fdc6b62ee522d34c5ba421ebbf84c7b6e42,True,0,True,3000,PROFILE_CALIBRATION_ONLY_DO_NOT_TRAIN,False,False,,,,,,,,
arm,v7_cal_group_2,0.2,cal_0p20_M1,M1,moderate_v2_M1,0.08750000000000001,"[0.08750000000000001, 0.08750000000000001, 0.00125, 2.125e-05, 2.125e-05]",True,1662,296,295.63431651155145,25.86679732504796,0.9996156405195549,0.43719059228897095,0.0,0.06361877173185349,2.4019999999999695,284,left,False,False,,47765447006bef4916ea8f98634ccdad5b04b8ab0c6019262409e90c622fe028,True,0,True,3000,PROFILE_CALIBRATION_ONLY_DO_NOT_TRAIN,False,False,,,,,,,,
arm,v7_cal_group_2,0.2,cal_0p20_M2,M2,moderate_v2_M2,0.07500000000000001,"[0.07500000000000001, 0.07500000000000001, 0.00125, 2.125e-05, 2.125e-05]",True,1665,365,287.8522466061623,21.531695920053313,0.9963226076864427,0.4339028596878052,20.322683334350586,0.060750704258680344,0.5779999999999917,274,left,False,False,,09adbf764c5059267e2d0742ecb23ffeca09c93a4684c2332587cd456189fef7,True,0,True,3000,PROFILE_CALIBRATION_ONLY_DO_NOT_TRAIN,False,False,,,,,,,,
