group_id,speed_mps,reference_run_id,run_id,calibration_arm,initial_qpos_equal,initial_qvel_equal,initial_policy_observation_equal,prepatch_state_equal,precontact_fusion20_equal,geometry_equal,timestamps_equal,postcontact_trajectory_diverged,full_trace_identical_to_hard,parity_pass
v7_cal_group_0,0.1,cal_0p10_hard_control,cal_0p10_hard_control,hard_control,True,True,True,True,True,True,True,False,True,True
v7_cal_group_0,0.1,cal_0p10_hard_control,cal_0p10_strong_reference,strong_reference,True,True,True,True,True,True,True,True,False,True
v7_cal_group_0,0.1,cal_0p10_hard_control,cal_0p10_M0,M0,True,True,True,True,True,True,True,True,False,True
v7_cal_group_0,0.1,cal_0p10_hard_control,cal_0p10_M1,M1,True,True,True,True,True,True,True,True,False,True
v7_cal_group_0,0.1,cal_0p10_hard_control,cal_0p10_M2,M2,True,True,True,True,True,True,True,True,False,True
v7_cal_group_0,0.1,cal_0p10_hard_control,cal_0p10_M3,M3,True,True,True,True,True,True,True,True,False,True
v7_cal_group_1,0.15,cal_0p15_hard_control,cal_0p15_hard_control,hard_control,True,True,True,True,True,True,True,False,True,True
v7_cal_group_1,0.15,cal_0p15_hard_control,cal_0p15_strong_reference,strong_reference,True,True,True,True,True,True,True,True,False,True
v7_cal_group_1,0.15,cal_0p15_hard_control,cal_0p15_M0,M0,True,True,True,True,True,True,True,True,False,True
v7_cal_group_1,0.15,cal_0p15_hard_control,cal_0p15_M1,M1,True,True,True,True,True,True,True,True,False,True
v7_cal_group_1,0.15,cal_0p15_hard_control,cal_0p15_M2,M2,True,True,True,True,True,True,True,True,False,True
v7_cal_group_1,0.15,cal_0p15_hard_control,cal_0p15_M3,M3,True,True,True,True,True,True,True,True,False,True
v7_cal_group_2,0.2,cal_0p20_hard_control,cal_0p20_hard_control,hard_control,True,True,True,True,True,True,True,False,True,True
v7_cal_group_2,0.2,cal_0p20_hard_control,cal_0p20_strong_reference,strong_reference,True,True,True,True,True,True,True,True,False,True
v7_cal_group_2,0.2,cal_0p20_hard_control,cal_0p20_M0,M0,True,True,True,True,True,True,True,True,False,True
v7_cal_group_2,0.2,cal_0p20_hard_control,cal_0p20_M1,M1,True,True,True,True,True,True,True,True,False,True
v7_cal_group_2,0.2,cal_0p20_hard_control,cal_0p20_M2,M2,True,True,True,True,True,True,True,True,False,True
v7_cal_group_2,0.2,cal_0p20_hard_control,cal_0p20_M3,M3,True,True,True,True,True,True,True,True,False,True
