family,seed,fold,run_id,raw_crossings,current_contact_owned_activations,timing_state_actionable_events,persistence_completed_detections,affected_foot_selected_detections,detected_episodes,detected_run
S4-A,202608221,0,marble_native_0p10_v00,0,0,0,0,0,0,False
S4-A,202608221,0,concrete_native_0p10_v00,0,0,0,0,0,0,False
S4-A,202608221,0,sand_hardened_0p10_v00,0,0,0,0,0,0,False
S4-A,202608221,0,ice_native_0p10_v00,18,6,14,6,6,6,True
S4-A,202608221,0,sand_solref_interpolation_1of3_0p10_v00,0,0,0,0,0,0,False
S4-A,202608221,0,sand_solref_interpolation_2of3_0p10_v00,0,0,0,0,0,0,False
S4-A,202608221,0,sand_solref_interpolation_3of4_stronger_v2_0p10_v00,0,0,0,0,0,0,False
S4-A,202608221,0,sand_solref_interpolation_5of6_stronger_v2_0p10_v00,0,0,0,0,0,0,False
S4-A,202608221,0,marble_native_0p15_v00,0,0,0,0,0,0,False
S4-A,202608221,0,concrete_native_0p15_v00,0,0,0,0,0,0,False
S4-A,202608221,0,sand_hardened_0p15_v00,0,0,0,0,0,0,False
S4-A,202608221,0,ice_native_0p15_v00,23,5,12,5,5,5,True
S4-A,202608221,0,sand_solref_interpolation_1of3_0p15_v00,0,0,0,0,0,0,False
S4-A,202608221,0,sand_solref_interpolation_2of3_0p15_v00,0,0,0,0,0,0,False
S4-A,202608221,0,sand_solref_interpolation_3of4_stronger_v2_0p15_v00,0,0,0,0,0,0,False
S4-A,202608221,0,sand_solref_interpolation_5of6_stronger_v2_0p15_v00,0,0,0,0,0,0,False
S4-A,202608221,0,marble_native_0p20_v00,0,0,0,0,0,0,False
S4-A,202608221,0,concrete_native_0p20_v00,0,0,0,0,0,0,False
S4-A,202608221,0,sand_hardened_0p20_v00,0,0,0,0,0,0,False
S4-A,202608221,0,ice_native_0p20_v00,14,5,13,5,5,5,True
S4-A,202608221,0,sand_solref_interpolation_1of3_0p20_v00,0,0,0,0,0,0,False
S4-A,202608221,0,sand_solref_interpolation_2of3_0p20_v00,0,0,0,0,0,0,False
S4-A,202608221,0,sand_solref_interpolation_3of4_stronger_v2_0p20_v00,0,0,0,0,0,0,False
S4-A,202608221,0,sand_solref_interpolation_5of6_stronger_v2_0p20_v00,0,0,0,0,0,0,False
S4-A,202608221,0,marble_native_0p10_v03,0,0,0,0,0,0,False
S4-A,202608221,0,concrete_native_0p10_v03,0,0,0,0,0,0,False
S4-A,202608221,0,sand_hardened_0p10_v03,0,0,0,0,0,0,False
S4-A,202608221,0,ice_native_0p10_v03,15,9,11,9,9,9,True
