family,seed,fold,run_id,variation,terrain,speed_mps,foot,contact_episode_id,physical_start_sample,physical_end_exclusive,raw_crossings,actionable,detected,first_detection_sample,warning_margin_ms,late_latency_ms,affected_foot_correct,post_fall_positive_attribution
S4-A,202608221,0,ice_native_0p10_v00,0,ice,0.1,left,0,134,145,1,True,False,,,,,False
S4-A,202608221,0,ice_native_0p10_v00,0,ice,0.1,left,7,505,693,2,True,False,,,,,False
S4-A,202608221,0,ice_native_0p10_v00,0,ice,0.1,left,20,1090,1155,1,True,True,1059,31,0,True,False
S4-A,202608221,0,ice_native_0p10_v00,0,ice,0.1,left,33,1638,1649,1,True,False,,,,,False
S4-A,202608221,0,ice_native_0p10_v00,0,ice,0.1,left,63,2308,2380,1,True,True,2359,-51,51,True,False
S4-A,202608221,0,ice_native_0p10_v00,0,ice,0.1,left,71,2670,2711,1,True,True,2689,-19,19,True,False
S4-A,202608221,0,ice_native_0p10_v00,0,ice,0.1,right,1,223,312,1,True,False,,,,,False
S4-A,202608221,0,ice_native_0p10_v00,0,ice,0.1,right,2,367,378,1,True,False,,,,,False
S4-A,202608221,0,ice_native_0p10_v00,0,ice,0.1,right,9,631,879,2,True,True,839,-208,208,True,False
S4-A,202608221,0,ice_native_0p10_v00,0,ice,0.1,right,10,932,945,1,True,True,919,13,0,True,False
S4-A,202608221,0,ice_native_0p10_v00,0,ice,0.1,right,20,1255,1356,3,True,True,1229,26,0,True,False
S4-A,202608221,0,ice_native_0p10_v00,0,ice,0.1,right,21,1504,1526,1,True,False,,,,,False
S4-A,202608221,0,ice_native_0p10_v00,0,ice,0.1,right,39,1835,1911,1,True,False,,,,,False
S4-A,202608221,0,ice_native_0p10_v00,0,ice,0.1,right,55,2599,2619,1,True,False,,,,,False
S4-A,202608221,0,ice_native_0p15_v00,0,ice,0.15,left,7,472,473,1,True,True,459,13,0,True,False
S4-A,202608221,0,ice_native_0p15_v00,0,ice,0.15,left,8,504,664,2,True,False,,,,False,False
S4-A,202608221,0,ice_native_0p15_v00,0,ice,0.15,left,22,914,1094,1,True,False,,,,False,False
S4-A,202608221,0,ice_native_0p15_v00,0,ice,0.15,left,37,1629,1694,2,True,False,,,,,False
S4-A,202608221,0,ice_native_0p15_v00,0,ice,0.15,left,40,2282,2426,4,True,True,2229,53,0,True,False
S4-A,202608221,0,ice_native_0p15_v00,0,ice,0.15,right,1,224,368,4,True,False,,,,,False
S4-A,202608221,0,ice_native_0p15_v00,0,ice,0.15,right,8,603,913,2,True,True,849,-246,246,True,False
S4-A,202608221,0,ice_native_0p15_v00,0,ice,0.15,right,21,1288,1418,1,True,True,1239,49,0,True,False
S4-A,202608221,0,ice_native_0p15_v00,0,ice,0.15,right,23,1505,1506,1,True,False,,,,,False
S4-A,202608221,0,ice_native_0p15_v00,0,ice,0.15,right,35,1850,2028,1,True,False,,,,,False
S4-A,202608221,0,ice_native_0p15_v00,0,ice,0.15,right,42,2472,2621,2,True,True,2449,23,0,True,False
S4-A,202608221,0,ice_native_0p15_v00,0,ice,0.15,right,42,2699,2703,1,False,False,,,,,False
S4-A,202608221,0,ice_native_0p15_v00,0,ice,0.15,right,54,2962,3000,1,True,False,,,,,False
S4-A,202608221,0,ice_native_0p20_v00,0,ice,0.2,left,0,127,140,1,True,False,,,,,False
S4-A,202608221,0,ice_native_0p20_v00,0,ice,0.2,left,6,478,482,1,True,True,449,29,0,True,False
S4-A,202608221,0,ice_native_0p20_v00,0,ice,0.2,left,7,515,536,1,True,False,,,,False,False
S4-A,202608221,0,ice_native_0p20_v00,0,ice,0.2,left,17,936,950,1,True,False,,,,False,False
S4-A,202608221,0,ice_native_0p20_v00,0,ice,0.2,left,25,1641,1926,2,True,True,1569,72,0,True,False
S4-A,202608221,0,ice_native_0p20_v00,0,ice,0.2,right,1,235,263,1,True,False,,,,,False
S4-A,202608221,0,ice_native_0p20_v00,0,ice,0.2,right,2,357,368,1,True,False,,,,,False
S4-A,202608221,0,ice_native_0p20_v00,0,ice,0.2,right,10,594,788,1,True,False,,,,,False
S4-A,202608221,0,ice_native_0p20_v00,0,ice,0.2,right,12,894,899,1,True,True,889,5,0,True,False
S4-A,202608221,0,ice_native_0p20_v00,0,ice,0.2,right,31,1337,1437,1,True,True,1259,78,0,True,False
S4-A,202608221,0,ice_native_0p20_v00,0,ice,0.2,right,41,1902,1985,1,True,True,1889,13,0,True,False
S4-A,202608221,0,ice_native_0p20_v00,0,ice,0.2,right,56,2555,2660,1,True,False,,,,,False
S4-A,202608221,0,ice_native_0p20_v00,0,ice,0.2,right,68,2847,3000,1,True,False,,,,,False
S4-A,202608221,0,ice_native_0p10_v03,3,ice,0.1,left,0,169,193,1,True,False,,,,,False
S4-A,202608221,0,ice_native_0p10_v03,3,ice,0.1,left,3,287,294,1,True,True,269,18,0,True,False
S4-A,202608221,0,ice_native_0p10_v03,3,ice,0.1,left,4,354,390,1,True,True,319,35,0,True,False
S4-A,202608221,0,ice_native_0p10_v03,3,ice,0.1,left,12,1359,1585,2,True,True,1319,40,0,True,False
S4-A,202608221,0,ice_native_0p10_v03,3,ice,0.1,left,54,2540,2785,3,True,True,2499,41,0,True,False
S4-A,202608221,0,ice_native_0p10_v03,3,ice,0.1,right,30,943,1150,2,True,True,979,-36,36,True,False
S4-A,202608221,0,ice_native_0p10_v03,3,ice,0.1,right,39,1627,1713,1,True,True,1569,58,0,True,False
S4-A,202608221,0,ice_native_0p10_v03,3,ice,0.1,right,55,2070,2113,1,True,True,2109,-39,39,True,False
S4-A,202608221,0,ice_native_0p10_v03,3,ice,0.1,right,56,2248,2296,1,True,False,,,,False,False
S4-A,202608221,0,ice_native_0p10_v03,3,ice,0.1,right,57,2388,2400,1,True,True,2329,59,0,True,False
S4-A,202608221,0,ice_native_0p10_v03,3,ice,0.1,right,66,2972,2991,1,True,True,2989,-17,17,True,False
S4-A,202608221,0,ice_native_0p15_v03,3,ice,0.15,left,0,170,194,1,True,False,,,,,False
S4-A,202608221,0,ice_native_0p15_v03,3,ice,0.15,left,2,270,310,1,True,True,239,31,0,True,False
S4-A,202608221,0,ice_native_0p15_v03,3,ice,0.15,left,16,1394,1454,2,True,True,1329,65,0,True,False
S4-A,202608221,0,ice_native_0p15_v03,3,ice,0.15,left,18,1545,1584,1,True,True,1509,36,0,True,False
S4-A,202608221,0,ice_native_0p15_v03,3,ice,0.15,left,29,2644,2711,4,True,False,,,,False,False
S4-A,202608221,0,ice_native_0p15_v03,3,ice,0.15,right,29,920,927,1,True,False,,,,,False
S4-A,202608221,0,ice_native_0p15_v03,3,ice,0.15,right,75,2911,3000,5,True,True,2939,-28,28,True,False
S4-A,202608221,0,sand_solref_interpolation_2of3_0p15_v03,3,sand,0.15,left,2,1773,1786,1,True,False,,,,,False
S4-A,202608221,0,sand_solref_interpolation_2of3_0p15_v03,3,sand,0.15,left,3,1911,1937,1,True,False,,,,,False
S4-A,202608221,0,sand_solref_interpolation_2of3_0p15_v03,3,sand,0.15,right,3,1795,1808,1,True,True,1739,56,0,,False
S4-A,202608221,0,sand_solref_interpolation_3of4_stronger_v2_0p15_v03,3,sand,0.15,left,2,1793,1817,1,True,False,,,,,False
S4-A,202608221,0,sand_solref_interpolation_3of4_stronger_v2_0p15_v03,3,sand,0.15,right,6,1815,1822,1,True,False,,,,,False
S4-A,202608221,0,sand_solref_interpolation_5of6_stronger_v2_0p15_v03,3,sand,0.15,left,2,1732,1761,1,True,False,,,,,False
S4-A,202608221,0,sand_solref_interpolation_5of6_stronger_v2_0p15_v03,3,sand,0.15,right,3,1767,1774,1,True,False,,,,,False
S4-A,202608221,0,ice_native_0p20_v03,3,ice,0.2,left,0,170,195,1,True,False,,,,,False
S4-A,202608221,0,ice_native_0p20_v03,3,ice,0.2,left,1,238,307,3,True,True,219,19,0,True,False
S4-A,202608221,0,ice_native_0p20_v03,3,ice,0.2,left,13,1470,1503,4,True,True,1389,81,0,True,False
S4-A,202608221,0,ice_native_0p20_v03,3,ice,0.2,left,45,2588,2646,3,True,True,2569,19,0,True,False
S4-A,202608221,0,ice_native_0p20_v03,3,ice,0.2,right,29,930,1146,1,True,True,939,-9,9,True,False
S4-A,202608221,0,ice_native_0p20_v03,3,ice,0.2,right,53,1809,1941,1,True,True,1829,-20,20,True,False
S4-A,202608221,0,ice_native_0p20_v03,3,ice,0.2,right,61,2053,2080,1,True,True,2059,-6,6,True,False
S4-A,202608221,0,ice_native_0p20_v03,3,ice,0.2,right,63,2242,2303,1,True,True,2169,73,0,True,False
S4-A,202608221,0,ice_native_0p20_v03,3,ice,0.2,right,71,2681,2689,1,True,True,2679,2,0,False,False
S4-A,202608221,0,ice_native_0p20_v03,3,ice,0.2,right,82,2860,2984,1,True,True,2829,31,0,True,False
S4-A,202608221,1,ice_native_0p10_v01,1,ice,0.1,left,2,360,609,3,True,True,359,1,0,True,False
S4-A,202608221,1,ice_native_0p10_v01,1,ice,0.1,left,19,961,970,1,True,True,919,42,0,True,False
S4-A,202608221,1,ice_native_0p10_v01,1,ice,0.1,left,27,1613,1626,2,True,True,1579,34,0,True,False
S4-A,202608221,1,ice_native_0p10_v01,1,ice,0.1,left,50,2084,2259,1,True,True,2199,-115,115,True,False
S4-A,202608221,1,ice_native_0p10_v01,1,ice,0.1,left,58,2769,2887,2,True,True,2839,-70,70,True,False
S4-A,202608221,1,ice_native_0p10_v01,1,ice,0.1,right,0,230,267,2,True,False,,,,,False
S4-A,202608221,1,ice_native_0p10_v01,1,ice,0.1,right,10,810,839,1,True,False,,,,,False
S4-A,202608221,1,ice_native_0p10_v01,1,ice,0.1,right,16,1180,1286,2,True,True,1119,61,0,True,False
S4-A,202608221,1,ice_native_0p10_v01,1,ice,0.1,right,18,1489,1521,1,True,False,,,,,False
S4-A,202608221,1,ice_native_0p10_v01,1,ice,0.1,right,21,1758,1897,1,True,True,1799,-41,41,True,False
S4-A,202608221,1,ice_native_0p10_v01,1,ice,0.1,right,33,2088,2150,2,True,False,,,,,False
S4-A,202608221,1,ice_native_0p10_v01,1,ice,0.1,right,72,2912,3000,1,True,False,,,,False,False
S4-A,202608221,1,sand_solref_interpolation_3of4_stronger_v2_0p10_v01,1,sand,0.1,left,1,1342,1453,1,True,False,,,,,False
S4-A,202608221,1,sand_solref_interpolation_5of6_stronger_v2_0p10_v01,1,sand,0.1,left,1,1226,1413,1,True,True,1179,47,0,,False
S4-A,202608221,1,ice_native_0p15_v01,1,ice,0.15,left,3,359,562,3,True,True,339,20,0,True,False
S4-A,202608221,1,ice_native_0p15_v01,1,ice,0.15,left,18,968,970,1,True,True,959,9,0,True,False
S4-A,202608221,1,ice_native_0p15_v01,1,ice,0.15,left,20,1107,1141,1,True,False,,,,False,False
S4-A,202608221,1,ice_native_0p15_v01,1,ice,0.15,left,23,1599,1612,1,True,True,1569,30,0,True,False
S4-A,202608221,1,ice_native_0p15_v01,1,ice,0.15,left,65,2417,2428,1,True,False,,,,False,False
S4-A,202608221,1,ice_native_0p15_v01,1,ice,0.15,left,71,2776,2781,1,True,False,,,,,False
S4-A,202608221,1,ice_native_0p15_v01,1,ice,0.15,right,0,226,265,2,True,False,,,,,False
S4-A,202608221,1,ice_native_0p15_v01,1,ice,0.15,right,7,517,790,2,True,True,509,8,0,True,False
S4-A,202608221,1,ice_native_0p15_v01,1,ice,0.15,right,13,1195,1481,4,True,True,1129,66,0,True,False
S4-A,202608221,1,ice_native_0p15_v01,1,ice,0.15,right,18,1755,1779,1,True,False,,,,,False
S4-A,202608221,1,ice_native_0p15_v01,1,ice,0.15,right,52,2577,2580,1,True,False,,,,,False
S4-A,202608221,1,sand_solref_interpolation_2of3_0p15_v01,1,sand,0.15,right,1,1626,1663,1,True,True,1639,-13,13,,False
S4-A,202608221,1,sand_solref_interpolation_2of3_0p15_v01,1,sand,0.15,right,2,1786,2014,1,True,True,1979,-193,193,,False
S4-A,202608221,1,sand_solref_interpolation_3of4_stronger_v2_0p15_v01,1,sand,0.15,left,4,1908,1912,1,True,False,,,,,False
S4-A,202608221,1,sand_solref_interpolation_3of4_stronger_v2_0p15_v01,1,sand,0.15,right,1,1594,1655,1,True,False,,,,,False
