family,seed,fold,physical_episode_count,physical_episode_detected,actionable_episode_count,actionable_episode_detected,actionable_episode_recall,speed_recall,speed_total,speed_detected,foot_recall,terrain_recall,affected_foot_count,affected_foot_correct,affected_foot_accuracy,normal_run_fp,normal_contact_episode_fp,too_early_activations,air_firings,touchdown_transient_firings,invalid_firings,counterfactual_post_fall_outputs,post_fall_positive_attributions,previous_episode_latch_carryover,cross_foot_ownership_violations,timer_only_promotions,median_warning_margin_ms,p95_warning_margin_ms,median_late_latency_ms,p95_late_latency_ms,raw_crossings,actionable_runs,detected_runs,parameter_count,macs_per_tick,history_bytes,state_bytes,causal_check_pass,future_leakage_check_pass,zero_safety_gate_pass
S4-A,202608221,0,68,38,67,38,0.5671641791044776,"{""0.10"": 0.6, ""0.15"": 0.47368421052631576, ""0.20"": 0.6086956521739131}","{""0.10"": 25, ""0.15"": 19, ""0.20"": 23}","{""0.10"": 15, ""0.15"": 9, ""0.20"": 14}","{""left"": 0.5666666666666667, ""right"": 0.5675675675675675}","{""ice"": 0.5671641791044776}",44,37,0.8409090909090909,0,0,6,0,0,0,30,0,0,0,0,21.0,73.75,0.0,74.54999999999978,102,6,6,6918,22880,16000,512,True,True,False
S4-A,202608221,1,74,38,73,37,0.5068493150684932,"{""0.10"": 0.56, ""0.15"": 0.5217391304347826, ""0.20"": 0.44}","{""0.10"": 25, ""0.15"": 23, ""0.20"": 25}","{""0.10"": 14, ""0.15"": 12, ""0.20"": 11}","{""left"": 0.5454545454545454, ""right"": 0.475}","{""ice"": 0.5068493150684932}",41,36,0.8780487804878049,0,0,4,0,0,0,54,0,0,0,0,32.0,87.44999999999999,0.0,45.34999999999996,103,6,6,6918,22880,16000,512,True,True,False
S4-A,202608221,2,31,16,30,16,0.5333333333333333,"{""0.10"": 0.5, ""0.15"": 0.5555555555555556, ""0.20"": 0.5714285714285714}","{""0.10"": 14, ""0.15"": 9, ""0.20"": 7}","{""0.10"": 7, ""0.15"": 5, ""0.20"": 4}","{""left"": 0.5833333333333334, ""right"": 0.5}","{""ice"": 0.5333333333333333}",20,15,0.75,0,0,2,0,0,0,44,0,0,0,0,23.0,78.75,0.0,25.5,51,3,3,6918,22880,16000,512,True,True,False
S4-A,202608222,0,68,36,67,36,0.5373134328358209,"{""0.10"": 0.64, ""0.15"": 0.42105263157894735, ""0.20"": 0.5217391304347826}","{""0.10"": 25, ""0.15"": 19, ""0.20"": 23}","{""0.10"": 16, ""0.15"": 8, ""0.20"": 12}","{""left"": 0.5, ""right"": 0.5675675675675675}","{""ice"": 0.5373134328358209}",45,35,0.7777777777777778,0,0,6,0,0,0,37,0,0,0,0,29.0,67.0,0.0,149.0,102,6,6,6918,22880,16000,512,True,True,False
S4-A,202608222,1,74,39,73,39,0.5342465753424658,"{""0.10"": 0.76, ""0.15"": 0.4782608695652174, ""0.20"": 0.36}","{""0.10"": 25, ""0.15"": 23, ""0.20"": 25}","{""0.10"": 19, ""0.15"": 11, ""0.20"": 9}","{""left"": 0.5151515151515151, ""right"": 0.55}","{""ice"": 0.5342465753424658}",48,34,0.7083333333333334,0,0,7,0,0,0,50,0,0,0,0,33.0,82.60000000000001,0.0,30.000000000000128,103,6,6,6918,22880,16000,512,True,True,False
S4-A,202608222,2,31,19,30,18,0.6,"{""0.10"": 0.5714285714285714, ""0.15"": 0.6666666666666666, ""0.20"": 0.5714285714285714}","{""0.10"": 14, ""0.15"": 9, ""0.20"": 7}","{""0.10"": 8, ""0.15"": 6, ""0.20"": 4}","{""left"": 0.6666666666666666, ""right"": 0.5555555555555556}","{""ice"": 0.6}",22,18,0.8181818181818182,0,0,2,0,0,0,61,0,0,0,0,22.0,78.39999999999999,0.0,42.39999999999993,51,3,3,6918,22880,16000,512,True,True,False
S4-A,202608223,0,68,38,67,38,0.5671641791044776,"{""0.10"": 0.56, ""0.15"": 0.5263157894736842, ""0.20"": 0.6086956521739131}","{""0.10"": 25, ""0.15"": 19, ""0.20"": 23}","{""0.10"": 14, ""0.15"": 10, ""0.20"": 14}","{""left"": 0.5333333333333333, ""right"": 0.5945945945945946}","{""ice"": 0.5671641791044776}",46,37,0.8043478260869565,0,0,6,0,0,0,34,0,0,0,0,23.0,62.449999999999996,0.0,157.8499999999999,102,6,6,6918,22880,16000,512,True,True,False
S4-A,202608223,1,74,39,73,38,0.5205479452054794,"{""0.10"": 0.72, ""0.15"": 0.4782608695652174, ""0.20"": 0.36}","{""0.10"": 25, ""0.15"": 23, ""0.20"": 25}","{""0.10"": 18, ""0.15"": 11, ""0.20"": 9}","{""left"": 0.5454545454545454, ""right"": 0.5}","{""ice"": 0.5205479452054794}",43,36,0.8372093023255814,0,0,6,0,0,0,50,0,0,0,0,43.0,82.80000000000001,0.0,80.40000000000005,103,6,6,6918,22880,16000,512,True,True,False
S4-A,202608223,2,31,20,30,19,0.6333333333333333,"{""0.10"": 0.5714285714285714, ""0.15"": 0.7777777777777778, ""0.20"": 0.5714285714285714}","{""0.10"": 14, ""0.15"": 9, ""0.20"": 7}","{""0.10"": 8, ""0.15"": 7, ""0.20"": 4}","{""left"": 0.6666666666666666, ""right"": 0.6111111111111112}","{""ice"": 0.6333333333333333}",22,20,0.9090909090909091,0,0,3,0,0,0,58,0,0,0,0,26.0,78.15,0.0,40.20000000000002,51,3,3,6918,22880,16000,512,True,True,False
S4-B,202608221,0,68,37,67,37,0.5522388059701493,"{""0.10"": 0.56, ""0.15"": 0.5789473684210527, ""0.20"": 0.5217391304347826}","{""0.10"": 25, ""0.15"": 19, ""0.20"": 23}","{""0.10"": 14, ""0.15"": 11, ""0.20"": 12}","{""left"": 0.6666666666666666, ""right"": 0.4594594594594595}","{""ice"": 0.5522388059701493}",46,34,0.7391304347826086,0,0,4,0,0,0,42,0,0,0,0,29.0,62.59999999999999,0.0,148.79999999999978,102,6,6,12998,32960,16000,512,True,True,False
S4-B,202608221,1,74,48,73,48,0.6575342465753424,"{""0.10"": 0.92, ""0.15"": 0.5652173913043478, ""0.20"": 0.48}","{""0.10"": 25, ""0.15"": 23, ""0.20"": 25}","{""0.10"": 23, ""0.15"": 13, ""0.20"": 12}","{""left"": 0.6060606060606061, ""right"": 0.7}","{""ice"": 0.6575342465753424}",55,43,0.7818181818181819,0,0,5,0,0,0,71,0,0,0,0,30.0,85.89999999999999,0.0,55.549999999999905,103,6,6,12998,32960,16000,512,True,True,False
S4-B,202608221,2,31,19,30,18,0.6,"{""0.10"": 0.5714285714285714, ""0.15"": 0.5555555555555556, ""0.20"": 0.7142857142857143}","{""0.10"": 14, ""0.15"": 9, ""0.20"": 7}","{""0.10"": 8, ""0.15"": 5, ""0.20"": 5}","{""left"": 0.5833333333333334, ""right"": 0.6111111111111112}","{""ice"": 0.6}",23,19,0.8260869565217391,0,0,3,0,0,0,78,0,0,0,0,27.0,72.89999999999998,0.0,56.49999999999963,51,3,3,12998,32960,16000,512,True,True,False
S4-B,202608222,0,68,43,67,43,0.6417910447761194,"{""0.10"": 0.64, ""0.15"": 0.6842105263157895, ""0.20"": 0.6086956521739131}","{""0.10"": 25, ""0.15"": 19, ""0.20"": 23}","{""0.10"": 16, ""0.15"": 13, ""0.20"": 14}","{""left"": 0.7, ""right"": 0.5945945945945946}","{""ice"": 0.6417910447761194}",48,40,0.8333333333333334,0,0,6,0,0,0,28,0,0,0,0,29.0,61.8,0.0,134.39999999999998,102,6,6,12998,32960,16000,512,True,True,False
S4-B,202608222,1,74,45,73,44,0.6027397260273972,"{""0.10"": 0.68, ""0.15"": 0.6086956521739131, ""0.20"": 0.52}","{""0.10"": 25, ""0.15"": 23, ""0.20"": 25}","{""0.10"": 17, ""0.15"": 14, ""0.20"": 13}","{""left"": 0.6363636363636364, ""right"": 0.575}","{""ice"": 0.6027397260273972}",49,40,0.8163265306122449,0,0,4,0,0,0,88,0,0,0,0,41.0,86.79999999999998,0.0,43.19999999999989,103,6,6,12998,32960,16000,512,True,True,False
