family,seed,foot,actionable_episodes,detected,recall
S4-A,202608221,left,90,46,0.5111111111111111
S4-A,202608221,right,112,57,0.5089285714285714
S4-A,202608222,left,90,44,0.4888888888888889
S4-A,202608222,right,112,58,0.5178571428571429
S4-A,202608223,left,90,48,0.5333333333333333
S4-A,202608223,right,112,58,0.5178571428571429
S4-B,202608221,left,90,56,0.6222222222222222
S4-B,202608221,right,112,67,0.5982142857142857
S4-B,202608222,left,90,59,0.6555555555555556
S4-B,202608222,right,112,64,0.5714285714285714
S4-B,202608223,left,90,54,0.6
S4-B,202608223,right,112,62,0.5535714285714286
S4-C,202608221,left,90,52,0.5777777777777777
S4-C,202608221,right,112,52,0.4642857142857143
S4-C,202608222,left,90,60,0.6666666666666666
S4-C,202608222,right,112,50,0.44642857142857145
S4-C,202608223,left,90,55,0.6111111111111112
S4-C,202608223,right,112,51,0.45535714285714285
