state,terrain,speed_mps,eligible_rows,unique_balance_units
NORMAL_NO_EVENT,concrete,0.1,1542,52
NORMAL_NO_EVENT,concrete,0.15,1531,52
NORMAL_NO_EVENT,concrete,0.2,1519,52
NORMAL_NO_EVENT,ice,0.1,375,110
NORMAL_NO_EVENT,ice,0.15,602,118
NORMAL_NO_EVENT,ice,0.2,639,130
NORMAL_NO_EVENT,marble,0.1,1512,53
NORMAL_NO_EVENT,marble,0.15,1509,53
NORMAL_NO_EVENT,marble,0.2,1499,53
NORMAL_NO_EVENT,sand,0.1,7214,231
NORMAL_NO_EVENT,sand,0.15,7259,231
NORMAL_NO_EVENT,sand,0.2,7534,242
EARLY_PRECURSOR,concrete,0.1,0,0
EARLY_PRECURSOR,concrete,0.15,0,0
EARLY_PRECURSOR,concrete,0.2,0,0
EARLY_PRECURSOR,ice,0.1,113,14
EARLY_PRECURSOR,ice,0.15,45,10
EARLY_PRECURSOR,ice,0.2,70,11
EARLY_PRECURSOR,marble,0.1,0,0
EARLY_PRECURSOR,marble,0.15,0,0
EARLY_PRECURSOR,marble,0.2,0,0
EARLY_PRECURSOR,sand,0.1,336,11
EARLY_PRECURSOR,sand,0.15,253,9
EARLY_PRECURSOR,sand,0.2,120,3
ACTIONABLE_RISK,concrete,0.1,0,0
ACTIONABLE_RISK,concrete,0.15,0,0
ACTIONABLE_RISK,concrete,0.2,0,0
ACTIONABLE_RISK,ice,0.1,399,62
ACTIONABLE_RISK,ice,0.15,321,52
ACTIONABLE_RISK,ice,0.2,290,52
ACTIONABLE_RISK,marble,0.1,0,0
ACTIONABLE_RISK,marble,0.15,0,0
ACTIONABLE_RISK,marble,0.2,0,0
ACTIONABLE_RISK,sand,0.1,116,14
ACTIONABLE_RISK,sand,0.15,97,15
ACTIONABLE_RISK,sand,0.2,30,3
PHYSICAL_ACTIVE_EVIDENCE,concrete,0.1,0,0
PHYSICAL_ACTIVE_EVIDENCE,concrete,0.15,0,0
PHYSICAL_ACTIVE_EVIDENCE,concrete,0.2,0,0
PHYSICAL_ACTIVE_EVIDENCE,ice,0.1,508,58
PHYSICAL_ACTIVE_EVIDENCE,ice,0.15,412,47
PHYSICAL_ACTIVE_EVIDENCE,ice,0.2,352,43
PHYSICAL_ACTIVE_EVIDENCE,marble,0.1,0,0
PHYSICAL_ACTIVE_EVIDENCE,marble,0.15,0,0
PHYSICAL_ACTIVE_EVIDENCE,marble,0.2,0,0
PHYSICAL_ACTIVE_EVIDENCE,sand,0.1,183,14
PHYSICAL_ACTIVE_EVIDENCE,sand,0.15,93,14
PHYSICAL_ACTIVE_EVIDENCE,sand,0.2,95,3
