family,seed,fold,run_id,foot,contact_loss_resets,touchdown_resets,score_recovery_resets,previous_episode_latch_carryover,cross_foot_owner_mutations,simultaneous_crossings,simultaneous_selected_left,simultaneous_selected_right,median_simultaneous_score_difference
S4-C,202608222,0,marble_native_0p10_v00,left,136,7,0,0,0,0,0,0,-1.0
S4-C,202608222,0,marble_native_0p10_v00,right,105,7,0,0,0,0,0,0,-1.0
S4-C,202608222,0,concrete_native_0p10_v00,left,138,6,0,0,0,0,0,0,-1.0
S4-C,202608222,0,concrete_native_0p10_v00,right,105,5,0,0,0,0,0,0,-1.0
S4-C,202608222,0,sand_hardened_0p10_v00,left,134,6,0,0,0,0,0,0,-1.0
S4-C,202608222,0,sand_hardened_0p10_v00,right,101,5,0,0,0,0,0,0,-1.0
S4-C,202608222,0,ice_native_0p10_v00,left,146,40,4,0,0,0,0,0,-1.0
S4-C,202608222,0,ice_native_0p10_v00,right,114,52,1,0,0,0,0,0,-1.0
S4-C,202608222,0,sand_solref_interpolation_1of3_0p10_v00,left,129,6,0,0,0,0,0,0,-1.0
S4-C,202608222,0,sand_solref_interpolation_1of3_0p10_v00,right,90,5,0,0,0,0,0,0,-1.0
S4-C,202608222,0,sand_solref_interpolation_2of3_0p10_v00,left,128,6,0,0,0,0,0,0,-1.0
S4-C,202608222,0,sand_solref_interpolation_2of3_0p10_v00,right,83,5,0,0,0,0,0,0,-1.0
S4-C,202608222,0,sand_solref_interpolation_3of4_stronger_v2_0p10_v00,left,128,6,0,0,0,0,0,0,-1.0
S4-C,202608222,0,sand_solref_interpolation_3of4_stronger_v2_0p10_v00,right,79,5,0,0,0,0,0,0,-1.0
S4-C,202608222,0,sand_solref_interpolation_5of6_stronger_v2_0p10_v00,left,128,6,0,0,0,0,0,0,-1.0
S4-C,202608222,0,sand_solref_interpolation_5of6_stronger_v2_0p10_v00,right,78,5,0,0,0,0,0,0,-1.0
S4-C,202608222,0,marble_native_0p15_v00,left,140,7,0,0,0,0,0,0,-1.0
S4-C,202608222,0,marble_native_0p15_v00,right,103,6,0,0,0,0,0,0,-1.0
S4-C,202608222,0,concrete_native_0p15_v00,left,139,6,0,0,0,0,0,0,-1.0
S4-C,202608222,0,concrete_native_0p15_v00,right,103,5,0,0,0,0,0,0,-1.0
S4-C,202608222,0,sand_hardened_0p15_v00,left,134,6,0,0,0,0,0,0,-1.0
S4-C,202608222,0,sand_hardened_0p15_v00,right,100,5,0,0,0,0,0,0,-1.0
S4-C,202608222,0,ice_native_0p15_v00,left,103,41,4,0,0,0,0,0,-1.0
S4-C,202608222,0,ice_native_0p15_v00,right,70,43,2,0,0,0,0,0,-1.0
S4-C,202608222,0,sand_solref_interpolation_1of3_0p15_v00,left,129,6,0,0,0,0,0,0,-1.0
S4-C,202608222,0,sand_solref_interpolation_1of3_0p15_v00,right,91,5,0,0,0,0,0,0,-1.0
S4-C,202608222,0,sand_solref_interpolation_2of3_0p15_v00,left,128,6,0,0,0,0,0,0,-1.0
S4-C,202608222,0,sand_solref_interpolation_2of3_0p15_v00,right,85,5,0,0,0,0,0,0,-1.0
S4-C,202608222,0,sand_solref_interpolation_3of4_stronger_v2_0p15_v00,left,128,6,0,0,0,0,0,0,-1.0
S4-C,202608222,0,sand_solref_interpolation_3of4_stronger_v2_0p15_v00,right,80,5,0,0,0,0,0,0,-1.0
S4-C,202608222,0,sand_solref_interpolation_5of6_stronger_v2_0p15_v00,left,128,6,0,0,0,0,0,0,-1.0
S4-C,202608222,0,sand_solref_interpolation_5of6_stronger_v2_0p15_v00,right,80,5,0,0,0,0,0,0,-1.0
S4-C,202608222,0,marble_native_0p20_v00,left,141,7,0,0,0,0,0,0,-1.0
S4-C,202608222,0,marble_native_0p20_v00,right,105,7,0,0,0,0,0,0,-1.0
S4-C,202608222,0,concrete_native_0p20_v00,left,141,6,0,0,0,0,0,0,-1.0
S4-C,202608222,0,concrete_native_0p20_v00,right,104,5,0,0,0,0,0,0,-1.0
S4-C,202608222,0,sand_hardened_0p20_v00,left,133,6,0,0,0,0,0,0,-1.0
S4-C,202608222,0,sand_hardened_0p20_v00,right,99,5,0,0,0,0,0,0,-1.0
S4-C,202608222,0,ice_native_0p20_v00,left,90,22,3,0,0,0,0,0,-1.0
S4-C,202608222,0,ice_native_0p20_v00,right,63,54,2,0,0,0,0,0,-1.0
S4-C,202608222,0,sand_solref_interpolation_1of3_0p20_v00,left,133,6,0,0,0,0,0,0,-1.0
