family,seed,speed_mps,actionable_episodes,detected,recall
S4-A,202608221,0.10,64,36,0.5625
S4-A,202608221,0.15,51,26,0.5098039215686274
S4-A,202608221,0.20,55,29,0.5272727272727272
S4-A,202608222,0.10,64,43,0.671875
S4-A,202608222,0.15,51,25,0.49019607843137253
S4-A,202608222,0.20,55,25,0.45454545454545453
S4-A,202608223,0.10,64,40,0.625
S4-A,202608223,0.15,51,28,0.5490196078431373
S4-A,202608223,0.20,55,27,0.4909090909090909
S4-B,202608221,0.10,64,45,0.703125
S4-B,202608221,0.15,51,29,0.5686274509803921
S4-B,202608221,0.20,55,29,0.5272727272727272
S4-B,202608222,0.10,64,39,0.609375
S4-B,202608222,0.15,51,33,0.6470588235294118
S4-B,202608222,0.20,55,32,0.5818181818181818
S4-B,202608223,0.10,64,39,0.609375
S4-B,202608223,0.15,51,30,0.5882352941176471
S4-B,202608223,0.20,55,26,0.4727272727272727
S4-C,202608221,0.10,64,34,0.53125
S4-C,202608221,0.15,51,26,0.5098039215686274
S4-C,202608221,0.20,55,27,0.4909090909090909
S4-C,202608222,0.10,64,37,0.578125
S4-C,202608222,0.15,51,28,0.5490196078431373
S4-C,202608222,0.20,55,30,0.5454545454545454
S4-C,202608223,0.10,64,35,0.546875
S4-C,202608223,0.15,51,26,0.5098039215686274
S4-C,202608223,0.20,55,27,0.4909090909090909
