fold,state_id,state_name,raw_sample_count,raw_episode_count
0,0,NORMAL_NO_EVENT,337915,1644
0,1,EARLY_PRECURSOR,8878,75
0,2,ACTIONABLE_RISK,12310,170
0,3,PHYSICAL_ACTIVE_EVIDENCE,8704,170
1,0,NORMAL_NO_EVENT,332969,1632
1,1,EARLY_PRECURSOR,12211,93
1,2,ACTIONABLE_RISK,13480,183
1,3,PHYSICAL_ACTIVE_EVIDENCE,11483,183
2,0,NORMAL_NO_EVENT,256832,1209
2,1,EARLY_PRECURSOR,9052,68
2,2,ACTIONABLE_RISK,9420,118
2,3,PHYSICAL_ACTIVE_EVIDENCE,6967,118
pooled,0,NORMAL_NO_EVENT,927716,4485
pooled,1,EARLY_PRECURSOR,30141,236
pooled,2,ACTIONABLE_RISK,35210,471
pooled,3,PHYSICAL_ACTIVE_EVIDENCE,27154,471
