candidate_id,threshold,persistence_ms,actionable_margin,hysteresis,hysteresis_effect,actionable_recall,normal_run_fp,normal_contact_episode_fp,too_early,invalid,post_fall,cross_foot,conditional_affected_foot_accuracy,verifier_acceptance_rate,diagnostic_only,selected_or_frozen,pareto_frontier,maximum_recall_with_normal_run_fp_zero,maximum_recall_with_contact_episode_fp_zero,minimum_normal_run_fp_at_recall_ge_0p80,minimum_contact_episode_fp_at_recall_ge_0p80,minimum_too_early_at_recall_ge_0p80
R1_seed_202608231,0.05,1,0.0,0.05,INERT_WITH_FIRST_CROSSING_PER_CONTACT_AND_NO_LATCH,0.7876857749469215,208,2205,121,161,161,107,1.0,0.0499127149901835,True,False,False,0.09554140127388536,0.0,203,1995,111
R1_seed_202608231,0.05,1,0.1,0.05,INERT_WITH_FIRST_CROSSING_PER_CONTACT_AND_NO_LATCH,0.8004246284501062,205,2116,113,156,156,104,1.0,0.04619783360664013,True,False,False,0.09554140127388536,0.0,203,1995,111
R1_seed_202608231,0.05,3,0.0,0.05,INERT_WITH_FIRST_CROSSING_PER_CONTACT_AND_NO_LATCH,0.772823779193206,182,1372,69,129,129,59,1.0,0.0499127149901835,True,False,False,0.09554140127388536,0.0,203,1995,111
R1_seed_202608231,0.05,3,0.1,0.05,INERT_WITH_FIRST_CROSSING_PER_CONTACT_AND_NO_LATCH,0.772823779193206,154,1234,66,123,123,57,1.0,0.04619783360664013,True,False,True,0.09554140127388536,0.0,203,1995,111
R1_seed_202608231,0.05,5,0.0,0.05,INERT_WITH_FIRST_CROSSING_PER_CONTACT_AND_NO_LATCH,0.7303609341825902,76,895,54,113,113,46,1.0,0.0499127149901835,True,False,True,0.09554140127388536,0.0,203,1995,111
R1_seed_202608231,0.05,5,0.1,0.05,INERT_WITH_FIRST_CROSSING_PER_CONTACT_AND_NO_LATCH,0.7176220806794055,67,834,49,104,104,44,1.0,0.04619783360664013,True,False,True,0.09554140127388536,0.0,203,1995,111
R1_seed_202608231,0.1,1,0.0,0.05,INERT_WITH_FIRST_CROSSING_PER_CONTACT_AND_NO_LATCH,0.7876857749469215,208,2164,120,158,158,104,1.0,0.047960196859307934,True,False,False,0.09554140127388536,0.0,203,1995,111
R1_seed_202608231,0.1,1,0.1,0.05,INERT_WITH_FIRST_CROSSING_PER_CONTACT_AND_NO_LATCH,0.8004246284501062,205,2116,113,156,156,104,1.0,0.04619783360664013,True,False,False,0.09554140127388536,0.0,203,1995,111
R1_seed_202608231,0.1,3,0.0,0.05,INERT_WITH_FIRST_CROSSING_PER_CONTACT_AND_NO_LATCH,0.7707006369426752,163,1279,70,123,123,58,1.0,0.047960196859307934,True,False,False,0.09554140127388536,0.0,203,1995,111
R1_seed_202608231,0.1,3,0.1,0.05,INERT_WITH_FIRST_CROSSING_PER_CONTACT_AND_NO_LATCH,0.772823779193206,154,1234,66,123,123,57,1.0,0.04619783360664013,True,False,True,0.09554140127388536,0.0,203,1995,111
