candidate_id,stage_order,stage,episode_count,detected_count,recall,rejected_since_prior_stage
R1_seed_202608231,1,raw_actionable_argmax,471,460,0.9766454352441614,
R1_seed_202608231,2,actionable_proposal,471,75,0.1592356687898089,385
R1_seed_202608231,3,normal_early_verifier,471,75,0.1592356687898089,0
R1_seed_202608231,4,persistence,471,11,0.02335456475583864,64
R1_seed_202608231,5,mask_and_owner,471,6,0.012738853503184714,5
R1_seed_202608231,6,episode_detection,471,6,0.012738853503184714,0
R1_seed_202608232,1,raw_actionable_argmax,471,438,0.9299363057324841,
R1_seed_202608232,2,actionable_proposal,471,99,0.21019108280254778,339
R1_seed_202608232,3,normal_early_verifier,471,99,0.21019108280254778,0
R1_seed_202608232,4,persistence,471,40,0.08492569002123142,59
R1_seed_202608232,5,mask_and_owner,471,32,0.06794055201698514,8
R1_seed_202608232,6,episode_detection,471,32,0.06794055201698514,0
R1_seed_202608233,1,raw_actionable_argmax,471,423,0.8980891719745223,
R1_seed_202608233,2,actionable_proposal,471,197,0.4182590233545648,226
R1_seed_202608233,3,normal_early_verifier,471,197,0.4182590233545648,0
R1_seed_202608233,4,persistence,471,46,0.09766454352441614,151
R1_seed_202608233,5,mask_and_owner,471,39,0.08280254777070063,7
R1_seed_202608233,6,episode_detection,471,39,0.08280254777070063,0
R2_seed_202608231,1,raw_actionable_argmax,471,434,0.921443736730361,
R2_seed_202608231,2,actionable_proposal,471,210,0.445859872611465,224
R2_seed_202608231,3,normal_early_verifier,471,210,0.445859872611465,0
R2_seed_202608231,4,persistence,471,45,0.09554140127388536,165
R2_seed_202608231,5,mask_and_owner,471,39,0.08280254777070063,6
R2_seed_202608231,6,episode_detection,471,39,0.08280254777070063,0
R2_seed_202608232,1,raw_actionable_argmax,471,445,0.9447983014861996,
R2_seed_202608232,2,actionable_proposal,471,103,0.21868365180467092,342
R2_seed_202608232,3,normal_early_verifier,471,103,0.21868365180467092,0
R2_seed_202608232,4,persistence,471,27,0.05732484076433121,76
R2_seed_202608232,5,mask_and_owner,471,23,0.04883227176220807,4
R2_seed_202608232,6,episode_detection,471,23,0.04883227176220807,0
R2_seed_202608233,1,raw_actionable_argmax,471,437,0.9278131634819533,
R2_seed_202608233,2,actionable_proposal,471,53,0.11252653927813164,384
R2_seed_202608233,3,normal_early_verifier,471,53,0.11252653927813164,0
R2_seed_202608233,4,persistence,471,21,0.044585987261146494,32
R2_seed_202608233,5,mask_and_owner,471,13,0.027600849256900213,8
R2_seed_202608233,6,episode_detection,471,13,0.027600849256900213,0
R3_seed_202608231,1,raw_actionable_argmax,471,468,0.9936305732484076,
R3_seed_202608231,2,actionable_proposal,471,298,0.6326963906581741,170
R3_seed_202608231,3,normal_early_verifier,471,298,0.6326963906581741,0
R3_seed_202608231,4,persistence,471,140,0.29723991507430997,158
R3_seed_202608231,5,mask_and_owner,471,95,0.20169851380042464,45
R3_seed_202608231,6,episode_detection,471,95,0.20169851380042464,0
R3_seed_202608232,1,raw_actionable_argmax,471,465,0.9872611464968153,
R3_seed_202608232,2,actionable_proposal,471,318,0.6751592356687898,147
R3_seed_202608232,3,normal_early_verifier,471,318,0.6751592356687898,0
R3_seed_202608232,4,persistence,471,70,0.14861995753715498,248
R3_seed_202608232,5,mask_and_owner,471,54,0.11464968152866242,16
R3_seed_202608232,6,episode_detection,471,54,0.11464968152866242,0
R3_seed_202608233,1,raw_actionable_argmax,471,463,0.9830148619957537,
R3_seed_202608233,2,actionable_proposal,471,364,0.772823779193206,99
R3_seed_202608233,3,normal_early_verifier,471,364,0.772823779193206,0
R3_seed_202608233,4,persistence,471,112,0.23779193205944799,252
R3_seed_202608233,5,mask_and_owner,471,93,0.19745222929936307,19
R3_seed_202608233,6,episode_detection,471,93,0.19745222929936307,0
