run_id,role,target_foot,contacting_foot,start_sample,geom1_name,geom1_id,geom2_name,geom2_id,body1_name,body1_id,body2_name,body2_id,patch_inclusion,contact_position_first,contact_position_last,geom1_friction,geom2_friction,geom1_priority,geom2_priority,explicit_pair_id,effective_contact_friction_first,effective_contact_friction_last,contact_dimension,contact_exclude,efc_address_min,efc_address_max,integrator,mutation_point,constraints_constructed_at_mutation,tangential_contact_force_peak_n,end_sample_exclusive,observed_sample_count,tangential_contact_force_mean_n
positive_0p10_left_early_native_strong_ice,positive,left,right,48,right_foot_contact_4,35,slip_patch,2,right_ankle_roll_link,13,world,0,True,"[0.09567601355601713, -0.14705862058940897, -0.0001853028446245908]","[0.09576435206209927, -0.14609771428628995, -4.3564635785184325e-05]","[1.0, 0.005, 0.0001]","[1.0, 0.005, 0.0001]",0,1,7,"[1.0, 1.0, 0.005, 0.0001, 0.0001]","[1.0, 1.0, 0.005, 0.0001, 0.0001]",3,0,57,57,mjINT_EULER,model.pair_friction before mj_step,False,16.774597309855555,90,42,3.2222998028839775
positive_0p10_left_early_native_strong_ice,positive,left,right,48,right_foot_contact_3,34,slip_patch,2,right_ankle_roll_link,13,world,0,True,"[0.09587665796387052, -0.08705896539244147, -0.00020202159610044346]","[0.09594089713274945, -0.0860630232458127, -5.565609679109018e-05]","[1.0, 0.005, 0.0001]","[1.0, 0.005, 0.0001]",0,1,6,"[1.0, 1.0, 0.005, 0.0001, 0.0001]","[1.0, 1.0, 0.005, 0.0001, 0.0001]",3,0,53,53,mjINT_EULER,model.pair_friction before mj_step,False,19.242196459199317,91,43,6.2707857544398244
positive_0p10_left_early_native_strong_ice,positive,left,right,43,right_foot_contact_2,33,slip_patch,2,right_ankle_roll_link,13,world,0,True,"[-0.07433155964704707, -0.14201760883129097, -6.844376771233951e-05]","[-0.07422386797707903, -0.14049084382192514, -1.953406280480463e-07]","[1.0, 0.005, 0.0001]","[1.0, 0.005, 0.0001]",0,1,5,"[1.0, 1.0, 0.005, 0.0001, 0.0001]","[1.0, 1.0, 0.005, 0.0001, 0.0001]",3,0,49,49,mjINT_EULER,model.pair_friction before mj_step,False,28.28372580746301,92,49,5.896191850073599
positive_0p10_left_early_native_strong_ice,positive,left,right,43,right_foot_contact_1,32,slip_patch,2,right_ankle_roll_link,13,world,0,True,"[-0.07418082666059989, -0.09201783616837973, -7.0262007946853e-05]","[-0.0740547125531057, -0.09042807356485486, -3.105202994685419e-05]","[1.0, 0.005, 0.0001]","[1.0, 0.005, 0.0001]",0,1,4,"[1.0, 1.0, 0.005, 0.0001, 0.0001]","[1.0, 1.0, 0.005, 0.0001, 0.0001]",3,0,45,45,mjINT_EULER,model.pair_friction before mj_step,False,112.86425966424703,93,50,18.196825211826994
positive_0p10_left_early_native_strong_ice,positive,left,left,38,left_foot_contact_1,17,slip_patch,2,left_ankle_roll_link,7,world,0,True,"[-0.07139121663855308, 0.14494315417984213, -8.524755745789592e-05]","[-0.07505005105048668, 0.16078964745086494, -3.109878522193632e-05]","[1.0, 0.005, 0.0001]","[1.0, 0.005, 0.0001]",0,1,0,"[0.05, 0.05, 0.001, 1e-05, 1e-05]","[0.05, 0.05, 0.001, 1e-05, 1e-05]",3,0,29,29,mjINT_EULER,model.pair_friction before mj_step,False,21.39019858058261,96,58,5.416415172470083
positive_0p10_left_early_native_strong_ice,positive,left,left,36,left_foot_contact_3,19,slip_patch,2,left_ankle_roll_link,7,world,0,True,"[0.09810464780625944, 0.14648285940814748, -7.690662652791447e-05]","[0.09472874775442147, 0.15396245861036717, -8.204511163512063e-07]","[1.0, 0.005, 0.0001]","[1.0, 0.005, 0.0001]",0,1,2,"[0.05, 0.05, 0.001, 1e-05, 1e-05]","[0.05, 0.05, 0.001, 1e-05, 1e-05]",3,0,29,37,mjINT_EULER,model.pair_friction before mj_step,False,11.179773934983473,98,62,1.289288665410026
positive_0p10_left_early_native_strong_ice,positive,left,left,38,left_foot_contact_2,18,slip_patch,2,left_ankle_roll_link,7,world,0,True,"[-0.07248377318984911, 0.09495533037287796, -8.125533815517283e-06]","[-0.07895526531179875, 0.1120236527173906, -7.25248389843447e-06]","[1.0, 0.005, 0.0001]","[1.0, 0.005, 0.0001]",0,1,1,"[0.05, 0.05, 0.001, 1e-05, 1e-05]","[0.05, 0.05, 0.001, 1e-05, 1e-05]",3,0,29,33,mjINT_EULER,model.pair_friction before mj_step,False,18.836901320791235,98,60,8.80621617639317
positive_0p10_left_early_native_strong_ice,positive,left,left,37,left_foot_contact_4,20,slip_patch,2,left_ankle_roll_link,7,world,0,True,"[0.09716075268455004, 0.08636692543652506, -0.0002292979824139174]","[0.0900256049929406, 0.09500549478177425, -1.149186797200219e-05]","[1.0, 0.005, 0.0001]","[1.0, 0.005, 0.0001]",0,1,3,"[0.05, 0.05, 0.001, 1e-05, 1e-05]","[0.05, 0.05, 0.001, 1e-05, 1e-05]",3,0,29,41,mjINT_EULER,model.pair_friction before mj_step,False,12.639632061687088,100,63,7.670957688769288
positive_0p10_left_early_native_strong_ice,positive,left,left,99,left_foot_contact_2,18,slip_patch,2,left_ankle_roll_link,7,world,0,True,"[-0.0790717569715016, 0.11320115821794846, -1.2973746094629979e-05]","[-0.07989617589946674, 0.12166102829287824, -5.918492275019949e-06]","[1.0, 0.005, 0.0001]","[1.0, 0.005, 0.0001]",0,1,1,"[0.05, 0.05, 0.001, 1e-05, 1e-05]","[0.05, 0.05, 0.001, 1e-05, 1e-05]",3,0,29,29,mjINT_EULER,model.pair_friction before mj_step,False,10.080350483250093,112,13,9.106823860142784
positive_0p10_left_early_native_strong_ice,positive,left,left,113,left_foot_contact_2,18,slip_patch,2,left_ankle_roll_link,7,world,0,True,"[-0.08001969189773805, 0.12328086598079031, -8.315599612493396e-06]","[-0.0802871634414114, 0.12673495992409484, -7.100079149752192e-06]","[1.0, 0.005, 0.0001]","[1.0, 0.005, 0.0001]",0,1,1,"[0.05, 0.05, 0.001, 1e-05, 1e-05]","[0.05, 0.05, 0.001, 1e-05, 1e-05]",3,0,29,29,mjINT_EULER,model.pair_friction before mj_step,False,9.440821882635786,118,5,9.38825849966399
