run_id,pair_id,role,target_foot,profile,effective_patch_friction_mean,target_tangential_force_peak_n,patch_active_contact_count,valid_efc_addresses
positive_0p10_left_early_native_strong_ice,pilot_pair_00,positive,left,native_strong_ice,0.049999999999999996,49.936601616623015,1246,True
control_0p10_left_early_native_strong_ice,pilot_pair_00,control,left,hard_control,1.0,111.10814856895435,1607,True
positive_0p10_left_early_moderate_ice_preregistered,pilot_pair_01,positive,left,moderate_ice_preregistered,0.1,109.23913012869347,1050,True
control_0p10_left_early_moderate_ice_preregistered,pilot_pair_01,control,left,hard_control,1.0,111.15311673299034,1607,True
positive_0p10_left_middle_native_strong_ice,pilot_pair_02,positive,left,native_strong_ice,0.6244043786220219,294.4651892769364,1553,True
control_0p10_left_middle_native_strong_ice,pilot_pair_02,control,left,hard_control,1.0,111.40850366809681,1607,True
positive_0p10_left_middle_moderate_ice_preregistered,pilot_pair_03,positive,left,moderate_ice_preregistered,0.6013801756587202,217.44472899112463,1594,True
control_0p10_left_middle_moderate_ice_preregistered,pilot_pair_03,control,left,hard_control,1.0,111.41843480622589,1607,True
positive_0p10_left_late_native_strong_ice,pilot_pair_04,positive,left,native_strong_ice,0.7970238095238097,218.86701118432512,1596,True
control_0p10_left_late_native_strong_ice,pilot_pair_04,control,left,hard_control,1.0,111.12251446271932,1607,True
positive_0p10_left_late_moderate_ice_preregistered,pilot_pair_05,positive,left,moderate_ice_preregistered,0.7231210191082802,167.0131649194184,1570,True
control_0p10_left_late_moderate_ice_preregistered,pilot_pair_05,control,left,hard_control,1.0,110.92354933231968,1607,True
positive_0p10_right_early_native_strong_ice,pilot_pair_06,positive,right,native_strong_ice,0.05,90.63013668462112,867,True
control_0p10_right_early_native_strong_ice,pilot_pair_06,control,right,hard_control,1.0,160.16993519743312,1805,True
positive_0p10_right_early_moderate_ice_preregistered,pilot_pair_07,positive,right,moderate_ice_preregistered,0.09999999999999999,173.48378860091745,871,True
control_0p10_right_early_moderate_ice_preregistered,pilot_pair_07,control,right,hard_control,1.0,160.12421028089528,1805,True
positive_0p10_right_middle_native_strong_ice,pilot_pair_08,positive,right,native_strong_ice,0.6000318471337579,305.1307551137804,1570,True
control_0p10_right_middle_native_strong_ice,pilot_pair_08,control,right,hard_control,1.0,160.09274674753922,1805,True
positive_0p10_right_middle_moderate_ice_preregistered,pilot_pair_09,positive,right,moderate_ice_preregistered,0.6093023255813953,250.99175137190008,1677,True
control_0p10_right_middle_moderate_ice_preregistered,pilot_pair_09,control,right,hard_control,1.0,160.11629798440103,1805,True
positive_0p10_right_late_native_strong_ice,pilot_pair_10,positive,right,native_strong_ice,0.780543545398394,243.4943677482051,1619,True
control_0p10_right_late_native_strong_ice,pilot_pair_10,control,right,hard_control,1.0,160.09163866359432,1805,True
positive_0p10_right_late_moderate_ice_preregistered,pilot_pair_11,positive,right,moderate_ice_preregistered,0.7247547605308713,197.4292265168671,1733,True
control_0p10_right_late_moderate_ice_preregistered,pilot_pair_11,control,right,hard_control,1.0,160.1700301040438,1805,True
positive_0p20_left_early_native_strong_ice,pilot_pair_12,positive,left,native_strong_ice,0.049999999999999996,47.70610772174812,1090,True
control_0p20_left_early_native_strong_ice,pilot_pair_12,control,left,hard_control,1.0,131.44938594241853,1560,True
positive_0p20_left_early_moderate_ice_preregistered,pilot_pair_13,positive,left,moderate_ice_preregistered,0.09999999999999999,80.1693181386622,1163,True
control_0p20_left_early_moderate_ice_preregistered,pilot_pair_13,control,left,hard_control,1.0,131.43987118612205,1560,True
positive_0p20_left_middle_native_strong_ice,pilot_pair_14,positive,left,native_strong_ice,0.6556020605280104,266.8852909067413,1553,True
control_0p20_left_middle_native_strong_ice,pilot_pair_14,control,left,hard_control,1.0,131.42872344551088,1561,True
positive_0p20_left_middle_moderate_ice_preregistered,pilot_pair_15,positive,left,moderate_ice_preregistered,0.6020992366412213,237.185841907164,1572,True
control_0p20_left_middle_moderate_ice_preregistered,pilot_pair_15,control,left,hard_control,1.0,131.44011787468304,1560,True
positive_0p20_left_late_native_strong_ice,pilot_pair_16,positive,left,native_strong_ice,0.7744516129032258,223.62861298878886,1550,True
control_0p20_left_late_native_strong_ice,pilot_pair_16,control,left,hard_control,1.0,131.44371693600493,1560,True
positive_0p20_left_late_moderate_ice_preregistered,pilot_pair_17,positive,left,moderate_ice_preregistered,0.745944192083063,150.2938161658355,1541,True
control_0p20_left_late_moderate_ice_preregistered,pilot_pair_17,control,left,hard_control,1.0,131.44489890721323,1560,True
positive_0p20_right_early_native_strong_ice,pilot_pair_18,positive,right,native_strong_ice,0.05,94.73544001260288,860,True
control_0p20_right_early_native_strong_ice,pilot_pair_18,control,right,hard_control,1.0,131.99055506018536,1821,True
positive_0p20_right_early_moderate_ice_preregistered,pilot_pair_19,positive,right,moderate_ice_preregistered,0.1,183.59469898810178,901,True
control_0p20_right_early_moderate_ice_preregistered,pilot_pair_19,control,right,hard_control,1.0,131.97117937570613,1821,True
positive_0p20_right_middle_native_strong_ice,pilot_pair_20,positive,right,native_strong_ice,0.6454103343465046,317.33498095144716,1645,True
control_0p20_right_middle_native_strong_ice,pilot_pair_20,control,right,hard_control,1.0,132.1260060340951,1821,True
positive_0p20_right_middle_moderate_ice_preregistered,pilot_pair_21,positive,right,moderate_ice_preregistered,0.6164802825191288,269.3782962433378,1699,True
control_0p20_right_middle_moderate_ice_preregistered,pilot_pair_21,control,right,hard_control,1.0,132.0292592499834,1821,True
positive_0p20_right_late_native_strong_ice,pilot_pair_22,positive,right,native_strong_ice,0.8172653534183083,237.4778940996929,1726,True
control_0p20_right_late_native_strong_ice,pilot_pair_22,control,right,hard_control,1.0,131.95971064990272,1821,True
positive_0p20_right_late_moderate_ice_preregistered,pilot_pair_23,positive,right,moderate_ice_preregistered,0.7204233409610984,196.9354714303442,1748,True
control_0p20_right_late_moderate_ice_preregistered,pilot_pair_23,control,right,hard_control,1.0,132.08926483632044,1821,True
