pair_id,positive_run_id,control_run_id,configuration_parity,collision_geometry_identical,top_height_identical,first_patch_contact_sample,precontact_trace_parity,postcontact_trace_divergence,positive_control_full_trace_identical,positive_effective_friction,control_effective_friction,effective_friction_differs,tangential_force_differs,patch_base_double_contact_count
pilot_pair_00,positive_0p10_left_early_native_strong_ice,control_0p10_left_early_native_strong_ice,True,True,True,36,True,True,False,0.049999999999999996,1.0,True,True,0
pilot_pair_01,positive_0p10_left_early_moderate_ice_preregistered,control_0p10_left_early_moderate_ice_preregistered,True,True,True,36,True,True,False,0.1,1.0,True,True,0
pilot_pair_02,positive_0p10_left_middle_native_strong_ice,control_0p10_left_middle_native_strong_ice,True,True,True,36,True,True,False,0.6244043786220219,1.0,True,True,0
pilot_pair_03,positive_0p10_left_middle_moderate_ice_preregistered,control_0p10_left_middle_moderate_ice_preregistered,True,True,True,36,True,True,False,0.6013801756587202,1.0,True,True,0
pilot_pair_04,positive_0p10_left_late_native_strong_ice,control_0p10_left_late_native_strong_ice,True,True,True,36,True,True,False,0.7970238095238097,1.0,True,True,0
pilot_pair_05,positive_0p10_left_late_moderate_ice_preregistered,control_0p10_left_late_moderate_ice_preregistered,True,True,True,36,True,True,False,0.7231210191082802,1.0,True,True,0
pilot_pair_06,positive_0p10_right_early_native_strong_ice,control_0p10_right_early_native_strong_ice,True,True,True,43,True,True,False,0.05,1.0,True,True,0
pilot_pair_07,positive_0p10_right_early_moderate_ice_preregistered,control_0p10_right_early_moderate_ice_preregistered,True,True,True,43,True,True,False,0.09999999999999999,1.0,True,True,0
pilot_pair_08,positive_0p10_right_middle_native_strong_ice,control_0p10_right_middle_native_strong_ice,True,True,True,43,True,True,False,0.6000318471337579,1.0,True,True,0
pilot_pair_09,positive_0p10_right_middle_moderate_ice_preregistered,control_0p10_right_middle_moderate_ice_preregistered,True,True,True,43,True,True,False,0.6093023255813953,1.0,True,True,0
pilot_pair_10,positive_0p10_right_late_native_strong_ice,control_0p10_right_late_native_strong_ice,True,True,True,43,True,True,False,0.780543545398394,1.0,True,True,0
pilot_pair_11,positive_0p10_right_late_moderate_ice_preregistered,control_0p10_right_late_moderate_ice_preregistered,True,True,True,43,True,True,False,0.7247547605308713,1.0,True,True,0
pilot_pair_12,positive_0p20_left_early_native_strong_ice,control_0p20_left_early_native_strong_ice,True,True,True,36,True,True,False,0.049999999999999996,1.0,True,True,0
pilot_pair_13,positive_0p20_left_early_moderate_ice_preregistered,control_0p20_left_early_moderate_ice_preregistered,True,True,True,36,True,True,False,0.09999999999999999,1.0,True,True,0
pilot_pair_14,positive_0p20_left_middle_native_strong_ice,control_0p20_left_middle_native_strong_ice,True,True,True,36,True,True,False,0.6556020605280104,1.0,True,True,0
pilot_pair_15,positive_0p20_left_middle_moderate_ice_preregistered,control_0p20_left_middle_moderate_ice_preregistered,True,True,True,36,True,True,False,0.6020992366412213,1.0,True,True,0
pilot_pair_16,positive_0p20_left_late_native_strong_ice,control_0p20_left_late_native_strong_ice,True,True,True,36,True,True,False,0.7744516129032258,1.0,True,True,0
pilot_pair_17,positive_0p20_left_late_moderate_ice_preregistered,control_0p20_left_late_moderate_ice_preregistered,True,True,True,36,True,True,False,0.745944192083063,1.0,True,True,0
pilot_pair_18,positive_0p20_right_early_native_strong_ice,control_0p20_right_early_native_strong_ice,True,True,True,42,True,True,False,0.05,1.0,True,True,0
pilot_pair_19,positive_0p20_right_early_moderate_ice_preregistered,control_0p20_right_early_moderate_ice_preregistered,True,True,True,42,True,True,False,0.1,1.0,True,True,0
pilot_pair_20,positive_0p20_right_middle_native_strong_ice,control_0p20_right_middle_native_strong_ice,True,True,True,42,True,True,False,0.6454103343465046,1.0,True,True,0
pilot_pair_21,positive_0p20_right_middle_moderate_ice_preregistered,control_0p20_right_middle_moderate_ice_preregistered,True,True,True,42,True,True,False,0.6164802825191288,1.0,True,True,0
pilot_pair_22,positive_0p20_right_late_native_strong_ice,control_0p20_right_late_native_strong_ice,True,True,True,42,True,True,False,0.8172653534183083,1.0,True,True,0
pilot_pair_23,positive_0p20_right_late_moderate_ice_preregistered,control_0p20_right_late_moderate_ice_preregistered,True,True,True,42,True,True,False,0.7204233409610984,1.0,True,True,0
