run_id,pair_id,role,target_foot,foot,contact_episode_id,episode_start_sample,episode_end_sample_exclusive,physical_onset_sample,maximum_anchor_drift_m,pre_fall_valid_sample_count,air_event_counted,post_fall_event_counted
positive_0p10_left_early_native_strong_ice,pilot_pair_00,positive,left,left,0,36,155,143,0.06659159064292908,119,False,False
positive_0p10_left_early_native_strong_ice,pilot_pair_00,positive,left,left,1,156,162,,0.006743466015905142,6,False,False
positive_0p10_left_early_native_strong_ice,pilot_pair_00,positive,left,left,2,163,171,,0.009032017551362514,8,False,False
positive_0p10_left_early_native_strong_ice,pilot_pair_00,positive,left,left,3,172,173,,0.0,1,False,False
positive_0p10_left_early_native_strong_ice,pilot_pair_00,positive,left,left,4,174,179,,0.0046539222821593285,5,False,False
positive_0p10_left_early_native_strong_ice,pilot_pair_00,positive,left,left,5,180,181,,0.0,1,False,False
positive_0p10_left_early_native_strong_ice,pilot_pair_00,positive,left,left,6,520,585,,0.04443693906068802,65,False,False
positive_0p10_left_early_native_strong_ice,pilot_pair_00,positive,left,left,7,586,599,,0.016795577481389046,13,False,False
positive_0p10_left_early_native_strong_ice,pilot_pair_00,positive,left,left,8,600,630,,0.045012108981609344,30,False,False
positive_0p10_left_early_native_strong_ice,pilot_pair_00,positive,left,left,9,631,637,,0.008273197337985039,6,False,False
positive_0p10_left_early_native_strong_ice,pilot_pair_00,positive,left,left,10,638,647,,0.013469239696860313,9,False,False
positive_0p10_left_early_native_strong_ice,pilot_pair_00,positive,left,left,11,648,685,681,0.058101437985897064,37,False,False
positive_0p10_left_early_native_strong_ice,pilot_pair_00,positive,left,left,12,686,745,,0.03181290626525879,59,False,False
positive_0p10_left_early_native_strong_ice,pilot_pair_00,positive,left,left,13,746,749,,0.0005759514169767499,3,False,False
positive_0p10_left_early_native_strong_ice,pilot_pair_00,positive,left,left,14,750,751,,0.0,1,False,False
positive_0p10_left_early_native_strong_ice,pilot_pair_00,positive,left,left,15,752,754,,0.0003361215640325099,2,False,False
positive_0p10_left_early_native_strong_ice,pilot_pair_00,positive,left,left,16,755,760,,0.001523278304375708,5,False,False
positive_0p10_left_early_native_strong_ice,pilot_pair_00,positive,left,left,17,805,814,,0.0031187653075903654,9,False,False
positive_0p10_left_early_native_strong_ice,pilot_pair_00,positive,left,left,18,817,823,,0.0017657929565757513,6,False,False
positive_0p10_left_early_native_strong_ice,pilot_pair_00,positive,left,left,19,826,866,,0.010357002727687359,40,False,False
positive_0p10_left_early_native_strong_ice,pilot_pair_00,positive,left,left,20,869,884,,0.003058195346966386,15,False,False
positive_0p10_left_early_native_strong_ice,pilot_pair_00,positive,left,left,21,885,892,,0.001517658936791122,7,False,False
positive_0p10_left_early_native_strong_ice,pilot_pair_00,positive,left,left,22,894,902,,0.0016514644958078861,8,False,False
positive_0p10_left_early_native_strong_ice,pilot_pair_00,positive,left,left,23,918,924,,0.0012931892415508628,6,False,False
positive_0p10_left_early_native_strong_ice,pilot_pair_00,positive,left,left,24,969,1114,1064,0.13283392786979675,145,False,False
positive_0p10_left_early_native_strong_ice,pilot_pair_00,positive,left,left,25,1115,1135,,0.03504139184951782,20,False,False
positive_0p10_left_early_native_strong_ice,pilot_pair_00,positive,left,left,26,1136,1209,1166,0.1302030086517334,73,False,False
positive_0p10_left_early_native_strong_ice,pilot_pair_00,positive,left,left,27,1210,1237,,0.04562682658433914,27,False,False
positive_0p10_left_early_native_strong_ice,pilot_pair_00,positive,left,left,28,1238,1299,1272,0.0798773244023323,61,False,False
positive_0p10_left_early_native_strong_ice,pilot_pair_00,positive,left,left,29,1300,1311,,0.008304513059556484,11,False,False
positive_0p10_left_early_native_strong_ice,pilot_pair_00,positive,left,left,30,1312,1317,,0.0031560419593006372,5,False,False
positive_0p10_left_early_native_strong_ice,pilot_pair_00,positive,left,left,31,1318,1336,,0.012683269567787647,18,False,False
positive_0p10_left_early_native_strong_ice,pilot_pair_00,positive,left,left,32,1337,1341,,0.0022607322316616774,4,False,False
positive_0p10_left_early_native_strong_ice,pilot_pair_00,positive,left,left,33,1342,1344,,0.0007381495088338852,2,False,False
positive_0p10_left_early_native_strong_ice,pilot_pair_00,positive,left,left,34,1347,1348,,0.0,1,False,False
positive_0p10_left_early_native_strong_ice,pilot_pair_00,positive,left,left,35,1376,1403,,0.002071044407784939,27,False,False
positive_0p10_left_early_native_strong_ice,pilot_pair_00,positive,left,left,36,1405,1415,,0.0016126125119626522,10,False,False
positive_0p10_left_early_native_strong_ice,pilot_pair_00,positive,left,left,37,1416,1421,,0.000876957958098501,5,False,False
positive_0p10_left_early_native_strong_ice,pilot_pair_00,positive,left,left,38,1422,1433,,0.003495000069960952,11,False,False
positive_0p10_left_early_native_strong_ice,pilot_pair_00,positive,left,left,39,1434,1437,,0.0007882161880843341,3,False,False
positive_0p10_left_early_native_strong_ice,pilot_pair_00,positive,left,left,40,1438,1441,,0.0008072145283222198,3,False,False
positive_0p10_left_early_native_strong_ice,pilot_pair_00,positive,left,left,41,1442,1454,,0.005717239808291197,12,False,False
positive_0p10_left_early_native_strong_ice,pilot_pair_00,positive,left,left,42,1455,1673,1610,0.12995794415473938,218,False,False
positive_0p10_left_early_native_strong_ice,pilot_pair_00,positive,left,left,43,1674,1676,,0.0012991231633350253,2,False,False
positive_0p10_left_early_native_strong_ice,pilot_pair_00,positive,left,left,44,1677,1678,,0.0,1,False,False
positive_0p10_left_early_native_strong_ice,pilot_pair_00,positive,left,left,45,1679,1686,,0.006234421394765377,7,False,False
positive_0p10_left_early_native_strong_ice,pilot_pair_00,positive,left,left,46,1687,1691,,0.0027674424927681684,4,False,False
positive_0p10_left_early_native_strong_ice,pilot_pair_00,positive,left,left,47,1692,1695,,0.0016646119765937328,3,False,False
positive_0p10_left_early_native_strong_ice,pilot_pair_00,positive,left,left,48,1696,1700,,0.00225692056119442,4,False,False
positive_0p10_left_early_native_strong_ice,pilot_pair_00,positive,left,left,49,1701,1704,,0.001442069187760353,3,False,False
positive_0p10_left_early_native_strong_ice,pilot_pair_00,positive,left,left,50,1705,1707,,0.0006937043508514762,2,False,False
positive_0p10_left_early_native_strong_ice,pilot_pair_00,positive,left,left,51,1708,1711,,0.0013106418773531914,3,False,False
positive_0p10_left_early_native_strong_ice,pilot_pair_00,positive,left,left,52,1712,1715,,0.0012286582496017218,3,False,False
positive_0p10_left_early_native_strong_ice,pilot_pair_00,positive,left,left,53,1716,1717,,0.0,1,False,False
