run_id,pair_id,role,profile,status,full_trace_sha256
positive_0p10_left_early_native_strong_ice,pilot_pair_00,positive,native_strong_ice,completed_and_retained,03b5a254682ba9694419c2ffe6917df1bb715ca48003f11b5f6bea47aa12cb22
control_0p10_left_early_native_strong_ice,pilot_pair_00,control,hard_control,completed_and_retained,cc57194972343bb8ee468c47a09b783910c50365375052ac17b2266d0d70c50a
positive_0p10_left_early_moderate_ice_preregistered,pilot_pair_01,positive,moderate_ice_preregistered,completed_and_retained,19cc1b4c54e485c797d7ac2d6cfb8a1777c6dcebc3b3ccd28d268f9481bb9f85
control_0p10_left_early_moderate_ice_preregistered,pilot_pair_01,control,hard_control,completed_and_retained,f77d86767d221fee8e0a2a74ae5bc947abcf59f766bb0902c00a11dee3d166f7
positive_0p10_left_middle_native_strong_ice,pilot_pair_02,positive,native_strong_ice,completed_and_retained,4ffea1cf0041a3a5331242095bb5c5287cd469a776fa61b890a9f42a5a049320
control_0p10_left_middle_native_strong_ice,pilot_pair_02,control,hard_control,completed_and_retained,69975c6a9d968203d5e40dd4ddc2f1144c353ad3c80db3065298feac1d2a67c5
positive_0p10_left_middle_moderate_ice_preregistered,pilot_pair_03,positive,moderate_ice_preregistered,completed_and_retained,842ff508c67528ae78fc99dcb01b5c78fc0bee380a9f632cc92eb0c75a53c740
control_0p10_left_middle_moderate_ice_preregistered,pilot_pair_03,control,hard_control,completed_and_retained,983c330cac5ad2bbe71bce75deef846b9f74602b9b2b70475ae9bbe324d7d9b7
positive_0p10_left_late_native_strong_ice,pilot_pair_04,positive,native_strong_ice,completed_and_retained,583162fac40a08a2b70d33e6b8652d03ce84ae8ca1d6dd2c083d8aa3372d77b3
control_0p10_left_late_native_strong_ice,pilot_pair_04,control,hard_control,completed_and_retained,f73c3e2b88910ae5fa5adaa404422bd174f52f9d918aedd05a0cf30511b49d8e
positive_0p10_left_late_moderate_ice_preregistered,pilot_pair_05,positive,moderate_ice_preregistered,completed_and_retained,bb4c23460441fff3384e940b1515cdc7c637c2fde6dd5993e9ac9e40ec39726d
control_0p10_left_late_moderate_ice_preregistered,pilot_pair_05,control,hard_control,completed_and_retained,a67169f4a586a8f68a582cb1c93f9f26a80f1963e890ea9843ada5060f82d6d6
positive_0p10_right_early_native_strong_ice,pilot_pair_06,positive,native_strong_ice,completed_and_retained,a3104f5ca4555f73486bed1603fd19cc82da899b6fa10cd50d69d392c12c6efd
control_0p10_right_early_native_strong_ice,pilot_pair_06,control,hard_control,completed_and_retained,1cf24b827ffe18b31f6b07c1db0268c7ebb1b861a8d7bc8a4753f6f21522a040
positive_0p10_right_early_moderate_ice_preregistered,pilot_pair_07,positive,moderate_ice_preregistered,completed_and_retained,146a9ee442d251635c212e34f92bf8597e6960556952a970bee6c4606ddefa2b
control_0p10_right_early_moderate_ice_preregistered,pilot_pair_07,control,hard_control,completed_and_retained,cb237f490bba40c77d8db77ca39b55adee2875c6c4d367e5ac7b7bb5a7169f86
positive_0p10_right_middle_native_strong_ice,pilot_pair_08,positive,native_strong_ice,completed_and_retained,eb6b6cfe18fbd72a8748a47ac057e5805a09d216fa29ad9d897d655015413f9d
control_0p10_right_middle_native_strong_ice,pilot_pair_08,control,hard_control,completed_and_retained,6d8032b7e493d3fe11221545e424139b6f36019319134f85b84e7840e132ccaa
