run_id,role,speed_mps,target_foot,target_phase,profile,seed,duration_s,sample_count,initial_qpos_sha256,initial_qvel_sha256,initial_policy_observation_sha256,full_trace_sha256,first_patch_contact_sample,patch_active_contact_count,intervention_activation_physics_steps,effective_patch_friction_mean,target_tangential_force_peak_n,target_anchor_drift_max_m,target_physical_onset_sample,contralateral_physical_onset_sample,actual_first_affected_foot,contralateral_contamination,fall_occurred,first_fall_sample,first_fall_time_s,fall_reason,post_fall_excluded_sample_count,patch_base_double_contact_count,discarded,relabeled,retained,pair_id,severity,pair_parity_sha256,collision_geometry_sha256,actual_onset_phase,touchdown_to_onset_ms,valid_target_positive,air_event_counted,post_fall_event_counted,unique_pilot_run,replay_of,deterministic_replay_match
positive_0p10_left_early_native_strong_ice,positive,0.1,left,early,native_strong_ice,202608400,3.0,3000,ac2c76105cffd1c3347d13a33e74f2192b16cae1fea1d3f8d1797795184538c9,6dd3a1a51ea98420fde6a6de4c6907e390270030323c2625675671a1b3282ca7,e8db233ba68753692a7ca9d542ffa00754cdd2d0c4f2c428ef2644dfc559214a,03b5a254682ba9694419c2ffe6917df1bb715ca48003f11b5f6bea47aa12cb22,36,1246,6000,0.049999999999999996,49.936601616623015,0.13283392786979675,143,,left,False,True,1733,1.7339999999998645,fallen_base_height,1267,0,False,False,True,pilot_pair_00,native_strong_ice,e8bc966ae1fde15925c9b4e0a4d7dc04f10344bb32da628d8ae41633231f3720,58b3071a02305e9ea39c75751a7a9c67c32afb648478888eb597c404f529b717,early,108,True,False,False,True,,
control_0p10_left_early_native_strong_ice,control,0.1,left,early,hard_control,202608400,3.0,3000,ac2c76105cffd1c3347d13a33e74f2192b16cae1fea1d3f8d1797795184538c9,6dd3a1a51ea98420fde6a6de4c6907e390270030323c2625675671a1b3282ca7,e8db233ba68753692a7ca9d542ffa00754cdd2d0c4f2c428ef2644dfc559214a,cc57194972343bb8ee468c47a09b783910c50365375052ac17b2266d0d70c50a,36,1607,0,1.0,111.10814856895435,0.0020239155273884535,,,none,False,False,,,,0,0,False,False,True,pilot_pair_00,native_strong_ice,e8bc966ae1fde15925c9b4e0a4d7dc04f10344bb32da628d8ae41633231f3720,58b3071a02305e9ea39c75751a7a9c67c32afb648478888eb597c404f529b717,none,,False,False,False,True,,
positive_0p10_left_early_moderate_ice_preregistered,positive,0.1,left,early,moderate_ice_preregistered,202608401,3.0,3000,0b894d5d1ed0613433d5194fa0c70285a4fc4ac1d088f34e4eb2892caf93415e,14467d7b38ac3fdd363378128aa1c77311138b4c06d3e74bbd6e77d97f73688c,e8db233ba68753692a7ca9d542ffa00754cdd2d0c4f2c428ef2644dfc559214a,19cc1b4c54e485c797d7ac2d6cfb8a1777c6dcebc3b3ccd28d268f9481bb9f85,36,1050,6000,0.1,109.23913012869347,0.08757232874631882,1107,,left,False,True,2153,2.1539999999998867,fallen_base_height,847,0,False,False,True,pilot_pair_01,moderate_ice_preregistered,3049ce21f9441da3f77127e7d62f21cf223ba327922b8978b9238601c520ace2,58b3071a02305e9ea39c75751a7a9c67c32afb648478888eb597c404f529b717,early,67,True,False,False,True,,
control_0p10_left_early_moderate_ice_preregistered,control,0.1,left,early,hard_control,202608401,3.0,3000,0b894d5d1ed0613433d5194fa0c70285a4fc4ac1d088f34e4eb2892caf93415e,14467d7b38ac3fdd363378128aa1c77311138b4c06d3e74bbd6e77d97f73688c,e8db233ba68753692a7ca9d542ffa00754cdd2d0c4f2c428ef2644dfc559214a,f77d86767d221fee8e0a2a74ae5bc947abcf59f766bb0902c00a11dee3d166f7,36,1607,0,1.0,111.15311673299034,0.0020226489286869764,,,none,False,False,,,,0,0,False,False,True,pilot_pair_01,moderate_ice_preregistered,3049ce21f9441da3f77127e7d62f21cf223ba327922b8978b9238601c520ace2,58b3071a02305e9ea39c75751a7a9c67c32afb648478888eb597c404f529b717,none,,False,False,False,True,,
positive_0p10_left_middle_native_strong_ice,positive,0.1,left,middle,native_strong_ice,202608402,3.0,3000,ec2f95dd342238b1177afbe4c1eb461eace0c59b7f07a56b1f65ce2a22390e79,71b6a0a9c71a1bf575afa8cb2910003090b7cde6f2b161134283a8af05924099,e8db233ba68753692a7ca9d542ffa00754cdd2d0c4f2c428ef2644dfc559214a,4ffea1cf0041a3a5331242095bb5c5287cd469a776fa61b890a9f42a5a049320,36,1553,1243,0.6244043786220219,294.4651892769364,0.09712676703929901,1246,,left,False,False,,,,0,0,False,False,True,pilot_pair_02,native_strong_ice,70d81f1621424ef71021b4ee99eff819dc87dd2d0bbf055cae43e7d1cbcd4311,58b3071a02305e9ea39c75751a7a9c67c32afb648478888eb597c404f529b717,middle,139,True,False,False,True,,
control_0p10_left_middle_native_strong_ice,control,0.1,left,middle,hard_control,202608402,3.0,3000,ec2f95dd342238b1177afbe4c1eb461eace0c59b7f07a56b1f65ce2a22390e79,71b6a0a9c71a1bf575afa8cb2910003090b7cde6f2b161134283a8af05924099,e8db233ba68753692a7ca9d542ffa00754cdd2d0c4f2c428ef2644dfc559214a,69975c6a9d968203d5e40dd4ddc2f1144c353ad3c80db3065298feac1d2a67c5,36,1607,0,1.0,111.40850366809681,0.002016076585277915,,,none,False,False,,,,0,0,False,False,True,pilot_pair_02,native_strong_ice,70d81f1621424ef71021b4ee99eff819dc87dd2d0bbf055cae43e7d1cbcd4311,58b3071a02305e9ea39c75751a7a9c67c32afb648478888eb597c404f529b717,none,,False,False,False,True,,
positive_0p10_left_middle_moderate_ice_preregistered,positive,0.1,left,middle,moderate_ice_preregistered,202608403,3.0,3000,2fa43bc0a197c87830596e3472bf230f546170f2f2980f374bf5003fd4366cad,6b759c0fc8813da18a808498b5c094cc9b48be0ef1481ec85fec77979e3bbafc,e8db233ba68753692a7ca9d542ffa00754cdd2d0c4f2c428ef2644dfc559214a,842ff508c67528ae78fc99dcb01b5c78fc0bee380a9f632cc92eb0c75a53c740,36,1594,1422,0.6013801756587202,217.44472899112463,0.052811648696660995,2503,,left,False,False,,,,0,0,False,False,True,pilot_pair_03,moderate_ice_preregistered,fcc18fb39ce1761169da401eeae778d01437c563587006eea476c5f97f6d391d,58b3071a02305e9ea39c75751a7a9c67c32afb648478888eb597c404f529b717,middle,178,True,False,False,True,,
control_0p10_left_middle_moderate_ice_preregistered,control,0.1,left,middle,hard_control,202608403,3.0,3000,2fa43bc0a197c87830596e3472bf230f546170f2f2980f374bf5003fd4366cad,6b759c0fc8813da18a808498b5c094cc9b48be0ef1481ec85fec77979e3bbafc,e8db233ba68753692a7ca9d542ffa00754cdd2d0c4f2c428ef2644dfc559214a,983c330cac5ad2bbe71bce75deef846b9f74602b9b2b70475ae9bbe324d7d9b7,36,1607,0,1.0,111.41843480622589,0.0020158751867711544,,,none,False,False,,,,0,0,False,False,True,pilot_pair_03,moderate_ice_preregistered,fcc18fb39ce1761169da401eeae778d01437c563587006eea476c5f97f6d391d,58b3071a02305e9ea39c75751a7a9c67c32afb648478888eb597c404f529b717,none,,False,False,False,True,,
positive_0p10_left_late_native_strong_ice,positive,0.1,left,late,native_strong_ice,202608404,3.0,3000,310a4e3450e07422c8f6039ca4df5ecaf53aa9834e761c9736b3c73f707bfc24,5d6b4b784e0bd36849aaecbc6c812dab0fc1aca0b56baf774f0ad2f7e83973b7,e8db233ba68753692a7ca9d542ffa00754cdd2d0c4f2c428ef2644dfc559214a,583162fac40a08a2b70d33e6b8652d03ce84ae8ca1d6dd2c083d8aa3372d77b3,36,1596,686,0.7970238095238097,218.86701118432512,0.05904809385538101,857,,left,False,False,,,,0,0,False,False,True,pilot_pair_04,native_strong_ice,3b58c3a9586de57d1e0adf797b6953d50abe711d46e6ba132d7e5f942053d1cc,58b3071a02305e9ea39c75751a7a9c67c32afb648478888eb597c404f529b717,late,294,True,False,False,True,,
control_0p10_left_late_native_strong_ice,control,0.1,left,late,hard_control,202608404,3.0,3000,310a4e3450e07422c8f6039ca4df5ecaf53aa9834e761c9736b3c73f707bfc24,5d6b4b784e0bd36849aaecbc6c812dab0fc1aca0b56baf774f0ad2f7e83973b7,e8db233ba68753692a7ca9d542ffa00754cdd2d0c4f2c428ef2644dfc559214a,f73c3e2b88910ae5fa5adaa404422bd174f52f9d918aedd05a0cf30511b49d8e,36,1607,0,1.0,111.12251446271932,0.0020235327538102865,,,none,False,False,,,,0,0,False,False,True,pilot_pair_04,native_strong_ice,3b58c3a9586de57d1e0adf797b6953d50abe711d46e6ba132d7e5f942053d1cc,58b3071a02305e9ea39c75751a7a9c67c32afb648478888eb597c404f529b717,none,,False,False,False,True,,
