run_id,role,target_foot,contacting_foot,start_sample,geom1_name,geom1_id,geom2_name,geom2_id,body1_name,body1_id,body2_name,body2_id,patch_inclusion,contact_position_first,contact_position_last,geom1_friction,geom2_friction,geom1_priority,geom2_priority,explicit_pair_id,effective_contact_friction_first,effective_contact_friction_last,contact_dimension,contact_exclude,efc_address_min,efc_address_max,integrator,mutation_point,constraints_constructed_at_mutation,tangential_contact_force_peak_n,end_sample_exclusive,observed_sample_count,tangential_contact_force_mean_n
positive_0p10_left_early_native_strong_ice,positive,left,right,48,right_foot_contact_4,37,base_lane_below,2,right_ankle_roll_link,13,world,0,False,"[0.09567601355601718, -0.14705862058940897, -0.0001853028446245908]","[0.09576435206209932, -0.14609771428628995, -4.3564635785184325e-05]","[1.0, 0.005, 0.0001]","[1.0, 0.005, 0.0001]",0,1,-1,"[1.0, 1.0, 0.005, 0.0001, 0.0001]","[1.0, 1.0, 0.005, 0.0001, 0.0001]",3,0,57,57,mjINT_EULER,model.pair_friction before mj_step,False,16.774597309853718,90,42,3.222299802883889
positive_0p10_left_early_native_strong_ice,positive,left,right,48,right_foot_contact_3,36,base_lane_below,2,right_ankle_roll_link,13,world,0,False,"[0.09587665796387046, -0.08705896539244146, -0.00020202159610044346]","[0.09594089713274934, -0.08606302324581272, -5.565609679109018e-05]","[1.0, 0.005, 0.0001]","[1.0, 0.005, 0.0001]",0,1,-1,"[1.0, 1.0, 0.005, 0.0001, 0.0001]","[1.0, 1.0, 0.005, 0.0001, 0.0001]",3,0,53,53,mjINT_EULER,model.pair_friction before mj_step,False,19.24219645919966,91,43,6.270785754439918
positive_0p10_left_early_native_strong_ice,positive,left,right,43,right_foot_contact_2,35,base_lane_below,2,right_ankle_roll_link,13,world,0,False,"[-0.07433155964704707, -0.14201760883129094, -6.8443767712284e-05]","[-0.07422386797707903, -0.14049084382192517, -1.953406280480463e-07]","[1.0, 0.005, 0.0001]","[1.0, 0.005, 0.0001]",0,1,-1,"[1.0, 1.0, 0.005, 0.0001, 0.0001]","[1.0, 1.0, 0.005, 0.0001, 0.0001]",3,0,49,49,mjINT_EULER,model.pair_friction before mj_step,False,28.283725807463455,92,49,5.89619185007364
positive_0p10_left_early_native_strong_ice,positive,left,right,43,right_foot_contact_1,34,base_lane_below,2,right_ankle_roll_link,13,world,0,False,"[-0.07418082666059989, -0.09201783616837972, -7.026200794679749e-05]","[-0.0740547125531057, -0.09042807356485483, -3.1052029946868065e-05]","[1.0, 0.005, 0.0001]","[1.0, 0.005, 0.0001]",0,1,-1,"[1.0, 1.0, 0.005, 0.0001, 0.0001]","[1.0, 1.0, 0.005, 0.0001, 0.0001]",3,0,45,45,mjINT_EULER,model.pair_friction before mj_step,False,112.86425966424687,93,50,18.196825211826944
positive_0p10_left_early_native_strong_ice,positive,left,left,38,left_foot_contact_1,19,slip_patch,4,left_ankle_roll_link,7,world,0,True,"[-0.07139121663855308, 0.14494315417984213, -8.524755745789592e-05]","[-0.07505005105048657, 0.16078964745086485, -3.1098785221964076e-05]","[1.0, 0.005, 0.0001]","[1.0, 0.005, 0.0001]",0,1,0,"[0.05, 0.05, 0.001, 1e-05, 1e-05]","[0.05, 0.05, 0.001, 1e-05, 1e-05]",3,0,29,29,mjINT_EULER,model.pair_friction before mj_step,False,21.390198580577746,96,58,5.416415172471437
positive_0p10_left_early_native_strong_ice,positive,left,left,36,left_foot_contact_3,21,slip_patch,4,left_ankle_roll_link,7,world,0,True,"[0.09810464780625938, 0.14648285940814748, -7.690662652791447e-05]","[0.09472874775442164, 0.15396245861036711, -8.20451116434473e-07]","[1.0, 0.005, 0.0001]","[1.0, 0.005, 0.0001]",0,1,2,"[0.05, 0.05, 0.001, 1e-05, 1e-05]","[0.05, 0.05, 0.001, 1e-05, 1e-05]",3,0,29,37,mjINT_EULER,model.pair_friction before mj_step,False,11.179773934981547,98,62,1.2892886654089841
positive_0p10_left_early_native_strong_ice,positive,left,left,38,left_foot_contact_2,20,slip_patch,4,left_ankle_roll_link,7,world,0,True,"[-0.07248377318984911, 0.09495533037287796, -8.125533815517283e-06]","[-0.07895526531179875, 0.1120236527173905, -7.2524838985177364e-06]","[1.0, 0.005, 0.0001]","[1.0, 0.005, 0.0001]",0,1,1,"[0.05, 0.05, 0.001, 1e-05, 1e-05]","[0.05, 0.05, 0.001, 1e-05, 1e-05]",3,0,29,33,mjINT_EULER,model.pair_friction before mj_step,False,18.83690132078884,98,60,8.806216176391883
positive_0p10_left_early_native_strong_ice,positive,left,left,37,left_foot_contact_4,22,slip_patch,4,left_ankle_roll_link,7,world,0,True,"[0.09716075268455004, 0.08636692543652506, -0.0002292979824139174]","[0.09002560499294077, 0.09500549478177421, -1.1491867971960557e-05]","[1.0, 0.005, 0.0001]","[1.0, 0.005, 0.0001]",0,1,3,"[0.05, 0.05, 0.001, 1e-05, 1e-05]","[0.05, 0.05, 0.001, 1e-05, 1e-05]",3,0,29,41,mjINT_EULER,model.pair_friction before mj_step,False,12.639632061683551,100,63,7.670957688770577
positive_0p10_left_early_native_strong_ice,positive,left,left,99,left_foot_contact_2,20,slip_patch,4,left_ankle_roll_link,7,world,0,True,"[-0.07907175697150148, 0.11320115821794838, -1.2973746094574468e-05]","[-0.07989617589946663, 0.12166102829287814, -5.918492275047704e-06]","[1.0, 0.005, 0.0001]","[1.0, 0.005, 0.0001]",0,1,1,"[0.05, 0.05, 0.001, 1e-05, 1e-05]","[0.05, 0.05, 0.001, 1e-05, 1e-05]",3,0,29,29,mjINT_EULER,model.pair_friction before mj_step,False,10.080350483249937,112,13,9.106823860142738
positive_0p10_left_early_native_strong_ice,positive,left,left,113,left_foot_contact_2,20,slip_patch,4,left_ankle_roll_link,7,world,0,True,"[-0.08001969189773794, 0.12328086598079022, -8.315599612576663e-06]","[-0.08028716344141129, 0.12673495992409475, -7.100079149779948e-06]","[1.0, 0.005, 0.0001]","[1.0, 0.005, 0.0001]",0,1,1,"[0.05, 0.05, 0.001, 1e-05, 1e-05]","[0.05, 0.05, 0.001, 1e-05, 1e-05]",3,0,29,29,mjINT_EULER,model.pair_friction before mj_step,False,9.440821882635761,118,5,9.388258499664019
positive_0p10_left_early_native_strong_ice,positive,left,left,119,left_foot_contact_2,20,slip_patch,4,left_ankle_roll_link,7,world,0,True,"[-0.08042535429198694, 0.1285460338017586, -1.0288718295253796e-06]","[-0.08042535429198694, 0.1285460338017586, -1.0288718295253796e-06]","[1.0, 0.005, 0.0001]","[1.0, 0.005, 0.0001]",0,1,1,"[0.05, 0.05, 0.001, 1e-05, 1e-05]","[0.05, 0.05, 0.001, 1e-05, 1e-05]",3,0,29,29,mjINT_EULER,model.pair_friction before mj_step,False,9.322270127659815,120,1,9.322270127659815
positive_0p10_left_early_native_strong_ice,positive,left,left,121,left_foot_contact_2,20,slip_patch,4,left_ankle_roll_link,7,world,0,True,"[-0.08053493115122734, 0.13042334142102474, -7.866893807037534e-06]","[-0.08071551720443593, 0.13335700053045346, -2.541726082411211e-06]","[1.0, 0.005, 0.0001]","[1.0, 0.005, 0.0001]",0,1,1,"[0.05, 0.05, 0.001, 1e-05, 1e-05]","[0.05, 0.05, 0.001, 1e-05, 1e-05]",3,0,29,29,mjINT_EULER,model.pair_friction before mj_step,False,8.277551471834725,125,4,8.079140372679436
positive_0p10_left_early_native_strong_ice,positive,left,left,126,left_foot_contact_2,20,slip_patch,4,left_ankle_roll_link,7,world,0,True,"[-0.08080472641043068, 0.1354085830425984, -1.1143035175714688e-05]","[-0.08102028957071639, 0.13974021707880893, -1.2909704212998863e-06]","[1.0, 0.005, 0.0001]","[1.0, 0.005, 0.0001]",0,1,1,"[0.05, 0.05, 0.001, 1e-05, 1e-05]","[0.05, 0.05, 0.001, 1e-05, 1e-05]",3,0,29,29,mjINT_EULER,model.pair_friction before mj_step,False,8.208582124446929,131,5,8.036898144690397
positive_0p10_left_early_native_strong_ice,positive,left,left,132,left_foot_contact_2,20,slip_patch,4,left_ankle_roll_link,7,world,0,True,"[-0.08108534173763904, 0.14201151081986668, -8.498303950971176e-06]","[-0.081225963397067, 0.14802078791756385, -9.152631229442099e-06]","[1.0, 0.005, 0.0001]","[1.0, 0.005, 0.0001]",0,1,1,"[0.05, 0.05, 0.001, 1e-05, 1e-05]","[0.05, 0.05, 0.001, 1e-05, 1e-05]",3,0,29,29,mjINT_EULER,model.pair_friction before mj_step,False,8.058196995123625,138,6,7.882356960294644
positive_0p10_left_early_native_strong_ice,positive,left,left,140,left_foot_contact_2,20,slip_patch,4,left_ankle_roll_link,7,world,0,True,"[-0.08127837237529101, 0.15184730242834066, -5.763658575880237e-06]","[-0.08135699656697826, 0.15579463606016886, -7.262616291109358e-06]","[1.0, 0.005, 0.0001]","[1.0, 0.005, 0.0001]",0,1,1,"[0.05, 0.05, 0.001, 1e-05, 1e-05]","[0.05, 0.05, 0.001, 1e-05, 1e-05]",3,0,29,29,mjINT_EULER,model.pair_friction before mj_step,False,3.1877086611818113,144,4,3.1762094816127875
positive_0p10_left_early_native_strong_ice,positive,left,left,101,left_foot_contact_4,22,slip_patch,4,left_ankle_roll_link,7,world,0,True,"[0.08992310898315259, 0.09595511266994043, -1.4363349532808822e-05]","[0.0863148897858127, 0.135421725850092, -8.46708144552899e-06]","[1.0, 0.005, 0.0001]","[1.0, 0.005, 0.0001]",0,1,3,"[0.05, 0.05, 0.001, 1e-05, 1e-05]","[0.05, 0.05, 0.001, 1e-05, 1e-05]",3,0,29,33,mjINT_EULER,model.pair_friction before mj_step,False,8.57328124613282,149,48,7.629473349625606
positive_0p10_left_early_native_strong_ice,positive,left,left,149,left_foot_contact_2,20,slip_patch,4,left_ankle_roll_link,7,world,0,True,"[-0.08158155301881265, 0.16401237120336853, -2.9079637945961245e-06]","[-0.08161474455044304, 0.16543030439159057, -2.6806133255480313e-06]","[1.0, 0.005, 0.0001]","[1.0, 0.005, 0.0001]",0,1,1,"[0.05, 0.05, 0.001, 1e-05, 1e-05]","[0.05, 0.05, 0.001, 1e-05, 1e-05]",3,0,29,29,mjINT_EULER,model.pair_friction before mj_step,False,3.7085084831200463,151,2,1.8542542415600232
positive_0p10_left_early_native_strong_ice,positive,left,left,153,left_foot_contact_2,20,slip_patch,4,left_ankle_roll_link,7,world,0,True,"[-0.08168763402779389, 0.16975276354604982, -2.2676596528603543e-06]","[-0.08168763402779389, 0.16975276354604982, -2.2676596528603543e-06]","[1.0, 0.005, 0.0001]","[1.0, 0.005, 0.0001]",0,1,1,"[0.05, 0.05, 0.001, 1e-05, 1e-05]","[0.05, 0.05, 0.001, 1e-05, 1e-05]",3,0,29,29,mjINT_EULER,model.pair_friction before mj_step,False,3.594816679890579,154,1,3.594816679890579
positive_0p10_left_early_native_strong_ice,positive,left,left,150,left_foot_contact_4,22,slip_patch,4,left_ankle_roll_link,7,world,0,True,"[0.08623434475829095, 0.13801346888783225, -1.2023905493152576e-05]","[0.08606598116727993, 0.14335394988527023, -1.3191599320172553e-05]","[1.0, 0.005, 0.0001]","[1.0, 0.005, 0.0001]",0,1,3,"[0.05, 0.05, 0.001, 1e-05, 1e-05]","[0.05, 0.05, 0.001, 1e-05, 1e-05]",3,0,29,33,mjINT_EULER,model.pair_friction before mj_step,False,7.734068464367245,155,5,7.120413058490428
positive_0p10_left_early_native_strong_ice,positive,left,left,156,left_foot_contact_4,22,slip_patch,4,left_ankle_roll_link,7,world,0,True,"[0.08599369211016883, 0.14610096689910343, -1.911466557634467e-05]","[0.08593778438767552, 0.1531473130968057, -3.859139403677991e-06]","[1.0, 0.005, 0.0001]","[1.0, 0.005, 0.0001]",0,1,3,"[0.05, 0.05, 0.001, 1e-05, 1e-05]","[0.05, 0.05, 0.001, 1e-05, 1e-05]",3,0,29,29,mjINT_EULER,model.pair_friction before mj_step,False,6.702778818555166,162,6,6.141377448034046
positive_0p10_left_early_native_strong_ice,positive,left,left,163,left_foot_contact_4,22,slip_patch,4,left_ankle_roll_link,7,world,0,True,"[0.08573455358106219, 0.15599672456003422, -3.210723454968867e-05]","[0.08450512029127732, 0.16580808427510788, -2.3343274368384237e-05]","[1.0, 0.005, 0.0001]","[1.0, 0.005, 0.0001]",0,1,3,"[0.05, 0.05, 0.001, 1e-05, 1e-05]","[0.05, 0.05, 0.001, 1e-05, 1e-05]",3,0,29,29,mjINT_EULER,model.pair_friction before mj_step,False,5.1593908695530555,171,8,5.099562668196608
