run_id,pair_id,role,fall_occurred,first_fall_sample,first_fall_time_s,fall_reason,post_fall_excluded_sample_count,failed_attempt_retained,silently_relabelled
positive_0p10_left_early_native_strong_ice,pilot_pair_00,positive,False,,,,0,True,False
control_0p10_left_early_native_strong_ice,pilot_pair_00,control,False,,,,0,True,False
positive_0p10_left_early_moderate_ice_preregistered,pilot_pair_01,positive,False,,,,0,True,False
control_0p10_left_early_moderate_ice_preregistered,pilot_pair_01,control,False,,,,0,True,False
positive_0p10_left_middle_native_strong_ice,pilot_pair_02,positive,False,,,,0,True,False
control_0p10_left_middle_native_strong_ice,pilot_pair_02,control,False,,,,0,True,False
positive_0p10_left_middle_moderate_ice_preregistered,pilot_pair_03,positive,False,,,,0,True,False
control_0p10_left_middle_moderate_ice_preregistered,pilot_pair_03,control,False,,,,0,True,False
positive_0p10_left_late_native_strong_ice,pilot_pair_04,positive,False,,,,0,True,False
control_0p10_left_late_native_strong_ice,pilot_pair_04,control,False,,,,0,True,False
positive_0p10_left_late_moderate_ice_preregistered,pilot_pair_05,positive,False,,,,0,True,False
control_0p10_left_late_moderate_ice_preregistered,pilot_pair_05,control,False,,,,0,True,False
positive_0p10_right_early_native_strong_ice,pilot_pair_06,positive,False,,,,0,True,False
control_0p10_right_early_native_strong_ice,pilot_pair_06,control,False,,,,0,True,False
positive_0p10_right_early_moderate_ice_preregistered,pilot_pair_07,positive,False,,,,0,True,False
control_0p10_right_early_moderate_ice_preregistered,pilot_pair_07,control,False,,,,0,True,False
positive_0p10_right_middle_native_strong_ice,pilot_pair_08,positive,False,,,,0,True,False
control_0p10_right_middle_native_strong_ice,pilot_pair_08,control,False,,,,0,True,False
positive_0p10_right_middle_moderate_ice_preregistered,pilot_pair_09,positive,False,,,,0,True,False
control_0p10_right_middle_moderate_ice_preregistered,pilot_pair_09,control,False,,,,0,True,False
positive_0p10_right_late_native_strong_ice,pilot_pair_10,positive,False,,,,0,True,False
control_0p10_right_late_native_strong_ice,pilot_pair_10,control,False,,,,0,True,False
positive_0p10_right_late_moderate_ice_preregistered,pilot_pair_11,positive,False,,,,0,True,False
control_0p10_right_late_moderate_ice_preregistered,pilot_pair_11,control,False,,,,0,True,False
positive_0p20_left_early_native_strong_ice,pilot_pair_12,positive,False,,,,0,True,False
control_0p20_left_early_native_strong_ice,pilot_pair_12,control,False,,,,0,True,False
positive_0p20_left_early_moderate_ice_preregistered,pilot_pair_13,positive,False,,,,0,True,False
control_0p20_left_early_moderate_ice_preregistered,pilot_pair_13,control,False,,,,0,True,False
positive_0p20_left_middle_native_strong_ice,pilot_pair_14,positive,False,,,,0,True,False
control_0p20_left_middle_native_strong_ice,pilot_pair_14,control,False,,,,0,True,False
positive_0p20_left_middle_moderate_ice_preregistered,pilot_pair_15,positive,False,,,,0,True,False
control_0p20_left_middle_moderate_ice_preregistered,pilot_pair_15,control,False,,,,0,True,False
positive_0p20_left_late_native_strong_ice,pilot_pair_16,positive,False,,,,0,True,False
control_0p20_left_late_native_strong_ice,pilot_pair_16,control,False,,,,0,True,False
positive_0p20_left_late_moderate_ice_preregistered,pilot_pair_17,positive,False,,,,0,True,False
control_0p20_left_late_moderate_ice_preregistered,pilot_pair_17,control,False,,,,0,True,False
positive_0p20_right_early_native_strong_ice,pilot_pair_18,positive,False,,,,0,True,False
control_0p20_right_early_native_strong_ice,pilot_pair_18,control,False,,,,0,True,False
positive_0p20_right_early_moderate_ice_preregistered,pilot_pair_19,positive,False,,,,0,True,False
control_0p20_right_early_moderate_ice_preregistered,pilot_pair_19,control,False,,,,0,True,False
positive_0p20_right_middle_native_strong_ice,pilot_pair_20,positive,False,,,,0,True,False
control_0p20_right_middle_native_strong_ice,pilot_pair_20,control,False,,,,0,True,False
positive_0p20_right_middle_moderate_ice_preregistered,pilot_pair_21,positive,False,,,,0,True,False
control_0p20_right_middle_moderate_ice_preregistered,pilot_pair_21,control,False,,,,0,True,False
positive_0p20_right_late_native_strong_ice,pilot_pair_22,positive,False,,,,0,True,False
control_0p20_right_late_native_strong_ice,pilot_pair_22,control,False,,,,0,True,False
positive_0p20_right_late_moderate_ice_preregistered,pilot_pair_23,positive,False,,,,0,True,False
control_0p20_right_late_moderate_ice_preregistered,pilot_pair_23,control,False,,,,0,True,False
