pair_id,positive_run_id,control_run_id,configuration_parity,collision_geometry_identical,top_height_identical,first_patch_contact_sample,precontact_trace_parity,postcontact_trace_divergence,positive_control_full_trace_identical,positive_effective_friction,control_effective_friction,effective_friction_differs,tangential_force_differs,patch_base_double_contact_count
pilot_pair_00,positive_0p10_left_early_native_strong_ice,control_0p10_left_early_native_strong_ice,True,True,True,36,True,True,False,0.049999999999999996,1.0,True,True,116
pilot_pair_01,positive_0p10_left_early_moderate_ice_preregistered,control_0p10_left_early_moderate_ice_preregistered,True,True,True,36,True,True,False,0.09999999999999999,1.0,True,True,1
pilot_pair_02,positive_0p10_left_middle_native_strong_ice,control_0p10_left_middle_native_strong_ice,True,True,True,36,True,True,False,0.48754693366708396,1.0,True,True,215
pilot_pair_03,positive_0p10_left_middle_moderate_ice_preregistered,control_0p10_left_middle_moderate_ice_preregistered,True,True,True,36,True,True,False,0.5404135338345865,1.0,True,True,430
pilot_pair_04,positive_0p10_left_late_native_strong_ice,control_0p10_left_late_native_strong_ice,True,True,True,36,True,True,False,0.7386148007590133,1.0,True,True,69
pilot_pair_05,positive_0p10_left_late_moderate_ice_preregistered,control_0p10_left_late_moderate_ice_preregistered,True,True,True,36,True,True,False,0.7231210191082802,1.0,True,True,42
pilot_pair_06,positive_0p10_right_early_native_strong_ice,control_0p10_right_early_native_strong_ice,True,True,True,43,True,True,False,0.05000000000000001,1.0,True,True,0
pilot_pair_07,positive_0p10_right_early_moderate_ice_preregistered,control_0p10_right_early_moderate_ice_preregistered,True,True,True,43,True,True,False,0.1,1.0,True,True,0
pilot_pair_08,positive_0p10_right_middle_native_strong_ice,control_0p10_right_middle_native_strong_ice,True,True,True,43,True,True,False,0.44446366782006924,1.0,True,True,547
pilot_pair_09,positive_0p10_right_middle_moderate_ice_preregistered,control_0p10_right_middle_moderate_ice_preregistered,True,True,True,43,True,True,False,0.4362750716332378,1.0,True,True,151
pilot_pair_10,positive_0p10_right_late_native_strong_ice,control_0p10_right_late_native_strong_ice,True,True,True,43,True,True,False,0.6237891737891738,1.0,True,False,156
pilot_pair_11,positive_0p10_right_late_moderate_ice_preregistered,control_0p10_right_late_moderate_ice_preregistered,True,True,True,43,True,True,False,0.6733333333333332,1.0,True,False,33
pilot_pair_12,positive_0p20_left_early_native_strong_ice,control_0p20_left_early_native_strong_ice,True,True,True,36,True,True,False,0.049999999999999996,1.0,True,True,264
pilot_pair_13,positive_0p20_left_early_moderate_ice_preregistered,control_0p20_left_early_moderate_ice_preregistered,True,True,True,36,True,True,False,0.10000000000000002,1.0,True,True,122
pilot_pair_14,positive_0p20_left_middle_native_strong_ice,control_0p20_left_middle_native_strong_ice,True,True,True,36,True,True,False,0.4471260613977793,1.0,True,True,51
pilot_pair_15,positive_0p20_left_middle_moderate_ice_preregistered,control_0p20_left_middle_moderate_ice_preregistered,True,True,True,36,True,True,False,0.47653061224489784,1.0,True,True,48
pilot_pair_16,positive_0p20_left_late_native_strong_ice,control_0p20_left_late_native_strong_ice,True,True,True,36,True,True,False,0.7867845659163988,1.0,True,True,0
pilot_pair_17,positive_0p20_left_late_moderate_ice_preregistered,control_0p20_left_late_moderate_ice_preregistered,True,True,True,36,True,True,False,0.745944192083063,1.0,True,True,57
pilot_pair_18,positive_0p20_right_early_native_strong_ice,control_0p20_right_early_native_strong_ice,True,True,True,42,True,True,False,0.05000000000000001,1.0,True,True,0
pilot_pair_19,positive_0p20_right_early_moderate_ice_preregistered,control_0p20_right_early_moderate_ice_preregistered,True,True,True,42,True,True,False,0.09999999999999999,1.0,True,True,1
pilot_pair_20,positive_0p20_right_middle_native_strong_ice,control_0p20_right_middle_native_strong_ice,True,True,True,42,True,True,False,0.3801994301994302,1.0,True,True,185
pilot_pair_21,positive_0p20_right_middle_moderate_ice_preregistered,control_0p20_right_middle_moderate_ice_preregistered,True,True,True,42,True,True,False,0.43743560389238695,1.0,True,True,58
pilot_pair_22,positive_0p20_right_late_native_strong_ice,control_0p20_right_late_native_strong_ice,True,True,True,42,True,True,False,0.719379624359704,1.0,True,True,284
pilot_pair_23,positive_0p20_right_late_moderate_ice_preregistered,control_0p20_right_late_moderate_ice_preregistered,True,True,True,42,True,True,False,0.72544109277177,1.0,True,False,72
