run_id,pair_id,role,target_foot,foot,contact_episode_id,episode_start_sample,episode_end_sample_exclusive,physical_onset_sample,maximum_anchor_drift_m,pre_fall_valid_sample_count,air_event_counted,post_fall_event_counted
positive_0p10_left_early_native_strong_ice,pilot_pair_00,positive,left,left,0,36,155,143,0.06659159064292908,119,False,False
positive_0p10_left_early_native_strong_ice,pilot_pair_00,positive,left,left,1,156,162,,0.006743466015905142,6,False,False
positive_0p10_left_early_native_strong_ice,pilot_pair_00,positive,left,left,2,163,171,,0.009032017551362514,8,False,False
positive_0p10_left_early_native_strong_ice,pilot_pair_00,positive,left,left,3,172,173,,0.0,1,False,False
positive_0p10_left_early_native_strong_ice,pilot_pair_00,positive,left,left,4,174,179,,0.0046539222821593285,5,False,False
positive_0p10_left_early_native_strong_ice,pilot_pair_00,positive,left,left,5,180,181,,0.0,1,False,False
positive_0p10_left_early_native_strong_ice,pilot_pair_00,positive,left,left,6,520,844,602,0.09033136814832687,324,False,False
positive_0p10_left_early_native_strong_ice,pilot_pair_00,positive,left,left,7,1115,1481,,0.00748039223253727,366,False,False
positive_0p10_left_early_native_strong_ice,pilot_pair_00,positive,left,left,8,1758,2105,,0.0013880729675292969,347,False,False
positive_0p10_left_early_native_strong_ice,pilot_pair_00,positive,left,left,9,2354,2686,,0.0013562761014327407,332,False,False
positive_0p10_left_early_native_strong_ice,pilot_pair_00,positive,left,left,10,2950,3000,,0.0020346702076494694,50,False,False
positive_0p10_left_early_native_strong_ice,pilot_pair_00,positive,left,right,0,43,93,,0.0017130207270383835,50,False,False
positive_0p10_left_early_native_strong_ice,pilot_pair_00,positive,left,right,1,148,545,,0.006694385316222906,397,False,False
positive_0p10_left_early_native_strong_ice,pilot_pair_00,positive,left,right,2,803,1138,,0.008393985219299793,335,False,False
positive_0p10_left_early_native_strong_ice,pilot_pair_00,positive,left,right,3,1450,1804,,0.0036238839384168386,354,False,False
positive_0p10_left_early_native_strong_ice,pilot_pair_00,positive,left,right,4,2058,2395,,0.0038893967866897583,337,False,False
positive_0p10_left_early_native_strong_ice,pilot_pair_00,positive,left,right,5,2398,2402,,0.0002476533700246364,4,False,False
positive_0p10_left_early_native_strong_ice,pilot_pair_00,positive,left,right,6,2652,2985,,0.004793819505721331,333,False,False
control_0p10_left_early_native_strong_ice,pilot_pair_00,control,left,left,0,36,243,,0.0013797072460874915,207,False,False
control_0p10_left_early_native_strong_ice,pilot_pair_00,control,left,left,1,563,908,,0.0020239155273884535,345,False,False
control_0p10_left_early_native_strong_ice,pilot_pair_00,control,left,left,2,1152,1489,,0.0015459740534424782,337,False,False
control_0p10_left_early_native_strong_ice,pilot_pair_00,control,left,left,3,1755,2087,,0.0017944262363016605,332,False,False
control_0p10_left_early_native_strong_ice,pilot_pair_00,control,left,left,4,2351,2687,,0.0017445178236812353,336,False,False
control_0p10_left_early_native_strong_ice,pilot_pair_00,control,left,left,5,2950,3000,,0.0017593411030247808,50,False,False
control_0p10_left_early_native_strong_ice,pilot_pair_00,control,left,right,0,43,89,,0.0019447914091870189,46,False,False
control_0p10_left_early_native_strong_ice,pilot_pair_00,control,left,right,1,199,604,,0.006405182182788849,405,False,False
control_0p10_left_early_native_strong_ice,pilot_pair_00,control,left,right,2,856,1202,,0.0039167581126093864,346,False,False
control_0p10_left_early_native_strong_ice,pilot_pair_00,control,left,right,3,1454,1791,,0.0048125688917934895,337,False,False
control_0p10_left_early_native_strong_ice,pilot_pair_00,control,left,right,4,2050,2386,,0.004721704870462418,336,False,False
control_0p10_left_early_native_strong_ice,pilot_pair_00,control,left,right,5,2650,2985,,0.004997003823518753,335,False,False
positive_0p10_left_early_moderate_ice_preregistered,pilot_pair_01,positive,left,left,0,36,182,,0.039326611906290054,146,False,False
positive_0p10_left_early_moderate_ice_preregistered,pilot_pair_01,positive,left,left,1,183,187,,0.002517466200515628,4,False,False
positive_0p10_left_early_moderate_ice_preregistered,pilot_pair_01,positive,left,left,2,188,206,,0.013980367220938206,18,False,False
positive_0p10_left_early_moderate_ice_preregistered,pilot_pair_01,positive,left,left,3,543,614,,0.0276007242500782,71,False,False
positive_0p10_left_early_moderate_ice_preregistered,pilot_pair_01,positive,left,left,4,615,653,,0.03211284801363945,38,False,False
positive_0p10_left_early_moderate_ice_preregistered,pilot_pair_01,positive,left,left,5,654,668,,0.014011595398187637,14,False,False
positive_0p10_left_early_moderate_ice_preregistered,pilot_pair_01,positive,left,left,6,669,691,,0.02728581614792347,22,False,False
positive_0p10_left_early_moderate_ice_preregistered,pilot_pair_01,positive,left,left,7,692,700,,0.010307560674846172,8,False,False
positive_0p10_left_early_moderate_ice_preregistered,pilot_pair_01,positive,left,left,8,701,807,,0.019087301567196846,106,False,False
positive_0p10_left_early_moderate_ice_preregistered,pilot_pair_01,positive,left,left,9,1076,1525,,0.014123402535915375,449,False,False
positive_0p10_left_early_moderate_ice_preregistered,pilot_pair_01,positive,left,left,10,1768,2087,,0.002896064892411232,319,False,False
positive_0p10_left_early_moderate_ice_preregistered,pilot_pair_01,positive,left,left,11,2341,2685,,0.0021210734266787767,344,False,False
positive_0p10_left_early_moderate_ice_preregistered,pilot_pair_01,positive,left,left,12,2949,3000,,0.0018496057018637657,51,False,False
positive_0p10_left_early_moderate_ice_preregistered,pilot_pair_01,positive,left,right,0,43,89,,0.0018825248116627336,46,False,False
positive_0p10_left_early_moderate_ice_preregistered,pilot_pair_01,positive,left,right,1,180,567,,0.006974764168262482,387,False,False
positive_0p10_left_early_moderate_ice_preregistered,pilot_pair_01,positive,left,right,2,749,1091,,0.007596168201416731,342,False,False
positive_0p10_left_early_moderate_ice_preregistered,pilot_pair_01,positive,left,right,3,1093,1097,,0.0005959504633210599,4,False,False
positive_0p10_left_early_moderate_ice_preregistered,pilot_pair_01,positive,left,right,4,1099,1100,,0.0,1,False,False
positive_0p10_left_early_moderate_ice_preregistered,pilot_pair_01,positive,left,right,5,1478,1807,,0.006870416924357414,329,False,False
positive_0p10_left_early_moderate_ice_preregistered,pilot_pair_01,positive,left,right,6,2045,2383,,0.005302732344716787,338,False,False
positive_0p10_left_early_moderate_ice_preregistered,pilot_pair_01,positive,left,right,7,2648,2985,,0.005024129990488291,337,False,False
control_0p10_left_early_moderate_ice_preregistered,pilot_pair_01,control,left,left,0,36,243,,0.0013760118745267391,207,False,False
control_0p10_left_early_moderate_ice_preregistered,pilot_pair_01,control,left,left,1,563,908,,0.0020226489286869764,345,False,False
