run_id,role,target_foot,contacting_foot,start_sample,geom1_name,geom1_id,geom2_name,geom2_id,body1_name,body1_id,body2_name,body2_id,patch_inclusion,contact_position_first,contact_position_last,geom1_friction,geom2_friction,geom1_priority,geom2_priority,explicit_pair_id,effective_contact_friction_first,effective_contact_friction_last,contact_dimension,contact_exclude,efc_address_min,efc_address_max,integrator,mutation_point,constraints_constructed_at_mutation,tangential_contact_force_peak_n,end_sample_exclusive,observed_sample_count,tangential_contact_force_mean_n
whole_hard_control,reference,left,right,49,right_foot_contact_4,34,ground_target,1,right_ankle_roll_link,13,world,0,False,"[0.09428007989424181, -0.14751807882005963, -7.769119113758272e-05]","[0.09474506808031746, -0.1460728887706269, -8.485101985966637e-05]","[1.0, 0.005, 0.0001]","[1.0, 0.005, 0.0001]",0,1,-1,"[1.0, 1.0, 0.005, 0.0001, 0.0001]","[1.0, 1.0, 0.005, 0.0001, 0.0001]",3,0,57,57,mjINT_EULER,model geom profile before mj_forward,False,14.8071094567943,86,37,3.07699046705183
whole_hard_control,reference,left,right,49,right_foot_contact_3,33,ground_target,1,right_ankle_roll_link,13,world,0,False,"[0.09453949623733804, -0.08751867753705948, -0.0001114137446026342]","[0.09471414249461585, -0.08590891500095968, -4.840596772412442e-05]","[1.0, 0.005, 0.0001]","[1.0, 0.005, 0.0001]",0,1,-1,"[1.0, 1.0, 0.005, 0.0001, 0.0001]","[1.0, 1.0, 0.005, 0.0001, 0.0001]",3,0,53,53,mjINT_EULER,model geom profile before mj_forward,False,16.482276501878243,88,39,6.743872181798802
whole_hard_control,reference,left,right,42,right_foot_contact_2,32,ground_source,0,right_ankle_roll_link,13,world,0,False,"[-0.07584975659603543, -0.14238585015453212, -9.785916823884522e-05]","[-0.07526532842654854, -0.14097225624689266, -3.9194668767228436e-06]","[1.0, 0.005, 0.0001]","[1.0, 0.005, 0.0001]",0,1,-1,"[1.0, 1.0, 0.005, 0.0001, 0.0001]","[1.0, 1.0, 0.005, 0.0001, 0.0001]",3,0,49,49,mjINT_EULER,model geom profile before mj_forward,False,30.691743318470483,88,46,7.52141337422105
whole_hard_control,reference,left,right,42,right_foot_contact_1,31,ground_source,0,right_ankle_roll_link,13,world,0,False,"[-0.07564238450336624, -0.09238628556442491, -8.626590647357879e-05]","[-0.07529479918387416, -0.09090625722277762, -5.728545222469239e-05]","[1.0, 0.005, 0.0001]","[1.0, 0.005, 0.0001]",0,1,-1,"[1.0, 1.0, 0.005, 0.0001, 0.0001]","[1.0, 1.0, 0.005, 0.0001, 0.0001]",3,0,45,45,mjINT_EULER,model geom profile before mj_forward,False,112.0699538117721,89,47,22.190263564193536
whole_hard_control,reference,left,left,40,left_foot_contact_3,18,ground_target,1,left_ankle_roll_link,7,world,0,False,"[0.09799881841744984, 0.14547685165310142, -0.00016546486298557594]","[0.09928782352656684, 0.1446366305626368, -3.898237266805604e-06]","[1.0, 0.005, 0.0001]","[1.0, 0.005, 0.0001]",0,1,-1,"[1.0, 1.0, 0.005, 0.0001, 0.0001]","[1.0, 1.0, 0.005, 0.0001, 0.0001]",3,0,37,37,mjINT_EULER,model geom profile before mj_forward,False,23.429961421654415,125,85,2.3582470153586534
whole_hard_control,reference,left,left,36,left_foot_contact_1,16,ground_source,0,left_ankle_roll_link,7,world,0,False,"[-0.07303303643323256, 0.1441894709347928, -2.83301426590582e-05]","[-0.07095757908861611, 0.1455630805911672, -7.775967188844435e-06]","[1.0, 0.005, 0.0001]","[1.0, 0.005, 0.0001]",0,1,-1,"[1.0, 1.0, 0.005, 0.0001, 0.0001]","[1.0, 1.0, 0.005, 0.0001, 0.0001]",3,0,29,29,mjINT_EULER,model geom profile before mj_forward,False,77.55634111664384,221,185,13.950479159785287
whole_hard_control,reference,left,left,40,left_foot_contact_4,19,ground_target,1,left_ankle_roll_link,7,world,0,False,"[0.09655240491883621, 0.08549484619215335, -3.6131114670434616e-05]","[0.0972455668616874, 0.08470162163366673, -2.748785891432126e-06]","[1.0, 0.005, 0.0001]","[1.0, 0.005, 0.0001]",0,1,-1,"[1.0, 1.0, 0.005, 0.0001, 0.0001]","[1.0, 1.0, 0.005, 0.0001, 0.0001]",3,0,33,41,mjINT_EULER,model geom profile before mj_forward,False,25.21193716816195,239,199,11.309581702233723
whole_hard_control,reference,left,left,37,left_foot_contact_2,17,ground_source,0,left_ankle_roll_link,7,world,0,False,"[-0.0737606516373126, 0.0943181104649034, -0.0001771367520916889]","[-0.0724432711970282, 0.09522186976149463, -3.980743330536662e-06]","[1.0, 0.005, 0.0001]","[1.0, 0.005, 0.0001]",0,1,-1,"[1.0, 1.0, 0.005, 0.0001, 0.0001]","[1.0, 1.0, 0.005, 0.0001, 0.0001]",3,0,29,33,mjINT_EULER,model geom profile before mj_forward,False,114.30107616269927,241,204,21.016958988210856
whole_hard_control,reference,left,right,199,right_foot_contact_1,31,ground_source,0,right_ankle_roll_link,13,world,0,False,"[-0.048393852266523485, -0.09435089331810621, -7.559026910555766e-05]","[-0.04471519659289669, -0.09658407539763622, -2.2484321113153127e-06]","[1.0, 0.005, 0.0001]","[1.0, 0.005, 0.0001]",0,1,-1,"[1.0, 1.0, 0.005, 0.0001, 0.0001]","[1.0, 1.0, 0.005, 0.0001, 0.0001]",3,0,29,41,mjINT_EULER,model geom profile before mj_forward,False,28.301483470960495,582,383,9.33373000523737
whole_hard_control,reference,left,right,196,right_foot_contact_2,32,ground_source,0,right_ankle_roll_link,13,world,0,False,"[-0.050867136628205856, -0.14374538102783663, -2.5842988967558767e-05]","[-0.04630253762204495, -0.1465307483688908, -1.9836892989261168e-05]","[1.0, 0.005, 0.0001]","[1.0, 0.005, 0.0001]",0,1,-1,"[1.0, 1.0, 0.005, 0.0001, 0.0001]","[1.0, 1.0, 0.005, 0.0001, 0.0001]",3,0,33,45,mjINT_EULER,model geom profile before mj_forward,False,49.238726872808606,585,389,13.238422847956958
