speed_mps,target_foot,target_phase,severity,v5_source_valid_count,v6_supplemental_source_valid_count,combined_source_valid_count,has_valid_support
0.1,left,early_loading,native_strong_ice,3,0,3,True
0.1,left,early_loading,moderate_ice_preregistered,3,0,3,True
0.1,left,mid_loading_early_stance,native_strong_ice,3,0,3,True
0.1,left,mid_loading_early_stance,moderate_ice_preregistered,3,0,3,True
0.1,left,mid_late_stance,native_strong_ice,3,0,3,True
0.1,left,mid_late_stance,moderate_ice_preregistered,0,0,0,False
0.1,right,early_loading,native_strong_ice,3,0,3,True
0.1,right,early_loading,moderate_ice_preregistered,1,0,1,True
0.1,right,mid_loading_early_stance,native_strong_ice,3,0,3,True
0.1,right,mid_loading_early_stance,moderate_ice_preregistered,3,0,3,True
0.1,right,mid_late_stance,native_strong_ice,2,0,2,True
0.1,right,mid_late_stance,moderate_ice_preregistered,2,0,2,True
0.15,left,early_loading,native_strong_ice,2,0,2,True
0.15,left,early_loading,moderate_ice_preregistered,3,0,3,True
0.15,left,mid_loading_early_stance,native_strong_ice,3,0,3,True
0.15,left,mid_loading_early_stance,moderate_ice_preregistered,3,0,3,True
0.15,left,mid_late_stance,native_strong_ice,2,0,2,True
0.15,left,mid_late_stance,moderate_ice_preregistered,0,0,0,False
0.15,right,early_loading,native_strong_ice,3,0,3,True
0.15,right,early_loading,moderate_ice_preregistered,2,0,2,True
0.15,right,mid_loading_early_stance,native_strong_ice,3,0,3,True
0.15,right,mid_loading_early_stance,moderate_ice_preregistered,3,0,3,True
0.15,right,mid_late_stance,native_strong_ice,2,0,2,True
0.15,right,mid_late_stance,moderate_ice_preregistered,2,0,2,True
0.2,left,early_loading,native_strong_ice,2,0,2,True
0.2,left,early_loading,moderate_ice_preregistered,3,0,3,True
0.2,left,mid_loading_early_stance,native_strong_ice,3,0,3,True
0.2,left,mid_loading_early_stance,moderate_ice_preregistered,3,0,3,True
0.2,left,mid_late_stance,native_strong_ice,2,0,2,True
0.2,left,mid_late_stance,moderate_ice_preregistered,0,0,0,False
0.2,right,early_loading,native_strong_ice,3,0,3,True
0.2,right,early_loading,moderate_ice_preregistered,1,0,1,True
0.2,right,mid_loading_early_stance,native_strong_ice,3,0,3,True
0.2,right,mid_loading_early_stance,moderate_ice_preregistered,3,0,3,True
0.2,right,mid_late_stance,native_strong_ice,3,0,3,True
0.2,right,mid_late_stance,moderate_ice_preregistered,1,0,1,True
