comparison_group,run_id,pair_id,speed_mps,target_foot,target_phase,severity,variation_index,source_valid,failure_reason,diagnostic_episode_id,touchdown_timestamp_s,first_patch_contact_timestamp_s,patch_contact_duration_ms,remaining_stance_after_patch_entry_ms,low_friction_active_duration_ms,normal_contact_force_mean_n,normal_contact_force_peak_n,tangential_contact_force_mean_n,tangential_contact_force_peak_n,friction_cone_utilization_mean,friction_cone_utilization_peak,anchor_drift_rate_mps,maximum_anchor_drift_m,target_foot_velocity_mean_mps,target_foot_velocity_peak_mps,contralateral_support_load_mean_n,patch_entry_position_xyz,patch_exit_position_xyz,physical_onset_margin_m,estimated_onset_after_contact_loss_ms,fall_occurred,first_fall_censor_boundary,model_score_used
D_PHASE_COUNTERFACTUAL_LEFT_MODERATE,positive_0p10_left_early_loading_moderate_ice_preregistered_v0,v5_pair_003,0.1,left,early_loading,moderate_ice_preregistered,0,True,,83,2.079999999999862,2.079999999999862,99,99,99,442.48327192350956,899.4073147388531,44.21115118509156,89.94073147388531,0.9991421957235609,1.0000000000000002,2.0118142393502323,0.08851982653141022,2.0824267864227295,2.468902111053467,89.38504028320312,"[0.35416269302368164, 0.800466001033783, 0.05321068689227104]","[0.5555456280708313, 0.8326032757759094, -0.09586898237466812]",0.038519826531410215,0.0,True,2123,False
D_PHASE_COUNTERFACTUAL_LEFT_MODERATE,positive_0p10_left_early_loading_moderate_ice_preregistered_v1,v5_pair_004,0.1,left,early_loading,moderate_ice_preregistered,1,True,,19,0.8909999999999573,0.8909999999999573,73,73,73,321.49367355947345,485.0802697678276,31.133918675426163,44.278978349396304,0.9761968821854503,1.0000000000000002,1.4599758672387633,0.10657823830842972,1.4320646524429321,1.539778232574463,0.0,"[0.11408178508281708, 0.4230137765407562, 0.03498717024922371]","[0.18434879183769226, 0.5031478404998779, 0.035065993666648865]",0.056578238308429715,0.0,True,2248,False
D_PHASE_COUNTERFACTUAL_LEFT_MODERATE,positive_0p10_left_early_loading_moderate_ice_preregistered_v2,v5_pair_005,0.1,left,early_loading,moderate_ice_preregistered,2,True,,68,1.647999999999874,1.647999999999874,248,248,248,323.9548910420563,573.8950768206793,28.712421858572586,57.291599962158195,0.8896340962806055,1.0000000000000002,0.38803954638781085,0.0962338075041771,0.44228264689445496,0.7459254860877991,57.17612075805664,"[0.18031111359596252, 0.7286290526390076, 0.04129985347390175]","[0.24035662412643433, 0.8038319945335388, 0.033768367022275925]",0.04623380750417709,0.0,True,2296,False
D_PHASE_COUNTERFACTUAL_LEFT_MODERATE,positive_0p10_left_mid_loading_early_stance_moderate_ice_preregistered_v0,v5_pair_009,0.1,left,mid_loading_early_stance,moderate_ice_preregistered,0,True,,8,2.3129999999999398,2.3129999999999398,193,193,123,289.9043567354005,399.0646937012447,28.616681708053893,39.906469370124476,0.9890559325929874,1.0000000000000002,0.3880819045200249,0.07489980757236481,0.5547829866409302,1.019963026046753,0.0,"[0.17975734174251556, 0.2696535587310791, 0.03611380606889725]","[0.2173529863357544, 0.3344343304634094, 0.03549220412969589]",0.024899807572364804,0.0,False,,False
D_PHASE_COUNTERFACTUAL_LEFT_MODERATE,positive_0p10_left_mid_loading_early_stance_moderate_ice_preregistered_v1,v5_pair_010,0.1,left,mid_loading_early_stance,moderate_ice_preregistered,1,True,,8,1.5059999999998896,1.5059999999998896,275,275,135,296.6256332155111,385.6023029195527,29.254993685919786,38.560230291955264,0.9854158743369378,1.0000000000000002,0.30717066743157123,0.0844719335436821,0.5018354654312134,0.975694477558136,0.0,"[0.13371548056602478, 0.28702953457832336, 0.03627995401620865]","[0.17394936084747314, 0.36130431294441223, 0.03559187799692154]",0.034471933543682096,0.0,False,,False
D_PHASE_COUNTERFACTUAL_LEFT_MODERATE,positive_0p10_left_mid_loading_early_stance_moderate_ice_preregistered_v2,v5_pair_011,0.1,left,mid_loading_early_stance,moderate_ice_preregistered,2,True,,0,0.04500000000000003,0.04500000000000003,307,307,167,297.2949662551571,403.3321436473834,28.90510819636704,39.650114015459664,0.9676730216098124,1.0000000000000002,0.17464185671948912,0.05256719887256622,0.2740587294101715,0.801550567150116,55.758243560791016,"[-0.025675147771835327, 0.1160183697938919, 0.035741571336984634]","[-0.04212012141942978, 0.16580653190612793, 0.03576517105102539]",0.0025671988725662204,0.0,False,,False
C_SEVERITY_COUNTERFACTUAL_LEFT_STRONG,positive_0p10_left_mid_late_stance_native_strong_ice_v0,v5_pair_012,0.1,left,mid_late_stance,native_strong_ice,0,True,,9,2.316999999999941,2.316999999999941,275,275,85,288.09772456608573,362.1046751263359,14.404886228304285,18.105233756316796,1.0,1.0000000000000002,0.25413995439356024,0.06988848745822906,0.7532304525375366,1.5031871795654297,0.0,"[0.1456902176141739, 0.36141714453697205, 0.036330610513687134]","[0.1599561721086502, 0.42983412742614746, 0.03733498603105545]",0.019888487458229062,0.0,False,,False
C_SEVERITY_COUNTERFACTUAL_LEFT_STRONG,positive_0p10_left_mid_late_stance_native_strong_ice_v1,v5_pair_013,0.1,left,mid_late_stance,native_strong_ice,1,True,,4,1.5179999999998883,1.5179999999998883,284,284,83,286.11470615522353,355.189186877596,14.305735307761177,17.759459343879804,1.0,1.0000000000000002,0.2717012670678152,0.07716315984725952,0.7241396307945251,1.432915449142456,0.0,"[0.12341761589050293, 0.3393634259700775, 0.035838473588228226]","[0.137203186750412, 0.4152851700782776, 0.0379200354218483]",0.02716315984725952,0.0,False,,False
C_SEVERITY_COUNTERFACTUAL_LEFT_STRONG,positive_0p10_left_mid_late_stance_native_strong_ice_v2,v5_pair_014,0.1,left,mid_late_stance,native_strong_ice,2,True,,4,1.266999999999916,1.266999999999916,346,346,72,309.29958686144744,358.7616837158724,15.464979343072372,17.938084185793617,1.0,1.0000000000000002,0.18262327863619876,0.0593525655567646,0.5509992241859436,1.1005624532699585,0.0,"[0.07588193565607071, 0.17733734846115112, 0.036263640969991684]","[0.08846922218799591, 0.2342647761106491, 0.03610770031809807]",0.0093525655567646,0.0,False,,False
A_FAILED_LEFT_MID_LATE_MODERATE,positive_0p10_left_mid_late_stance_moderate_ice_preregistered_v0,v5_pair_015,0.1,left,mid_late_stance,moderate_ice_preregistered,0,False,NO_PHYSICAL_ONSET,5,2.336999999999948,2.336999999999948,333,333,99,287.01188727027915,348.895073205778,28.65527840432018,34.8895073205778,0.9983802233610571,1.0000000000000002,0.09894498756953649,0.03116767108440399,0.24805215001106262,0.47896942496299744,0.0,"[0.13499681651592255, 0.19381017982959747, 0.037217170000076294]","[0.1314799040555954, 0.2237846553325653, 0.03581855818629265]",-0.01883232891559601,172.33130811564396,False,,False
