run_id,pair_id,role,timestamp_s,start_sample,foot,sole_geom_name,sole_geom_id,patch_geom_name,patch_geom_id,contact_position_first_xyz,contact_position_last_xyz,patch_inclusion,explicit_pair_id,effective_friction_first,effective_friction_last,effective_sliding_friction_min,effective_sliding_friction_max,contact_dimension,exclude_state,efc_address_min,efc_address_max,normal_contact_force_peak_n,tangential_contact_force_peak_n,friction_configured_before_collision,constraints_constructed_at_configuration,patch_base_double_contact,visual_only_geom,end_sample_exclusive,end_time_s_exclusive,observed_1khz_sample_count,normal_contact_force_mean_n,tangential_contact_force_mean_n,contact_anchor_position_xy,contact_anchor_drift_max_m,block,geometry_candidate,disposition
cal_positive_0p10_G0,v6_cal_pair_00,positive,0.04000000000000003,39,left,left_foot_contact_3,19,slip_patch,2,"[0.09498440307339295, 0.14891713289108424, -0.00015007143157588776]","[0.09563732428995614, 0.14821736264460578, -6.6293632216885e-05]",True,2,"[1.0, 1.0, 0.005, 0.0001, 0.0001]","[1.0, 1.0, 0.005, 0.0001, 0.0001]",1.0,1.0,3,0,29,37,108.80125236765505,47.933126300828725,True,False,False,False,79,0.08000000000000006,40,30.447449469074552,8.557852972933883,"[-0.02496555633842945, 0.11951856315135956]",0.0004119710356462747,calibration,G0,SOURCE_CALIBRATION_ONLY_DO_NOT_TRAIN
cal_positive_0p10_G0,v6_cal_pair_00,positive,0.04000000000000003,39,left,left_foot_contact_4,20,slip_patch,2,"[0.09465624010434254, 0.08891812308997402, -0.00020282546466121598]","[0.09491622187188731, 0.08796731745453351, -2.4597608805354554e-07]",True,3,"[1.0, 1.0, 0.005, 0.0001, 0.0001]","[1.0, 1.0, 0.005, 0.0001, 0.0001]",1.0,1.0,3,0,33,41,101.49889639771308,52.62812245448894,True,False,False,False,82,0.08300000000000006,43,36.33852417666848,8.088389430365527,"[-0.02496555633842945, 0.11951856315135956]",0.0004119710356462747,calibration,G0,SOURCE_CALIBRATION_ONLY_DO_NOT_TRAIN
cal_positive_0p10_G0,v6_cal_pair_00,positive,0.04200000000000003,41,left,left_foot_contact_1,17,slip_patch,2,"[-0.07493809696975662, 0.14497429577802776, -3.0651033189887933e-06]","[-0.07424351046784383, 0.1449752035684344, -6.228968533428247e-05]",True,0,"[1.0, 1.0, 0.005, 0.0001, 0.0001]","[1.0, 1.0, 0.005, 0.0001, 0.0001]",1.0,1.0,3,0,29,29,237.96780549202242,25.897675134045176,True,False,False,False,87,0.08800000000000006,46,64.03929889838996,4.51940766915412,"[-0.02496555633842945, 0.11951856315135956]",0.0004760694573633373,calibration,G0,SOURCE_CALIBRATION_ONLY_DO_NOT_TRAIN
cal_positive_0p10_G0,v6_cal_pair_00,positive,0.04200000000000003,41,left,left_foot_contact_2,18,slip_patch,2,"[-0.07524696263743402, 0.09497534829470311, -5.269513222611044e-05]","[-0.07499078909007229, 0.09479300559970887, -7.13785140177281e-05]",True,1,"[1.0, 1.0, 0.005, 0.0001, 0.0001]","[1.0, 1.0, 0.005, 0.0001, 0.0001]",1.0,1.0,3,0,29,33,294.638624757706,31.225492749639304,True,False,False,False,89,0.09000000000000007,48,77.99538577184836,10.041956323178352,"[-0.02496555633842945, 0.11951856315135956]",0.0006759577081538737,calibration,G0,SOURCE_CALIBRATION_ONLY_DO_NOT_TRAIN
cal_positive_0p10_G0,v6_cal_pair_00,positive,0.03800000000000003,37,right,right_foot_contact_4,35,slip_patch,2,"[0.09600893999131843, -0.14712115063168568, -8.455300899934404e-05]","[0.09691110223231159, -0.1467790316138236, -1.8717697915365816e-06]",True,7,"[1.0, 1.0, 0.005, 0.0001, 0.0001]","[1.0, 1.0, 0.005, 0.0001, 0.0001]",1.0,1.0,3,0,29,57,144.07789915532604,62.522208721106495,True,False,False,False,177,0.17800000000000013,140,44.061011565345225,8.565107817994209,"[-0.023851295933127403, -0.11823654919862747]",0.00037141036591492593,calibration,G0,SOURCE_CALIBRATION_ONLY_DO_NOT_TRAIN
cal_positive_0p10_G0,v6_cal_pair_00,positive,0.04300000000000003,42,right,right_foot_contact_2,33,slip_patch,2,"[-0.07353344497974323, -0.14368347669878176, -4.641544730997482e-05]","[-0.07313583850036676, -0.14419339708181278, -1.2916851420408104e-06]",True,5,"[1.0, 1.0, 0.005, 0.0001, 0.0001]","[1.0, 1.0, 0.005, 0.0001, 0.0001]",1.0,1.0,3,0,33,49,507.43876180990196,25.120225837950645,True,False,False,False,190,0.19100000000000014,148,74.92409798641833,10.913338418564539,"[-0.023851295933127403, -0.11823654919862747]",0.00037141036591492593,calibration,G0,SOURCE_CALIBRATION_ONLY_DO_NOT_TRAIN
cal_positive_0p10_G0,v6_cal_pair_00,positive,0.04400000000000003,43,right,right_foot_contact_1,32,slip_patch,2,"[-0.07402738273010467, -0.093708922583402, -0.00016235303317277405]","[-0.0738992965188503, -0.09402574361258406, -1.106284033039473e-05]",True,4,"[1.0, 1.0, 0.005, 0.0001, 0.0001]","[1.0, 1.0, 0.005, 0.0001, 0.0001]",1.0,1.0,3,0,29,45,252.31339564884632,33.20933795192449,True,False,False,False,325,0.32600000000000023,282,137.76806297152285,17.734524725272646,"[-0.023851295933127403, -0.11823654919862747]",0.0026948037557303905,calibration,G0,SOURCE_CALIBRATION_ONLY_DO_NOT_TRAIN
cal_positive_0p10_G0,v6_cal_pair_00,positive,0.03900000000000003,38,right,right_foot_contact_3,34,slip_patch,2,"[0.09560368934443736, -0.08705721977144397, -0.00019563133195509008]","[0.09592437664470554, -0.08691712432887759, -3.064098475696886e-06]",True,6,"[1.0, 1.0, 0.005, 0.0001, 0.0001]","[1.0, 1.0, 0.005, 0.0001, 0.0001]",1.0,1.0,3,0,29,53,275.33922134539284,68.31646294152918,True,False,False,False,328,0.32900000000000024,290,124.0010874450853,19.594004212349013,"[-0.023851295933127403, -0.11823654919862747]",0.0029583321884274483,calibration,G0,SOURCE_CALIBRATION_ONLY_DO_NOT_TRAIN
cal_positive_0p10_G0,v6_cal_pair_00,positive,0.3100000000000002,309,left,left_foot_contact_4,20,slip_patch,2,"[0.15773628651103344, 0.15400185003022382, -3.157519511473583e-05]","[0.15939623299711925, 0.15748528075921928, -4.443339204351915e-07]",True,3,"[1.0, 1.0, 0.005, 0.0001, 0.0001]","[1.0, 1.0, 0.005, 0.0001, 0.0001]",1.0,1.0,3,0,37,41,206.96136933443364,63.84114065262166,True,False,False,False,407,0.4080000000000003,98,13.392573437692606,5.345911847780118,"[0.03524759039282799, 0.17955702543258667]",0.007255091331899166,calibration,G0,SOURCE_CALIBRATION_ONLY_DO_NOT_TRAIN
cal_positive_0p10_G0,v6_cal_pair_00,positive,0.4250000000000003,424,left,left_foot_contact_4,20,slip_patch,2,"[0.15937376768520717, 0.15748118638445494, -7.011413737240124e-07]","[0.1597739025579854, 0.15866475971440905, -5.005531159285592e-07]",True,3,"[1.0, 1.0, 0.005, 0.0001, 0.0001]","[0.1, 0.1, 0.00125, 2.125e-05, 2.125e-05]",0.1,1.0,3,0,41,41,52.30460521636656,7.7681516330838525,True,False,False,False,512,0.5129999999999989,88,24.076509278403254,5.366314095725192,"[0.03524759039282799, 0.17955702543258667]",0.008589113131165504,calibration,G0,SOURCE_CALIBRATION_ONLY_DO_NOT_TRAIN
