run_id,pair_id,role,speed_mps,target_foot,target_phase,actual_onset_phase,severity,material_profile,control_type,variation_index,actual_first_affected_foot,target_touchdown_sample,target_touchdown_time_s,target_physical_onset_sample,target_physical_onset_time_s,touchdown_to_onset_ms,target_contact_episode_id,contralateral_physical_slip_contamination,valid_target_positive,wrong_foot_onset,bilateral_ambiguous,no_onset,fall_occurred,first_fall_sample,fall_reason,post_fall_excluded_sample_count,discarded,replaced,silently_relabelled,physical_slip_foot_count,physical_slip_onset_free,stable_loaded_contact_coverage,valid_control_source,maximum_target_anchor_drift_m,first_fall_censor_boundary,control_source_valid,failure_reason,failed_attempt_preserved,silently_counted_as_normal,development_only,disposition,training_use_assigned
cal_control_0p10_G0,v6_cal_pair_00,control,0.1,left,mid_late_stance,none,moderate_ice_preregistered,hard_normal,hard_normal,1,none,39,0.04000000000000003,,,,0,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True,0.007874986156821251,,True,,True,False,True,SOURCE_CALIBRATION_ONLY_DO_NOT_TRAIN,False
cal_control_0p10_G1,v6_cal_pair_01,control,0.1,left,mid_late_stance,none,moderate_ice_preregistered,near_slip_non_event,near_slip_non_event,1,none,39,0.04000000000000003,,,,0,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True,0.007936532609164715,,True,,True,False,True,SOURCE_CALIBRATION_ONLY_DO_NOT_TRAIN,False
cal_control_0p10_G2,v6_cal_pair_02,control,0.1,left,mid_late_stance,none,moderate_ice_preregistered,hard_normal,hard_normal,1,none,39,0.04000000000000003,,,,0,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True,0.007917727343738079,,True,,True,False,True,SOURCE_CALIBRATION_ONLY_DO_NOT_TRAIN,False
cal_control_0p10_G3,v6_cal_pair_03,control,0.1,left,mid_late_stance,none,moderate_ice_preregistered,near_slip_non_event,near_slip_non_event,1,none,39,0.04000000000000003,,,,0,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True,0.007943045347929,,True,,True,False,True,SOURCE_CALIBRATION_ONLY_DO_NOT_TRAIN,False
cal_control_0p15_G0,v6_cal_pair_04,control,0.15,left,mid_late_stance,none,moderate_ice_preregistered,near_slip_non_event,near_slip_non_event,1,none,39,0.04000000000000003,,,,0,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True,0.008024467155337334,,True,,True,False,True,SOURCE_CALIBRATION_ONLY_DO_NOT_TRAIN,False
cal_control_0p15_G1,v6_cal_pair_05,control,0.15,left,mid_late_stance,none,moderate_ice_preregistered,hard_normal,hard_normal,1,none,39,0.04000000000000003,,,,0,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True,0.008006631396710873,,True,,True,False,True,SOURCE_CALIBRATION_ONLY_DO_NOT_TRAIN,False
cal_control_0p15_G2,v6_cal_pair_06,control,0.15,left,mid_late_stance,none,moderate_ice_preregistered,near_slip_non_event,near_slip_non_event,1,none,39,0.04000000000000003,,,,0,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True,0.008021146059036255,,True,,True,False,True,SOURCE_CALIBRATION_ONLY_DO_NOT_TRAIN,False
cal_control_0p15_G3,v6_cal_pair_07,control,0.15,left,mid_late_stance,none,moderate_ice_preregistered,hard_normal,hard_normal,1,none,39,0.04000000000000003,,,,0,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True,0.008012762293219566,,True,,True,False,True,SOURCE_CALIBRATION_ONLY_DO_NOT_TRAIN,False
cal_control_0p20_G0,v6_cal_pair_08,control,0.2,left,mid_late_stance,none,moderate_ice_preregistered,hard_normal,hard_normal,1,none,39,0.04000000000000003,,,,0,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True,0.008814332075417042,,True,,True,False,True,SOURCE_CALIBRATION_ONLY_DO_NOT_TRAIN,False
cal_control_0p20_G1,v6_cal_pair_09,control,0.2,left,mid_late_stance,none,moderate_ice_preregistered,near_slip_non_event,near_slip_non_event,1,none,39,0.04000000000000003,,,,0,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True,0.008818447589874268,,True,,True,False,True,SOURCE_CALIBRATION_ONLY_DO_NOT_TRAIN,False
cal_control_0p20_G2,v6_cal_pair_10,control,0.2,left,mid_late_stance,none,moderate_ice_preregistered,hard_normal,hard_normal,1,none,39,0.04000000000000003,,,,0,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True,0.008814170025289059,,True,,True,False,True,SOURCE_CALIBRATION_ONLY_DO_NOT_TRAIN,False
cal_control_0p20_G3,v6_cal_pair_11,control,0.2,left,mid_late_stance,none,moderate_ice_preregistered,near_slip_non_event,near_slip_non_event,1,none,39,0.04000000000000003,,,,0,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True,0.008800609037280083,,True,,True,False,True,SOURCE_CALIBRATION_ONLY_DO_NOT_TRAIN,False
