run_id,pair_id,role,fall_occurred,first_fall_sample,first_fall_time_s,fall_reason,pre_fall_valid_sample_count,post_fall_stored_sample_count,post_fall_excluded_from_labels
cal_positive_0p10_G0,v6_cal_pair_00,positive,False,,,,3000,0,True
cal_control_0p10_G0,v6_cal_pair_00,control,False,,,,3000,0,True
cal_positive_0p10_G1,v6_cal_pair_01,positive,False,,,,3000,0,True
cal_control_0p10_G1,v6_cal_pair_01,control,False,,,,3000,0,True
cal_positive_0p10_G2,v6_cal_pair_02,positive,False,,,,3000,0,True
cal_control_0p10_G2,v6_cal_pair_02,control,False,,,,3000,0,True
cal_positive_0p10_G3,v6_cal_pair_03,positive,False,,,,3000,0,True
cal_control_0p10_G3,v6_cal_pair_03,control,False,,,,3000,0,True
cal_positive_0p15_G0,v6_cal_pair_04,positive,False,,,,3000,0,True
cal_control_0p15_G0,v6_cal_pair_04,control,False,,,,3000,0,True
cal_positive_0p15_G1,v6_cal_pair_05,positive,False,,,,3000,0,True
cal_control_0p15_G1,v6_cal_pair_05,control,False,,,,3000,0,True
cal_positive_0p15_G2,v6_cal_pair_06,positive,False,,,,3000,0,True
cal_control_0p15_G2,v6_cal_pair_06,control,False,,,,3000,0,True
cal_positive_0p15_G3,v6_cal_pair_07,positive,False,,,,3000,0,True
cal_control_0p15_G3,v6_cal_pair_07,control,False,,,,3000,0,True
cal_positive_0p20_G0,v6_cal_pair_08,positive,False,,,,3000,0,True
cal_control_0p20_G0,v6_cal_pair_08,control,False,,,,3000,0,True
cal_positive_0p20_G1,v6_cal_pair_09,positive,False,,,,3000,0,True
cal_control_0p20_G1,v6_cal_pair_09,control,False,,,,3000,0,True
cal_positive_0p20_G2,v6_cal_pair_10,positive,False,,,,3000,0,True
cal_control_0p20_G2,v6_cal_pair_10,control,False,,,,3000,0,True
cal_positive_0p20_G3,v6_cal_pair_11,positive,False,,,,3000,0,True
cal_control_0p20_G3,v6_cal_pair_11,control,False,,,,3000,0,True
