run_id,pair_id,pair_index,role,block,geometry_candidate,geometry_sha256,speed_mps,target_foot,target_phase,severity,material_profile,control_type,variation_index,phase_fraction,command_delay_s,lateral_offset_m,seed,duration_s,disposition,pair_fingerprint,patch,collision_geometry_sha256,initial_qpos_sha256,initial_qvel_sha256,initial_policy_observation_sha256,sample_count,first_sample_time_s,last_sample_time_s,sample_spacing_max_error_s,fusion20_shape,finite_fusion20,first_patch_contact_sample,patch_active_contact_sample_count,intervention_configured_physics_steps,effective_patch_friction_mean,patch_base_double_contact_count,left_first_loaded_touchdown_sample,right_first_loaded_touchdown_sample,first_fall_sample,first_fall_time_s,fall_occurred,fall_reason,post_fall_excluded_sample_count,full_trace_sha256,discarded,replaced,silently_relabelled,development_only,geometry_contract_sha256,source_calibration_only_do_not_train,training_use_assigned
cal_positive_0p10_G0,v6_cal_pair_00,0,positive,calibration,G0,a7ecd6fa3e44f49b07f3b0a0729d091f2156bc8493b171549748776c9fde5583,0.1,left,mid_late_stance,moderate_ice_preregistered,moderate_ice_preregistered,hard_normal,1,0.41,0.04,0.0,202608600,3.0,SOURCE_CALIBRATION_ONLY_DO_NOT_TRAIN,890ae80a120181489265b88999a5a9d4a01843cea7de9ab4adbc3652a4ef2faa,"{'x_min_m': -1.0, 'x_max_m': 2.0, 'y_min_m': -0.8, 'y_max_m': 0.8, 'top_z_m': 0.0}",58b3071a02305e9ea39c75751a7a9c67c32afb648478888eb597c404f529b717,76f5e6aefb90d3dd7a64170c6814fca186f85f75501c2dff5fc7c13b70c3af70,b6f83f5963d639cf471c493f6a49b1d757836041638b24df73bb5b1305d12e33,9145d4546123182ed68a19d519066e07547c7a9c385db1f5ec2a30986e59f0f8,3000,0.001,3.000000000000169,3.3393426912553537e-16,"[3000, 20]",True,39,1685,853,0.7724629080118693,0,39,37,,,False,,0,d3bc448ac0eca81e508eb6cbc51e59a14aacc07948178352bb5a2dcea4df93d3,False,False,False,True,a7ecd6fa3e44f49b07f3b0a0729d091f2156bc8493b171549748776c9fde5583,True,False
cal_control_0p10_G0,v6_cal_pair_00,0,control,calibration,G0,a7ecd6fa3e44f49b07f3b0a0729d091f2156bc8493b171549748776c9fde5583,0.1,left,mid_late_stance,moderate_ice_preregistered,hard_normal,hard_normal,1,0.41,0.04,0.0,202608600,3.0,SOURCE_CALIBRATION_ONLY_DO_NOT_TRAIN,890ae80a120181489265b88999a5a9d4a01843cea7de9ab4adbc3652a4ef2faa,"{'x_min_m': -1.0, 'x_max_m': 2.0, 'y_min_m': -0.8, 'y_max_m': 0.8, 'top_z_m': 0.0}",58b3071a02305e9ea39c75751a7a9c67c32afb648478888eb597c404f529b717,76f5e6aefb90d3dd7a64170c6814fca186f85f75501c2dff5fc7c13b70c3af70,b6f83f5963d639cf471c493f6a49b1d757836041638b24df73bb5b1305d12e33,9145d4546123182ed68a19d519066e07547c7a9c385db1f5ec2a30986e59f0f8,3000,0.001,3.000000000000169,3.3393426912553537e-16,"[3000, 20]",True,39,1704,0,1.0,0,39,37,,,False,,0,430bb8ff19278d9bd4591b05a9cc2bf10a6c182e430c621a1273bfc4963ced47,False,False,False,True,a7ecd6fa3e44f49b07f3b0a0729d091f2156bc8493b171549748776c9fde5583,True,False
cal_positive_0p10_G1,v6_cal_pair_01,1,positive,calibration,G1,051eaaaa756841b4390c2cb9bf5de7c4dcc96a9ccdca3afb07d8cb1b424d3396,0.1,left,mid_late_stance,moderate_ice_preregistered,moderate_ice_preregistered,near_slip_non_event,1,0.41,0.04,0.0,202608601,3.0,SOURCE_CALIBRATION_ONLY_DO_NOT_TRAIN,e08629cb18021d41b18049eea8206d321182dc1b8a4bf1d4d4aa46710ad1c639,"{'x_min_m': -1.15, 'x_max_m': 1.85, 'y_min_m': -0.8, 'y_max_m': 0.8, 'top_z_m': 0.0}",61f22ae9b3067ff08b8a5a5ee242905d6f1c71930f90f9aa6e3a54c37180c5b4,cf11c7ac998e4fca980677f59482e1b15c681dcea128fcb51009ee504d85f823,0dc5c93d9bd4fe3282dc30714a1f4ed0f01e30a59d076016229ead18ecdd44ac,9145d4546123182ed68a19d519066e07547c7a9c385db1f5ec2a30986e59f0f8,3000,0.001,3.000000000000169,3.3393426912553537e-16,"[3000, 20]",True,39,1707,655,0.8281195079086116,0,39,37,,,False,,0,14bfcd42a7a81a8430c4d50e247ea6c7f87dc2eb397844e5a7612ff25aa787c9,False,False,False,True,051eaaaa756841b4390c2cb9bf5de7c4dcc96a9ccdca3afb07d8cb1b424d3396,True,False
cal_control_0p10_G1,v6_cal_pair_01,1,control,calibration,G1,051eaaaa756841b4390c2cb9bf5de7c4dcc96a9ccdca3afb07d8cb1b424d3396,0.1,left,mid_late_stance,moderate_ice_preregistered,near_slip_non_event,near_slip_non_event,1,0.41,0.04,0.0,202608601,3.0,SOURCE_CALIBRATION_ONLY_DO_NOT_TRAIN,e08629cb18021d41b18049eea8206d321182dc1b8a4bf1d4d4aa46710ad1c639,"{'x_min_m': -1.15, 'x_max_m': 1.85, 'y_min_m': -0.8, 'y_max_m': 0.8, 'top_z_m': 0.0}",61f22ae9b3067ff08b8a5a5ee242905d6f1c71930f90f9aa6e3a54c37180c5b4,cf11c7ac998e4fca980677f59482e1b15c681dcea128fcb51009ee504d85f823,0dc5c93d9bd4fe3282dc30714a1f4ed0f01e30a59d076016229ead18ecdd44ac,9145d4546123182ed68a19d519066e07547c7a9c385db1f5ec2a30986e59f0f8,3000,0.001,3.000000000000169,3.3393426912553537e-16,"[3000, 20]",True,39,1675,1332,0.7423283582089553,0,39,37,,,False,,0,f79a4eaf3548633dc9362db9af7b70fac8921fca278cdd9adbc0ee1ab2cb12ae,False,False,False,True,051eaaaa756841b4390c2cb9bf5de7c4dcc96a9ccdca3afb07d8cb1b424d3396,True,False
cal_positive_0p10_G2,v6_cal_pair_02,2,positive,calibration,G2,38ca90cb5eb8d4ea14380f58e0f24d550e8fdb5f77dec68fabfe8e374467ca74,0.1,left,mid_late_stance,moderate_ice_preregistered,moderate_ice_preregistered,hard_normal,1,0.41,0.04,0.0,202608602,3.0,SOURCE_CALIBRATION_ONLY_DO_NOT_TRAIN,114a6fa42dd3d41d3d9d5419b9ca57c7dd350e343786df7345c183f1e93aa3a3,"{'x_min_m': -1.2249999999999999, 'x_max_m': 2.2249999999999996, 'y_min_m': -0.8, 'y_max_m': 0.8, 'top_z_m': 0.0}",e39766437cc3b7767ce76e552f93be43f596947d63b02c44625c47fb59c5d455,7bbea6ae7075021948243ecdf88a29fdc5a2c0a063e7d192d69723e75df9b42f,12faca93828464f1886dec79484b3064a6de57f2c1010489ef7b2384450f885c,9145d4546123182ed68a19d519066e07547c7a9c385db1f5ec2a30986e59f0f8,3000,0.001,3.000000000000169,3.3393426912553537e-16,"[3000, 20]",True,39,1707,655,0.8281195079086116,0,39,37,,,False,,0,85e03b2399fb4da57f41f0cb001474cf433be09a843628ad8ddcd8f43feccbd1,False,False,False,True,38ca90cb5eb8d4ea14380f58e0f24d550e8fdb5f77dec68fabfe8e374467ca74,True,False
cal_control_0p10_G2,v6_cal_pair_02,2,control,calibration,G2,38ca90cb5eb8d4ea14380f58e0f24d550e8fdb5f77dec68fabfe8e374467ca74,0.1,left,mid_late_stance,moderate_ice_preregistered,hard_normal,hard_normal,1,0.41,0.04,0.0,202608602,3.0,SOURCE_CALIBRATION_ONLY_DO_NOT_TRAIN,114a6fa42dd3d41d3d9d5419b9ca57c7dd350e343786df7345c183f1e93aa3a3,"{'x_min_m': -1.2249999999999999, 'x_max_m': 2.2249999999999996, 'y_min_m': -0.8, 'y_max_m': 0.8, 'top_z_m': 0.0}",e39766437cc3b7767ce76e552f93be43f596947d63b02c44625c47fb59c5d455,7bbea6ae7075021948243ecdf88a29fdc5a2c0a063e7d192d69723e75df9b42f,12faca93828464f1886dec79484b3064a6de57f2c1010489ef7b2384450f885c,9145d4546123182ed68a19d519066e07547c7a9c385db1f5ec2a30986e59f0f8,3000,0.001,3.000000000000169,3.3393426912553537e-16,"[3000, 20]",True,39,1703,0,1.0,0,39,37,,,False,,0,d5a99f0b32ac5f96c1b8f6afb1c9a2bb099f66cb16b8c51087bc9cf39884466c,False,False,False,True,38ca90cb5eb8d4ea14380f58e0f24d550e8fdb5f77dec68fabfe8e374467ca74,True,False
cal_positive_0p10_G3,v6_cal_pair_03,3,positive,calibration,G3,48230d0329c3281d43809f9a56f7acf524a936c6e74e8006284045b221cf3f0e,0.1,left,mid_late_stance,moderate_ice_preregistered,moderate_ice_preregistered,near_slip_non_event,1,0.41,0.04,0.0,202608603,3.0,SOURCE_CALIBRATION_ONLY_DO_NOT_TRAIN,3c2a98b2cb3ba28c6cd79edbd8ae94c5e39792df3aa2514be54fe0cd46f2278b,"{'x_min_m': -1.375, 'x_max_m': 2.0749999999999997, 'y_min_m': -0.8, 'y_max_m': 0.8, 'top_z_m': 0.0}",8bc607c302f3f715704c58f1da786ffb3d6b54542f25b93b844048fc42d12ab1,604700403ffe7c00e15f774dbf8a668afb523324de78c73b4f142085e1e75dd8,54d75b7463657718aee3b6f5ac30e57618e5cf92cb2e59cb761319f3099cd648,9145d4546123182ed68a19d519066e07547c7a9c385db1f5ec2a30986e59f0f8,3000,0.001,3.000000000000169,3.3393426912553537e-16,"[3000, 20]",True,39,1700,746,0.8035882352941176,0,39,37,,,False,,0,15222cf772713ce5b1150d35d05a6f81714bfb2a4b9b7c35dbc6ab52fe9214ce,False,False,False,True,48230d0329c3281d43809f9a56f7acf524a936c6e74e8006284045b221cf3f0e,True,False
cal_control_0p10_G3,v6_cal_pair_03,3,control,calibration,G3,48230d0329c3281d43809f9a56f7acf524a936c6e74e8006284045b221cf3f0e,0.1,left,mid_late_stance,moderate_ice_preregistered,near_slip_non_event,near_slip_non_event,1,0.41,0.04,0.0,202608603,3.0,SOURCE_CALIBRATION_ONLY_DO_NOT_TRAIN,3c2a98b2cb3ba28c6cd79edbd8ae94c5e39792df3aa2514be54fe0cd46f2278b,"{'x_min_m': -1.375, 'x_max_m': 2.0749999999999997, 'y_min_m': -0.8, 'y_max_m': 0.8, 'top_z_m': 0.0}",8bc607c302f3f715704c58f1da786ffb3d6b54542f25b93b844048fc42d12ab1,604700403ffe7c00e15f774dbf8a668afb523324de78c73b4f142085e1e75dd8,54d75b7463657718aee3b6f5ac30e57618e5cf92cb2e59cb761319f3099cd648,9145d4546123182ed68a19d519066e07547c7a9c385db1f5ec2a30986e59f0f8,3000,0.001,3.000000000000169,3.3393426912553537e-16,"[3000, 20]",True,39,1676,1323,0.7444212410501194,0,39,37,,,False,,0,6fc816d03044e7732871949f945eed3114f959d857ee5cab06fed6d06ea02191,False,False,False,True,48230d0329c3281d43809f9a56f7acf524a936c6e74e8006284045b221cf3f0e,True,False
cal_positive_0p15_G0,v6_cal_pair_04,4,positive,calibration,G0,a7ecd6fa3e44f49b07f3b0a0729d091f2156bc8493b171549748776c9fde5583,0.15,left,mid_late_stance,moderate_ice_preregistered,moderate_ice_preregistered,near_slip_non_event,1,0.41,0.04,0.0,202608604,3.0,SOURCE_CALIBRATION_ONLY_DO_NOT_TRAIN,c58172824fd54d0f8a54ab718fdb511c09ae70c8071b5118792d066028fb04f5,"{'x_min_m': -1.0, 'x_max_m': 2.0, 'y_min_m': -0.8, 'y_max_m': 0.8, 'top_z_m': 0.0}",58b3071a02305e9ea39c75751a7a9c67c32afb648478888eb597c404f529b717,aa72bd9eef32e97b4293d526a5a87e74ef2dd1f1853100f69b1919d863f42ad9,4cc76733330c9aec63cdca2cbc488051b52f1c2819121bc9c878237e881172fa,9145d4546123182ed68a19d519066e07547c7a9c385db1f5ec2a30986e59f0f8,3000,0.001,3.000000000000169,3.3393426912553537e-16,"[3000, 20]",True,39,1693,751,0.8022445363260483,0,39,37,,,False,,0,96c614e58b2a3b4f0cf20a08275bf58a370b77487768cde7f54dd3b7bc1fee11,False,False,False,True,a7ecd6fa3e44f49b07f3b0a0729d091f2156bc8493b171549748776c9fde5583,True,False
cal_control_0p15_G0,v6_cal_pair_04,4,control,calibration,G0,a7ecd6fa3e44f49b07f3b0a0729d091f2156bc8493b171549748776c9fde5583,0.15,left,mid_late_stance,moderate_ice_preregistered,near_slip_non_event,near_slip_non_event,1,0.41,0.04,0.0,202608604,3.0,SOURCE_CALIBRATION_ONLY_DO_NOT_TRAIN,c58172824fd54d0f8a54ab718fdb511c09ae70c8071b5118792d066028fb04f5,"{'x_min_m': -1.0, 'x_max_m': 2.0, 'y_min_m': -0.8, 'y_max_m': 0.8, 'top_z_m': 0.0}",58b3071a02305e9ea39c75751a7a9c67c32afb648478888eb597c404f529b717,aa72bd9eef32e97b4293d526a5a87e74ef2dd1f1853100f69b1919d863f42ad9,4cc76733330c9aec63cdca2cbc488051b52f1c2819121bc9c878237e881172fa,9145d4546123182ed68a19d519066e07547c7a9c385db1f5ec2a30986e59f0f8,3000,0.001,3.000000000000169,3.3393426912553537e-16,"[3000, 20]",True,39,1668,1282,0.750599520383693,0,39,37,,,False,,0,d558f4cd5d1367b4eb9d20f7a174a29c14bdb26d001b99f06ece2a135da80ce0,False,False,False,True,a7ecd6fa3e44f49b07f3b0a0729d091f2156bc8493b171549748776c9fde5583,True,False
