pair_id,positive_run_id,control_run_id,pair_fingerprint,speed_mps,target_foot,target_phase,severity,control_type,variation_index,seed,first_patch_contact_sample,initial_qpos_equal,initial_qvel_equal,initial_policy_observation_equal,prepatch_generalized_state_equal,precontact_fusion20_equal,command_equal,geometry_equal,patch_location_equal,target_foot_equal,timestamps_equal,pair_configuration_equal,positive_expected_friction,control_expected_friction,positive_effective_friction_contract,control_effective_friction_contract,effective_friction_differs,postcontact_trajectory_diverged,full_trace_identical,classification,patch_base_double_contact_count,parity_pass
v6_cal_pair_00,cal_positive_0p10_G0,cal_control_0p10_G0,890ae80a120181489265b88999a5a9d4a01843cea7de9ab4adbc3652a4ef2faa,0.1,left,mid_late_stance,moderate_ice_preregistered,hard_normal,1,202608600,39,True,True,True,True,True,True,True,True,True,True,True,0.1,1.0,True,True,True,True,False,correct_counterfactual_pair,0,True
v6_cal_pair_01,cal_positive_0p10_G1,cal_control_0p10_G1,e08629cb18021d41b18049eea8206d321182dc1b8a4bf1d4d4aa46710ad1c639,0.1,left,mid_late_stance,moderate_ice_preregistered,near_slip_non_event,1,202608601,39,True,True,True,True,True,True,True,True,True,True,True,0.1,0.35000000000000003,True,True,True,True,False,correct_counterfactual_pair,0,True
v6_cal_pair_02,cal_positive_0p10_G2,cal_control_0p10_G2,114a6fa42dd3d41d3d9d5419b9ca57c7dd350e343786df7345c183f1e93aa3a3,0.1,left,mid_late_stance,moderate_ice_preregistered,hard_normal,1,202608602,39,True,True,True,True,True,True,True,True,True,True,True,0.1,1.0,True,True,True,True,False,correct_counterfactual_pair,0,True
v6_cal_pair_03,cal_positive_0p10_G3,cal_control_0p10_G3,3c2a98b2cb3ba28c6cd79edbd8ae94c5e39792df3aa2514be54fe0cd46f2278b,0.1,left,mid_late_stance,moderate_ice_preregistered,near_slip_non_event,1,202608603,39,True,True,True,True,True,True,True,True,True,True,True,0.1,0.35000000000000003,True,True,True,True,False,correct_counterfactual_pair,0,True
v6_cal_pair_04,cal_positive_0p15_G0,cal_control_0p15_G0,c58172824fd54d0f8a54ab718fdb511c09ae70c8071b5118792d066028fb04f5,0.15,left,mid_late_stance,moderate_ice_preregistered,near_slip_non_event,1,202608604,39,True,True,True,True,True,True,True,True,True,True,True,0.1,0.35000000000000003,True,True,True,True,False,correct_counterfactual_pair,0,True
v6_cal_pair_05,cal_positive_0p15_G1,cal_control_0p15_G1,34ea631ed3ae1c02b6e7acbe41b3ae9b80593d037ee66395a2ad1e5e4c3356f8,0.15,left,mid_late_stance,moderate_ice_preregistered,hard_normal,1,202608605,39,True,True,True,True,True,True,True,True,True,True,True,0.1,1.0,True,True,True,True,False,correct_counterfactual_pair,0,True
v6_cal_pair_06,cal_positive_0p15_G2,cal_control_0p15_G2,417b76aa25d92e80c0a887462ad14617bc491780d3490f8db0b0c8eb97edf561,0.15,left,mid_late_stance,moderate_ice_preregistered,near_slip_non_event,1,202608606,39,True,True,True,True,True,True,True,True,True,True,True,0.1,0.35000000000000003,True,True,True,True,False,correct_counterfactual_pair,0,True
v6_cal_pair_07,cal_positive_0p15_G3,cal_control_0p15_G3,2b58239e5436b9542bfb13d752f0797f51cc4c8faf8def0c4435c2f0c5cb5b63,0.15,left,mid_late_stance,moderate_ice_preregistered,hard_normal,1,202608607,39,True,True,True,True,True,True,True,True,True,True,True,0.1,1.0,True,True,True,True,False,correct_counterfactual_pair,0,True
v6_cal_pair_08,cal_positive_0p20_G0,cal_control_0p20_G0,fb715bd70c69123565e5a77308055615287490fbec5ba730451ce78f8157d7d1,0.2,left,mid_late_stance,moderate_ice_preregistered,hard_normal,1,202608608,39,True,True,True,True,True,True,True,True,True,True,True,0.1,1.0,True,True,True,True,False,correct_counterfactual_pair,0,True
v6_cal_pair_09,cal_positive_0p20_G1,cal_control_0p20_G1,2eb06783bec82908e06b4954f231da355d7feffe626f6b7c876b2a4fdbe7a4c9,0.2,left,mid_late_stance,moderate_ice_preregistered,near_slip_non_event,1,202608609,39,True,True,True,True,True,True,True,True,True,True,True,0.1,0.35000000000000003,True,True,True,True,False,correct_counterfactual_pair,0,True
v6_cal_pair_10,cal_positive_0p20_G2,cal_control_0p20_G2,983566f1304adc946f5c726029f3dcff36c212a3a41b7566de470f17a563a44b,0.2,left,mid_late_stance,moderate_ice_preregistered,hard_normal,1,202608610,39,True,True,True,True,True,True,True,True,True,True,True,0.1,1.0,True,True,True,True,False,correct_counterfactual_pair,0,True
v6_cal_pair_11,cal_positive_0p20_G3,cal_control_0p20_G3,c08e826fe6f57b1c14d35f17df772081e63e9f529ab5a9e32263ea7f7fa120e6,0.2,left,mid_late_stance,moderate_ice_preregistered,near_slip_non_event,1,202608611,39,True,True,True,True,True,True,True,True,True,True,True,0.1,0.35000000000000003,True,True,True,True,False,correct_counterfactual_pair,0,True
