run_id,pair_id,role,target_foot,foot,actual_first_affected_foot,contact_episode_id,episode_start_sample,episode_end_sample_exclusive,touchdown_sample,physical_onset_sample,time_from_touchdown_to_onset_ms,active_physical_slip_intervals,maximum_contact_anchor_drift_m,stable_loaded_contact_valid,fall_time_s,fall_reason,first_fall_censor_boundary,post_fall_excluded_sample_count,air_mask_sample_count,touchdown_mask_sample_count,invalid_mask_sample_count,contralateral_physical_slip_contamination
cal_positive_0p10_G0,v6_cal_pair_00,positive,left,left,none,0,39,89,39,,,[],0.0006759577081538737,True,,,,0,0,10,19,False
cal_positive_0p10_G0,v6_cal_pair_00,positive,left,left,none,1,304,677,304,,,[],0.03066333569586277,True,,,,0,0,10,12,False
cal_positive_0p10_G0,v6_cal_pair_00,positive,left,left,none,2,926,1145,926,,,[],0.006034171208739281,True,,,,0,0,10,10,False
cal_positive_0p10_G0,v6_cal_pair_00,positive,left,left,none,3,1146,1284,1146,,,[],0.0017847602721303701,True,,,,0,0,10,14,False
cal_positive_0p10_G0,v6_cal_pair_00,positive,left,left,none,4,1540,1861,1540,,,[],0.028946321457624435,True,,,,0,0,10,11,False
cal_positive_0p10_G0,v6_cal_pair_00,positive,left,left,none,5,2137,2443,2137,,,[],0.03593728691339493,True,,,,0,0,10,10,False
cal_positive_0p10_G0,v6_cal_pair_00,positive,left,left,none,6,2446,2448,2446,,,[],0.00044174541835673153,False,,,,0,0,2,2,False
cal_positive_0p10_G0,v6_cal_pair_00,positive,left,left,none,7,2453,2455,2453,,,[],0.00032716983696445823,False,,,,0,0,2,2,False
cal_positive_0p10_G0,v6_cal_pair_00,positive,left,left,none,8,2726,3000,2726,,,[],0.0252962876111269,True,,,,0,0,10,10,False
cal_positive_0p10_G0,v6_cal_pair_00,positive,left,right,none,0,37,328,37,,,[],0.0029583321884274483,True,,,,0,0,10,10,False
cal_positive_0p10_G0,v6_cal_pair_00,positive,left,right,none,1,634,952,634,,,[],0.005484934896230698,True,,,,0,0,10,10,False
cal_positive_0p10_G0,v6_cal_pair_00,positive,left,right,none,2,958,961,958,,,[],0.0004285957256797701,False,,,,0,0,3,3,False
cal_positive_0p10_G0,v6_cal_pair_00,positive,left,right,none,3,1243,1574,1243,,,[],0.004478354938328266,True,,,,0,0,10,10,False
cal_positive_0p10_G0,v6_cal_pair_00,positive,left,right,none,4,1837,2165,1837,,,[],0.006188435014337301,True,,,,0,0,10,10,False
cal_positive_0p10_G0,v6_cal_pair_00,positive,left,right,none,5,2430,2753,2430,,,[],0.00681097200140357,True,,,,0,0,10,10,False
cal_control_0p10_G0,v6_cal_pair_00,control,left,left,none,0,39,89,39,,,[],0.0006759577081538737,True,,,,0,0,10,19,False
cal_control_0p10_G0,v6_cal_pair_00,control,left,left,none,1,304,684,304,,,[],0.007874986156821251,True,,,,0,0,10,13,False
cal_control_0p10_G0,v6_cal_pair_00,control,left,left,none,2,944,1297,944,,,[],0.0016066455282270908,True,,,,0,0,10,10,False
cal_control_0p10_G0,v6_cal_pair_00,control,left,left,none,3,1553,1887,1553,,,[],0.0011975339148193598,True,,,,0,0,10,15,False
cal_control_0p10_G0,v6_cal_pair_00,control,left,left,none,4,2151,2486,2151,,,[],0.00154689303599298,True,,,,0,0,10,15,False
cal_control_0p10_G0,v6_cal_pair_00,control,left,left,none,5,2748,3000,2748,,,[],0.0016271721106022596,True,,,,0,0,10,10,False
cal_control_0p10_G0,v6_cal_pair_00,control,left,right,none,0,37,328,37,,,[],0.0029583321884274483,True,,,,0,0,10,10,False
cal_control_0p10_G0,v6_cal_pair_00,control,left,right,none,1,641,984,641,,,[],0.004789873491972685,True,,,,0,0,10,10,False
cal_control_0p10_G0,v6_cal_pair_00,control,left,right,none,2,1252,1601,1252,,,[],0.004702803213149309,True,,,,0,0,10,11,False
cal_control_0p10_G0,v6_cal_pair_00,control,left,right,none,3,1849,2187,1849,,,[],0.00465361075475812,True,,,,0,0,10,10,False
cal_control_0p10_G0,v6_cal_pair_00,control,left,right,none,4,2447,2785,2447,,,[],0.004942239262163639,True,,,,0,0,10,10,False
cal_positive_0p10_G1,v6_cal_pair_01,positive,left,left,none,0,39,89,39,,,[],0.0006751802284270525,True,,,,0,0,10,19,False
cal_positive_0p10_G1,v6_cal_pair_01,positive,left,left,none,1,304,568,304,,,[],0.030721906572580338,True,,,,0,0,10,12,False
cal_positive_0p10_G1,v6_cal_pair_01,positive,left,left,none,2,569,668,569,,,[],0.00609892001375556,True,,,,0,0,10,18,False
cal_positive_0p10_G1,v6_cal_pair_01,positive,left,left,none,3,923,1284,923,,,[],0.009051493369042873,True,,,,0,0,10,14,False
cal_positive_0p10_G1,v6_cal_pair_01,positive,left,left,none,4,1539,1863,1539,,,[],0.030890384688973427,True,,,,0,0,10,10,False
cal_positive_0p10_G1,v6_cal_pair_01,positive,left,left,none,5,2134,2354,2134,,,[],0.006208505015820265,True,,,,0,0,10,10,False
cal_positive_0p10_G1,v6_cal_pair_01,positive,left,left,none,6,2355,2480,2355,,,[],0.0016879369504749775,True,,,,0,0,10,10,False
cal_positive_0p10_G1,v6_cal_pair_01,positive,left,left,none,7,2736,3000,2736,,,[],0.013530240394175053,True,,,,0,0,10,10,False
cal_positive_0p10_G1,v6_cal_pair_01,positive,left,right,none,0,37,328,37,,,[],0.0029507323633879423,True,,,,0,0,10,10,False
cal_positive_0p10_G1,v6_cal_pair_01,positive,left,right,none,1,630,947,630,,,[],0.006409855559468269,True,,,,0,0,10,10,False
cal_positive_0p10_G1,v6_cal_pair_01,positive,left,right,none,2,1243,1569,1243,,,[],0.004363207146525383,True,,,,0,0,10,10,False
cal_positive_0p10_G1,v6_cal_pair_01,positive,left,right,none,3,1835,2164,1835,,,[],0.006932002492249012,True,,,,0,0,10,10,False
cal_positive_0p10_G1,v6_cal_pair_01,positive,left,right,none,4,2437,2767,2437,,,[],0.004976782947778702,True,,,,0,0,10,10,False
cal_control_0p10_G1,v6_cal_pair_01,control,left,left,none,0,39,89,39,,,[],0.0006751802284270525,True,,,,0,0,10,19,False
cal_control_0p10_G1,v6_cal_pair_01,control,left,left,none,1,304,669,304,,,[],0.007936532609164715,True,,,,0,0,10,10,False
cal_control_0p10_G1,v6_cal_pair_01,control,left,left,none,2,670,681,670,,,[],0.0006736533250659704,True,,,,0,0,10,10,False
cal_control_0p10_G1,v6_cal_pair_01,control,left,left,none,3,943,1285,943,,,[],0.00162646290846169,True,,,,0,0,10,10,False
cal_control_0p10_G1,v6_cal_pair_01,control,left,left,none,4,1553,1881,1553,,,[],0.001358112902380526,True,,,,0,0,10,11,False
cal_control_0p10_G1,v6_cal_pair_01,control,left,left,none,5,2152,2480,2152,,,[],0.001485418644733727,True,,,,0,0,10,10,False
cal_control_0p10_G1,v6_cal_pair_01,control,left,left,none,6,2749,3000,2749,,,[],0.0016183523694053292,True,,,,0,0,10,10,False
cal_control_0p10_G1,v6_cal_pair_01,control,left,right,none,0,37,328,37,,,[],0.0029507323633879423,True,,,,0,0,10,10,False
cal_control_0p10_G1,v6_cal_pair_01,control,left,right,none,1,642,984,642,,,[],0.004747082944959402,True,,,,0,0,10,10,False
cal_control_0p10_G1,v6_cal_pair_01,control,left,right,none,2,1253,1604,1253,,,[],0.004570354707539082,True,,,,0,0,10,14,False
cal_control_0p10_G1,v6_cal_pair_01,control,left,right,none,3,1850,2188,1850,,,[],0.004576163366436958,True,,,,0,0,10,10,False
cal_control_0p10_G1,v6_cal_pair_01,control,left,right,none,4,2449,2785,2449,,,[],0.004690004978328943,True,,,,0,0,10,10,False
cal_positive_0p10_G2,v6_cal_pair_02,positive,left,left,none,0,39,89,39,,,[],0.0006751868641003966,True,,,,0,0,10,19,False
cal_positive_0p10_G2,v6_cal_pair_02,positive,left,left,none,1,304,568,304,,,[],0.030722133815288544,True,,,,0,0,10,12,False
cal_positive_0p10_G2,v6_cal_pair_02,positive,left,left,none,2,569,668,569,,,[],0.006099022459238768,True,,,,0,0,10,18,False
cal_positive_0p10_G2,v6_cal_pair_02,positive,left,left,none,3,923,1284,923,,,[],0.009051604196429253,True,,,,0,0,10,14,False
cal_positive_0p10_G2,v6_cal_pair_02,positive,left,left,none,4,1539,1863,1539,,,[],0.03089050017297268,True,,,,0,0,10,10,False
cal_positive_0p10_G2,v6_cal_pair_02,positive,left,left,none,5,2134,2354,2134,,,[],0.006208505015820265,True,,,,0,0,10,10,False
cal_positive_0p10_G2,v6_cal_pair_02,positive,left,left,none,6,2355,2480,2355,,,[],0.0016879073809832335,True,,,,0,0,10,10,False
cal_positive_0p10_G2,v6_cal_pair_02,positive,left,left,none,7,2736,3000,2736,,,[],0.013530255295336246,True,,,,0,0,10,10,False
cal_positive_0p10_G2,v6_cal_pair_02,positive,left,right,none,0,37,328,37,,,[],0.0029506974387913942,True,,,,0,0,10,10,False
cal_positive_0p10_G2,v6_cal_pair_02,positive,left,right,none,1,630,947,630,,,[],0.006409911438822746,True,,,,0,0,10,10,False
cal_positive_0p10_G2,v6_cal_pair_02,positive,left,right,none,2,1243,1569,1243,,,[],0.00436320248991251,True,,,,0,0,10,10,False
cal_positive_0p10_G2,v6_cal_pair_02,positive,left,right,none,3,1835,2164,1835,,,[],0.006932000629603863,True,,,,0,0,10,10,False
cal_positive_0p10_G2,v6_cal_pair_02,positive,left,right,none,4,2437,2767,2437,,,[],0.004976780619472265,True,,,,0,0,10,10,False
cal_control_0p10_G2,v6_cal_pair_02,control,left,left,none,0,39,89,39,,,[],0.0006751868641003966,True,,,,0,0,10,19,False
cal_control_0p10_G2,v6_cal_pair_02,control,left,left,none,1,304,684,304,,,[],0.007917727343738079,True,,,,0,0,10,13,False
cal_control_0p10_G2,v6_cal_pair_02,control,left,left,none,2,944,1296,944,,,[],0.001592497923411429,True,,,,0,0,10,10,False
cal_control_0p10_G2,v6_cal_pair_02,control,left,left,none,3,1553,1887,1553,,,[],0.0012026734184473753,True,,,,0,0,10,15,False
cal_control_0p10_G2,v6_cal_pair_02,control,left,left,none,4,2151,2486,2151,,,[],0.0015394785441458225,True,,,,0,0,10,15,False
cal_control_0p10_G2,v6_cal_pair_02,control,left,left,none,5,2748,3000,2748,,,[],0.001630478072911501,True,,,,0,0,10,10,False
cal_control_0p10_G2,v6_cal_pair_02,control,left,right,none,0,37,328,37,,,[],0.0029506974387913942,True,,,,0,0,10,10,False
cal_control_0p10_G2,v6_cal_pair_02,control,left,right,none,1,641,984,641,,,[],0.0047725108452141285,True,,,,0,0,10,10,False
cal_control_0p10_G2,v6_cal_pair_02,control,left,right,none,2,1252,1600,1252,,,[],0.004626522306352854,True,,,,0,0,10,10,False
