block,run_index,run_id,pair_id,status,full_trace_sha256,discarded,replaced,silently_relabelled
calibration,0,cal_positive_0p10_G0,v6_cal_pair_00,EXECUTED_AND_RETAINED,d3bc448ac0eca81e508eb6cbc51e59a14aacc07948178352bb5a2dcea4df93d3,False,False,False
calibration,1,cal_control_0p10_G0,v6_cal_pair_00,EXECUTED_AND_RETAINED,430bb8ff19278d9bd4591b05a9cc2bf10a6c182e430c621a1273bfc4963ced47,False,False,False
calibration,2,cal_positive_0p10_G1,v6_cal_pair_01,EXECUTED_AND_RETAINED,14bfcd42a7a81a8430c4d50e247ea6c7f87dc2eb397844e5a7612ff25aa787c9,False,False,False
calibration,3,cal_control_0p10_G1,v6_cal_pair_01,EXECUTED_AND_RETAINED,f79a4eaf3548633dc9362db9af7b70fac8921fca278cdd9adbc0ee1ab2cb12ae,False,False,False
calibration,4,cal_positive_0p10_G2,v6_cal_pair_02,EXECUTED_AND_RETAINED,85e03b2399fb4da57f41f0cb001474cf433be09a843628ad8ddcd8f43feccbd1,False,False,False
calibration,5,cal_control_0p10_G2,v6_cal_pair_02,EXECUTED_AND_RETAINED,d5a99f0b32ac5f96c1b8f6afb1c9a2bb099f66cb16b8c51087bc9cf39884466c,False,False,False
calibration,6,cal_positive_0p10_G3,v6_cal_pair_03,EXECUTED_AND_RETAINED,15222cf772713ce5b1150d35d05a6f81714bfb2a4b9b7c35dbc6ab52fe9214ce,False,False,False
calibration,7,cal_control_0p10_G3,v6_cal_pair_03,EXECUTED_AND_RETAINED,6fc816d03044e7732871949f945eed3114f959d857ee5cab06fed6d06ea02191,False,False,False
calibration,8,cal_positive_0p15_G0,v6_cal_pair_04,EXECUTED_AND_RETAINED,96c614e58b2a3b4f0cf20a08275bf58a370b77487768cde7f54dd3b7bc1fee11,False,False,False
calibration,9,cal_control_0p15_G0,v6_cal_pair_04,EXECUTED_AND_RETAINED,d558f4cd5d1367b4eb9d20f7a174a29c14bdb26d001b99f06ece2a135da80ce0,False,False,False
calibration,10,cal_positive_0p15_G1,v6_cal_pair_05,EXECUTED_AND_RETAINED,415b2d66624b0acee9d38c6ae01c19c43b80855d20b05088c15d10a3aac48b39,False,False,False
calibration,11,cal_control_0p15_G1,v6_cal_pair_05,EXECUTED_AND_RETAINED,2e2f8a3f2c9869124f8d908b75caeb089e8ed65b98a5227cd3882187fa25c01b,False,False,False
calibration,12,cal_positive_0p15_G2,v6_cal_pair_06,EXECUTED_AND_RETAINED,2bf77272565f8f5522fe54e13ae7dcceb70565a08b962c3491bd8e39c3f2a046,False,False,False
calibration,13,cal_control_0p15_G2,v6_cal_pair_06,EXECUTED_AND_RETAINED,1a0e51794eb14904a3892dc618826b8da57cb2bafdb5ed58f49bae73626b4a58,False,False,False
calibration,14,cal_positive_0p15_G3,v6_cal_pair_07,EXECUTED_AND_RETAINED,c8f1cc0cf3b1285038816f5f0e344ad62b318f92b258cb4512745a5baa446fc7,False,False,False
calibration,15,cal_control_0p15_G3,v6_cal_pair_07,EXECUTED_AND_RETAINED,03e5b008f87b69335aedea1b4708b610655c3f509b9d9f85e41580182876268c,False,False,False
calibration,16,cal_positive_0p20_G0,v6_cal_pair_08,EXECUTED_AND_RETAINED,1d8ce66efb775ea85c621565e2e8e2a2131a6db838dbb073e745ca52d3f29bae,False,False,False
calibration,17,cal_control_0p20_G0,v6_cal_pair_08,EXECUTED_AND_RETAINED,c71a4ccc2834898099966c8cb5baadf3120fd2226dbcd4a7ddc6793ec51f18f1,False,False,False
calibration,18,cal_positive_0p20_G1,v6_cal_pair_09,EXECUTED_AND_RETAINED,1ae3453c3e8033da6cae8a334df6a703f157fe46f680b49bd0759925d340a95c,False,False,False
calibration,19,cal_control_0p20_G1,v6_cal_pair_09,EXECUTED_AND_RETAINED,77b71dbb2abde1ae916139e5557101e42eefe6f7ca1550b4ce211f3d8b107a36,False,False,False
calibration,20,cal_positive_0p20_G2,v6_cal_pair_10,EXECUTED_AND_RETAINED,62df092664fbdad63afd68034a59ab9cc47803e2a1a226763e1e33292eef4303,False,False,False
calibration,21,cal_control_0p20_G2,v6_cal_pair_10,EXECUTED_AND_RETAINED,573624d7574c7e83b72045410f52c46b5e3b7eeb95f3776557595b5688236189,False,False,False
calibration,22,cal_positive_0p20_G3,v6_cal_pair_11,EXECUTED_AND_RETAINED,a3ee9db093d18f79afb25924b5cd79a344968680ea3b59328d015a2859b943cb,False,False,False
calibration,23,cal_control_0p20_G3,v6_cal_pair_11,EXECUTED_AND_RETAINED,2717ee231c0feaf918edf3202b88a77b33a6da3b6d78080d73175799e38fa516,False,False,False
