candidate_id,evaluation_scope,outer_fold,config_id,threshold,persistence_ms,actionable_margin,hysteresis,actionable_episode_count,actionable_episode_detected,actionable_episode_recall,affected_foot_accuracy,crossing_count,median_warning_margin_ms,p95_warning_margin_ms,median_late_latency_ms,p95_late_latency_ms,normal_run_fp,normal_contact_episode_fp,too_early_activation,air_firing,touchdown_transient_firing,invalid_firing,postfall_firing,latch_carryover,cross_foot_ownership_violation
R1_seed_202608231,OUT_OF_FOLD_ONCE,0,t0.99_p5_m0.10_h0.05,0.99,5,0.1,0.05,170,4,0.023529411764705882,1.0,17,11.0,27.2,0.0,36.54999999999998,0,13,0,0,0,12,12,0,0
R1_seed_202608231,OUT_OF_FOLD_ONCE,1,t0.99_p5_m0.10_h0.05,0.99,5,0.1,0.05,183,1,0.00546448087431694,1.0,23,9.0,9.0,0.0,0.0,0,20,2,0,0,16,16,0,1
R1_seed_202608231,OUT_OF_FOLD_ONCE,2,t0.99_p5_m0.10_h0.05,0.99,5,0.1,0.05,118,1,0.00847457627118644,1.0,25,9.0,9.0,0.0,0.0,0,24,0,0,0,24,24,0,0
R1_seed_202608232,OUT_OF_FOLD_ONCE,0,t0.99_p5_m0.10_h0.05,0.99,5,0.1,0.05,170,16,0.09411764705882353,1.0,45,20.0,71.89999999999999,0.0,2.0,0,26,3,0,0,15,15,0,2
R1_seed_202608232,OUT_OF_FOLD_ONCE,1,t0.99_p5_m0.10_h0.05,0.99,5,0.1,0.05,183,13,0.07103825136612021,1.0,27,50.0,75.6,0.0,2.79999999999999,0,13,1,0,0,7,7,0,0
R1_seed_202608232,OUT_OF_FOLD_ONCE,2,t0.99_p5_m0.10_h0.05,0.99,5,0.1,0.05,118,3,0.025423728813559324,1.0,47,59.0,70.7,0.0,0.0,0,41,3,0,0,32,32,0,0
R1_seed_202608233,OUT_OF_FOLD_ONCE,0,t0.99_p5_m0.10_h0.05,0.99,5,0.1,0.05,170,11,0.06470588235294118,1.0,47,67.0,91.0,0.0,22.0,0,35,1,0,0,17,17,0,2
R1_seed_202608233,OUT_OF_FOLD_ONCE,1,t0.99_p5_m0.10_h0.05,0.99,5,0.1,0.05,183,17,0.09289617486338798,1.0,61,43.0,75.39999999999995,0.0,302.2,0,41,3,0,0,24,24,0,4
R1_seed_202608233,OUT_OF_FOLD_ONCE,2,t0.99_p5_m0.10_h0.05,0.99,5,0.1,0.05,118,11,0.09322033898305085,1.0,61,79.0,97.0,0.0,13.5,0,47,2,0,0,36,36,0,0
R2_seed_202608231,OUT_OF_FOLD_ONCE,0,t0.99_p5_m0.10_h0.05,0.99,5,0.1,0.05,170,7,0.041176470588235294,1.0,26,20.0,28.25,0.0,2.099999999999998,0,18,1,0,0,11,11,0,0
R2_seed_202608231,OUT_OF_FOLD_ONCE,1,t0.99_p5_m0.10_h0.05,0.99,5,0.1,0.05,183,22,0.12021857923497267,1.0,75,17.5,61.299999999999976,0.0,94.84999999999995,9,51,2,0,0,19,19,0,2
R2_seed_202608231,OUT_OF_FOLD_ONCE,2,t0.99_p5_m0.10_h0.05,0.99,5,0.1,0.05,118,10,0.0847457627118644,1.0,53,26.5,77.0,0.0,307.29999999999995,0,43,0,0,0,32,32,0,0
R2_seed_202608232,OUT_OF_FOLD_ONCE,0,t0.99_p5_m0.10_h0.05,0.99,5,0.1,0.05,170,4,0.023529411764705882,1.0,26,18.5,29.75,0.5,22.249999999999993,0,21,1,0,0,13,13,0,1
R2_seed_202608232,OUT_OF_FOLD_ONCE,1,t0.99_p5_m0.10_h0.05,0.99,5,0.1,0.05,183,18,0.09836065573770492,1.0,48,57.0,84.24999999999999,106.5,448.19999999999993,0,30,0,0,0,15,15,0,7
R2_seed_202608232,OUT_OF_FOLD_ONCE,2,t0.99_p5_m0.10_h0.05,0.99,5,0.1,0.05,118,1,0.00847457627118644,1.0,27,,,9.0,9.0,0,25,1,0,0,18,18,0,1
R2_seed_202608233,OUT_OF_FOLD_ONCE,0,t0.99_p5_m0.10_h0.05,0.99,5,0.1,0.05,170,12,0.07058823529411765,1.0,53,28.0,62.0,0.0,0.8999999999999986,0,39,2,0,0,25,25,0,5
R2_seed_202608233,OUT_OF_FOLD_ONCE,1,t0.99_p5_m0.10_h0.05,0.99,5,0.1,0.05,183,0,0.0,0.0,1,,,,,0,1,0,0,0,1,1,0,0
R2_seed_202608233,OUT_OF_FOLD_ONCE,2,t0.99_p5_m0.10_h0.05,0.99,5,0.1,0.05,118,1,0.00847457627118644,1.0,36,5.0,5.0,0.0,0.0,0,34,1,0,0,29,29,0,0
R3_seed_202608231,OUT_OF_FOLD_ONCE,0,t0.99_p5_m0.10_h0.05,0.99,5,0.1,0.05,170,22,0.12941176470588237,1.0,85,54.0,74.0,0.0,0.0,1,57,6,0,0,21,21,0,11
R3_seed_202608231,OUT_OF_FOLD_ONCE,1,t0.99_p5_m0.10_h0.05,0.99,5,0.1,0.05,183,41,0.22404371584699453,1.0,198,55.0,91.0,0.0,91.0,0,142,10,0,0,23,23,0,34
R3_seed_202608231,OUT_OF_FOLD_ONCE,2,t0.99_p5_m0.10_h0.05,0.99,5,0.1,0.05,118,32,0.2711864406779661,1.0,156,58.0,94.39999999999998,0.0,34.09999999999997,0,114,7,0,0,33,33,0,6
R3_seed_202608232,OUT_OF_FOLD_ONCE,0,t0.99_p5_m0.10_h0.05,0.99,5,0.1,0.05,170,16,0.09411764705882353,1.0,65,29.0,67.0,0.0,93.0,0,42,7,0,0,19,19,0,1
R3_seed_202608232,OUT_OF_FOLD_ONCE,1,t0.99_p5_m0.10_h0.05,0.99,5,0.1,0.05,183,23,0.12568306010928962,1.0,118,53.0,78.39999999999995,0.0,132.89999999999995,6,89,5,0,0,22,22,0,18
R3_seed_202608232,OUT_OF_FOLD_ONCE,2,t0.99_p5_m0.10_h0.05,0.99,5,0.1,0.05,118,15,0.1271186440677966,1.0,78,55.0,94.0,5.0,129.8999999999999,0,62,1,0,0,37,37,0,3
R3_seed_202608233,OUT_OF_FOLD_ONCE,0,t0.99_p5_m0.10_h0.05,0.99,5,0.1,0.05,170,39,0.22941176470588234,1.0,142,42.5,85.8,0.0,103.50000000000003,9,101,1,0,0,35,35,0,13
R3_seed_202608233,OUT_OF_FOLD_ONCE,1,t0.99_p5_m0.10_h0.05,0.99,5,0.1,0.05,183,26,0.14207650273224043,1.0,113,38.0,78.14999999999999,0.0,185.5,0,76,10,0,0,5,5,0,18
R3_seed_202608233,OUT_OF_FOLD_ONCE,2,t0.99_p5_m0.10_h0.05,0.99,5,0.1,0.05,118,28,0.23728813559322035,1.0,116,25.0,37.35000000000001,0.0,102.49999999999999,0,83,3,0,0,37,37,0,9
