candidate_id,affected_foot,actionable_episode_count,detected_count,actionable_episode_recall
R1_seed_202608231,left,229,2,0.008733624454148471
R1_seed_202608231,right,242,4,0.01652892561983471
R1_seed_202608232,left,229,19,0.08296943231441048
R1_seed_202608232,right,242,13,0.05371900826446281
R1_seed_202608233,left,229,21,0.09170305676855896
R1_seed_202608233,right,242,18,0.0743801652892562
R2_seed_202608231,left,229,19,0.08296943231441048
R2_seed_202608231,right,242,20,0.08264462809917356
R2_seed_202608232,left,229,8,0.034934497816593885
R2_seed_202608232,right,242,15,0.06198347107438017
R2_seed_202608233,left,229,7,0.03056768558951965
R2_seed_202608233,right,242,6,0.024793388429752067
R3_seed_202608231,left,229,28,0.1222707423580786
R3_seed_202608231,right,242,67,0.2768595041322314
R3_seed_202608232,left,229,25,0.1091703056768559
R3_seed_202608232,right,242,29,0.11983471074380166
R3_seed_202608233,left,229,34,0.14847161572052403
R3_seed_202608233,right,242,59,0.24380165289256198
