candidate_id,speed_mps,actionable_episode_count,detected_count,actionable_episode_recall
R1_seed_202608231,0.1,165,3,0.01818181818181818
R1_seed_202608231,0.15,156,3,0.019230769230769232
R1_seed_202608231,0.2,150,0,0.0
R1_seed_202608232,0.1,165,8,0.048484848484848485
R1_seed_202608232,0.15,156,11,0.07051282051282051
R1_seed_202608232,0.2,150,13,0.08666666666666667
R1_seed_202608233,0.1,165,14,0.08484848484848485
R1_seed_202608233,0.15,156,15,0.09615384615384616
R1_seed_202608233,0.2,150,10,0.06666666666666667
R2_seed_202608231,0.1,165,20,0.12121212121212122
R2_seed_202608231,0.15,156,11,0.07051282051282051
R2_seed_202608231,0.2,150,8,0.05333333333333334
R2_seed_202608232,0.1,165,13,0.07878787878787878
R2_seed_202608232,0.15,156,8,0.05128205128205128
R2_seed_202608232,0.2,150,2,0.013333333333333334
R2_seed_202608233,0.1,165,5,0.030303030303030304
R2_seed_202608233,0.15,156,4,0.02564102564102564
R2_seed_202608233,0.2,150,4,0.02666666666666667
R3_seed_202608231,0.1,165,35,0.21212121212121213
R3_seed_202608231,0.15,156,29,0.1858974358974359
R3_seed_202608231,0.2,150,31,0.20666666666666667
R3_seed_202608232,0.1,165,20,0.12121212121212122
R3_seed_202608232,0.15,156,19,0.12179487179487179
R3_seed_202608232,0.2,150,15,0.1
R3_seed_202608233,0.1,165,37,0.22424242424242424
R3_seed_202608233,0.15,156,30,0.19230769230769232
R3_seed_202608233,0.2,150,26,0.17333333333333334
