sample,foot,runtime_episode_id,actionable_score,normal_score,early_score,active_score,persistence,owner_foot,simultaneous_candidate_count,reconciliation_rule,candidate_id,evaluation_scope,outer_fold,run_id,speed_mps,physical_episode_id,physical_event_present,air_firing,touchdown_transient_firing,invalid_firing,postfall_firing,too_early_activation,cross_foot_ownership_violation
2279,0,64,0.9954735636711121,7.784904312987603e-14,3.78163495042827e-05,0.004488564096391201,5,0,1,highest_actionable_score_then_left,R1_seed_202608231,OUT_OF_FOLD_ONCE,0,ice_native_0p10_v00,0.1,63,True,False,False,False,False,False,False
1954,0,3,0.9936171770095825,1.7514977061826474e-17,1.9689034047587484e-07,0.006382558960467577,5,0,1,highest_actionable_score_then_left,R1_seed_202608231,OUT_OF_FOLD_ONCE,0,sand_solref_interpolation_2of3_0p15_v03,0.15,3,True,False,False,True,True,False,False
2784,1,11,1.0,0.0,5.711272565989134e-10,6.236670208048523e-11,5,1,1,highest_actionable_score_then_left,R1_seed_202608231,OUT_OF_FOLD_ONCE,0,sand_solref_interpolation_2of3_0p15_v03,0.15,11,False,False,False,True,True,False,False
1938,0,3,0.9905174374580383,4.979342348331774e-31,0.00018904976604972035,0.009293547831475735,5,0,1,highest_actionable_score_then_left,R1_seed_202608231,OUT_OF_FOLD_ONCE,0,sand_solref_interpolation_3of4_stronger_v2_0p15_v03,0.15,3,False,False,False,True,True,False,False
2634,0,6,1.0,0.0,6.050124466968156e-16,8.371185689082239e-12,5,0,1,highest_actionable_score_then_left,R1_seed_202608231,OUT_OF_FOLD_ONCE,0,sand_solref_interpolation_3of4_stronger_v2_0p15_v03,0.15,5,False,False,False,True,True,False,False
2651,1,12,1.0,5.612480609313757e-41,2.8675425867776298e-15,3.0236019910034884e-08,5,1,1,highest_actionable_score_then_left,R1_seed_202608231,OUT_OF_FOLD_ONCE,0,sand_solref_interpolation_3of4_stronger_v2_0p15_v03,0.15,11,False,False,False,True,True,False,False
1953,0,5,0.9997444748878479,1.6628788486603307e-40,1.8319579543327833e-29,0.0002555270039010793,5,0,1,highest_actionable_score_then_left,R1_seed_202608231,OUT_OF_FOLD_ONCE,0,sand_solref_interpolation_5of6_stronger_v2_0p15_v03,0.15,3,False,False,False,True,True,False,False
2151,1,75,1.0,0.0,4.776148660595725e-12,5.472897829372769e-11,5,1,1,highest_actionable_score_then_left,R1_seed_202608231,OUT_OF_FOLD_ONCE,0,positive_0p10_left_early_loading_native_strong_ice_v0,0.1,75,False,False,False,True,True,False,False
1850,1,85,0.9946556091308594,0.0,0.0,0.005344431847333908,5,1,1,highest_actionable_score_then_left,R1_seed_202608231,OUT_OF_FOLD_ONCE,0,positive_0p15_right_early_loading_native_strong_ice_v0,0.15,75,False,False,False,True,True,False,False
1804,0,9,1.0,0.0,0.0,5.097860758190402e-25,5,0,1,highest_actionable_score_then_left,R1_seed_202608231,OUT_OF_FOLD_ONCE,0,positive_0p20_right_early_loading_native_strong_ice_v0,0.2,9,False,False,False,True,True,False,False
