run_id,source_acquisition_version,role,severity,source_valid,eligibility,training_eligible,included,exclusion_enforced,reason
positive_0p10_left_early_loading_native_strong_ice_v0,v5_strong,positive,native_strong_ice,True,POSITIVE_ELIGIBLE,True,True,False,valid physical source/control
control_0p10_left_early_loading_native_strong_ice_v0,v5_strong,control,native_strong_ice,True,CONTROL_ELIGIBLE,True,True,False,valid physical source/control
positive_0p10_left_early_loading_native_strong_ice_v1,v5_strong,positive,native_strong_ice,True,POSITIVE_ELIGIBLE,True,True,False,valid physical source/control
control_0p10_left_early_loading_native_strong_ice_v1,v5_strong,control,native_strong_ice,True,CONTROL_ELIGIBLE,True,True,False,valid physical source/control
positive_0p10_left_early_loading_native_strong_ice_v2,v5_strong,positive,native_strong_ice,True,POSITIVE_ELIGIBLE,True,True,False,valid physical source/control
control_0p10_left_early_loading_native_strong_ice_v2,v5_strong,control,native_strong_ice,True,CONTROL_ELIGIBLE,True,True,False,valid physical source/control
positive_0p10_left_mid_loading_early_stance_native_strong_ice_v0,v5_strong,positive,native_strong_ice,True,POSITIVE_ELIGIBLE,True,True,False,valid physical source/control
control_0p10_left_mid_loading_early_stance_native_strong_ice_v0,v5_strong,control,native_strong_ice,True,CONTROL_ELIGIBLE,True,True,False,valid physical source/control
positive_0p10_left_mid_loading_early_stance_native_strong_ice_v1,v5_strong,positive,native_strong_ice,True,POSITIVE_ELIGIBLE,True,True,False,valid physical source/control
control_0p10_left_mid_loading_early_stance_native_strong_ice_v1,v5_strong,control,native_strong_ice,True,CONTROL_ELIGIBLE,True,True,False,valid physical source/control
positive_0p10_left_mid_loading_early_stance_native_strong_ice_v2,v5_strong,positive,native_strong_ice,True,POSITIVE_ELIGIBLE,True,True,False,valid physical source/control
control_0p10_left_mid_loading_early_stance_native_strong_ice_v2,v5_strong,control,native_strong_ice,True,CONTROL_ELIGIBLE,True,True,False,valid physical source/control
positive_0p10_left_mid_late_stance_native_strong_ice_v0,v5_strong,positive,native_strong_ice,True,POSITIVE_ELIGIBLE,True,True,False,valid physical source/control
control_0p10_left_mid_late_stance_native_strong_ice_v0,v5_strong,control,native_strong_ice,True,CONTROL_ELIGIBLE,True,True,False,valid physical source/control
positive_0p10_left_mid_late_stance_native_strong_ice_v1,v5_strong,positive,native_strong_ice,True,POSITIVE_ELIGIBLE,True,True,False,valid physical source/control
control_0p10_left_mid_late_stance_native_strong_ice_v1,v5_strong,control,native_strong_ice,True,CONTROL_ELIGIBLE,True,True,False,valid physical source/control
positive_0p10_left_mid_late_stance_native_strong_ice_v2,v5_strong,positive,native_strong_ice,True,POSITIVE_ELIGIBLE,True,True,False,valid physical source/control
control_0p10_left_mid_late_stance_native_strong_ice_v2,v5_strong,control,native_strong_ice,True,CONTROL_ELIGIBLE,True,True,False,valid physical source/control
positive_0p10_right_early_loading_native_strong_ice_v0,v5_strong,positive,native_strong_ice,True,POSITIVE_ELIGIBLE,True,True,False,valid physical source/control
control_0p10_right_early_loading_native_strong_ice_v0,v5_strong,control,native_strong_ice,True,CONTROL_ELIGIBLE,True,True,False,valid physical source/control
positive_0p10_right_early_loading_native_strong_ice_v1,v5_strong,positive,native_strong_ice,True,POSITIVE_ELIGIBLE,True,True,False,valid physical source/control
control_0p10_right_early_loading_native_strong_ice_v1,v5_strong,control,native_strong_ice,True,CONTROL_ELIGIBLE,True,True,False,valid physical source/control
positive_0p10_right_early_loading_native_strong_ice_v2,v5_strong,positive,native_strong_ice,True,POSITIVE_ELIGIBLE,True,True,False,valid physical source/control
control_0p10_right_early_loading_native_strong_ice_v2,v5_strong,control,native_strong_ice,True,CONTROL_ELIGIBLE,True,True,False,valid physical source/control
positive_0p10_right_mid_loading_early_stance_native_strong_ice_v0,v5_strong,positive,native_strong_ice,True,POSITIVE_ELIGIBLE,True,True,False,valid physical source/control
control_0p10_right_mid_loading_early_stance_native_strong_ice_v0,v5_strong,control,native_strong_ice,True,CONTROL_ELIGIBLE,True,True,False,valid physical source/control
positive_0p10_right_mid_loading_early_stance_native_strong_ice_v1,v5_strong,positive,native_strong_ice,True,POSITIVE_ELIGIBLE,True,True,False,valid physical source/control
control_0p10_right_mid_loading_early_stance_native_strong_ice_v1,v5_strong,control,native_strong_ice,True,CONTROL_ELIGIBLE,True,True,False,valid physical source/control
positive_0p10_right_mid_loading_early_stance_native_strong_ice_v2,v5_strong,positive,native_strong_ice,True,POSITIVE_ELIGIBLE,True,True,False,valid physical source/control
