candidate_id,outer_fold,source_fold,run_id,selected_sample_foot_count,normal_count,early_count,wrong_foot_count,bilateral_ambiguous_count,evaluated_fold_used,multiplier
R1_seed_202608231,0,1,marble_native_0p10_v01,128,64,0,0,64,False,4.0
R1_seed_202608231,0,1,concrete_native_0p10_v01,128,64,0,0,64,False,4.0
R1_seed_202608231,0,1,sand_hardened_0p10_v01,128,64,0,0,64,False,4.0
R1_seed_202608231,0,1,ice_native_0p10_v01,128,64,32,32,0,False,4.0
R1_seed_202608231,0,1,sand_solref_interpolation_1of3_0p10_v01,128,64,0,0,64,False,4.0
R1_seed_202608231,0,1,sand_solref_interpolation_2of3_0p10_v01,128,64,0,0,64,False,4.0
R1_seed_202608231,0,1,sand_solref_interpolation_3of4_stronger_v2_0p10_v01,192,64,32,32,64,False,4.0
R1_seed_202608231,0,1,sand_solref_interpolation_5of6_stronger_v2_0p10_v01,190,64,32,30,64,False,4.0
R1_seed_202608231,0,1,marble_native_0p15_v01,128,64,0,0,64,False,4.0
R1_seed_202608231,0,1,concrete_native_0p15_v01,128,64,0,0,64,False,4.0
R1_seed_202608231,0,1,sand_hardened_0p15_v01,128,64,0,0,64,False,4.0
R1_seed_202608231,0,1,ice_native_0p15_v01,176,64,46,64,2,False,4.0
R1_seed_202608231,0,1,sand_solref_interpolation_1of3_0p15_v01,128,64,0,0,64,False,4.0
R1_seed_202608231,0,1,sand_solref_interpolation_2of3_0p15_v01,192,64,32,32,64,False,4.0
R1_seed_202608231,0,1,sand_solref_interpolation_3of4_stronger_v2_0p15_v01,214,64,32,54,64,False,4.0
R1_seed_202608231,0,1,sand_solref_interpolation_5of6_stronger_v2_0p15_v01,195,64,32,35,64,False,4.0
R1_seed_202608231,0,1,marble_native_0p20_v01,128,64,0,0,64,False,4.0
R1_seed_202608231,0,1,concrete_native_0p20_v01,128,64,0,0,64,False,4.0
R1_seed_202608231,0,1,sand_hardened_0p20_v01,128,64,0,0,64,False,4.0
R1_seed_202608231,0,1,ice_native_0p20_v01,203,64,43,32,64,False,4.0
R1_seed_202608231,0,1,sand_solref_interpolation_1of3_0p20_v01,128,64,0,0,64,False,4.0
R1_seed_202608231,0,1,sand_solref_interpolation_2of3_0p20_v01,128,64,0,0,64,False,4.0
R1_seed_202608231,0,1,sand_solref_interpolation_3of4_stronger_v2_0p20_v01,128,64,0,0,64,False,4.0
R1_seed_202608231,0,1,sand_solref_interpolation_5of6_stronger_v2_0p20_v01,128,64,0,0,64,False,4.0
R1_seed_202608231,0,2,marble_native_0p10_v02,128,64,0,0,64,False,4.0
R1_seed_202608231,0,2,concrete_native_0p10_v02,128,64,0,0,64,False,4.0
R1_seed_202608231,0,2,sand_hardened_0p10_v02,128,64,0,0,64,False,4.0
R1_seed_202608231,0,2,ice_native_0p10_v02,175,64,64,47,0,False,4.0
R1_seed_202608231,0,2,sand_solref_interpolation_1of3_0p10_v02,128,64,0,0,64,False,4.0
R1_seed_202608231,0,2,sand_solref_interpolation_2of3_0p10_v02,224,64,64,32,64,False,4.0
R1_seed_202608231,0,2,sand_solref_interpolation_3of4_stronger_v2_0p10_v02,192,64,32,32,64,False,4.0
R1_seed_202608231,0,2,sand_solref_interpolation_5of6_stronger_v2_0p10_v02,192,64,32,32,64,False,4.0
R1_seed_202608231,0,2,marble_native_0p15_v02,128,64,0,0,64,False,4.0
R1_seed_202608231,0,2,concrete_native_0p15_v02,128,64,0,0,64,False,4.0
R1_seed_202608231,0,2,sand_hardened_0p15_v02,128,64,0,0,64,False,4.0
R1_seed_202608231,0,2,ice_native_0p15_v02,210,64,50,32,64,False,4.0
R1_seed_202608231,0,2,sand_solref_interpolation_1of3_0p15_v02,128,64,0,0,64,False,4.0
R1_seed_202608231,0,2,sand_solref_interpolation_2of3_0p15_v02,128,64,0,0,64,False,4.0
R1_seed_202608231,0,2,sand_solref_interpolation_3of4_stronger_v2_0p15_v02,128,64,0,0,64,False,4.0
R1_seed_202608231,0,2,sand_solref_interpolation_5of6_stronger_v2_0p15_v02,128,64,0,0,64,False,4.0
R1_seed_202608231,0,2,marble_native_0p20_v02,128,64,0,0,64,False,4.0
R1_seed_202608231,0,2,concrete_native_0p20_v02,128,64,0,0,64,False,4.0
R1_seed_202608231,0,2,sand_hardened_0p20_v02,128,64,0,0,64,False,4.0
R1_seed_202608231,0,2,ice_native_0p20_v02,171,64,11,32,64,False,4.0
R1_seed_202608231,0,2,sand_solref_interpolation_1of3_0p20_v02,128,64,0,0,64,False,4.0
R1_seed_202608231,0,2,sand_solref_interpolation_2of3_0p20_v02,174,64,32,14,64,False,4.0
R1_seed_202608231,0,2,sand_solref_interpolation_3of4_stronger_v2_0p20_v02,192,64,32,32,64,False,4.0
R1_seed_202608231,0,2,sand_solref_interpolation_5of6_stronger_v2_0p20_v02,192,64,32,32,64,False,4.0
R1_seed_202608231,0,1,marble_native_0p10_v04,128,64,0,0,64,False,4.0
R1_seed_202608231,0,1,concrete_native_0p10_v04,128,64,0,0,64,False,4.0
R1_seed_202608231,0,1,sand_hardened_0p10_v04,128,64,0,0,64,False,4.0
R1_seed_202608231,0,1,ice_native_0p10_v04,198,64,64,64,6,False,4.0
R1_seed_202608231,0,1,sand_solref_interpolation_1of3_0p10_v04,128,64,0,0,64,False,4.0
R1_seed_202608231,0,1,sand_solref_interpolation_2of3_0p10_v04,184,64,32,24,64,False,4.0
R1_seed_202608231,0,1,sand_solref_interpolation_3of4_stronger_v2_0p10_v04,192,64,32,32,64,False,4.0
R1_seed_202608231,0,1,sand_solref_interpolation_5of6_stronger_v2_0p10_v04,192,64,32,32,64,False,4.0
R1_seed_202608231,0,1,marble_native_0p15_v04,128,64,0,0,64,False,4.0
R1_seed_202608231,0,1,concrete_native_0p15_v04,128,64,0,0,64,False,4.0
R1_seed_202608231,0,1,sand_hardened_0p15_v04,128,64,0,0,64,False,4.0
R1_seed_202608231,0,1,ice_native_0p15_v04,256,64,64,64,64,False,4.0
R1_seed_202608231,0,1,sand_solref_interpolation_1of3_0p15_v04,128,64,0,0,64,False,4.0
R1_seed_202608231,0,1,sand_solref_interpolation_2of3_0p15_v04,128,64,0,0,64,False,4.0
R1_seed_202608231,0,1,sand_solref_interpolation_3of4_stronger_v2_0p15_v04,128,64,0,0,64,False,4.0
R1_seed_202608231,0,1,sand_solref_interpolation_5of6_stronger_v2_0p15_v04,128,64,0,0,64,False,4.0
R1_seed_202608231,0,1,marble_native_0p20_v04,128,64,0,0,64,False,4.0
R1_seed_202608231,0,1,concrete_native_0p20_v04,128,64,0,0,64,False,4.0
R1_seed_202608231,0,1,sand_hardened_0p20_v04,128,64,0,0,64,False,4.0
R1_seed_202608231,0,1,ice_native_0p20_v04,256,64,64,64,64,False,4.0
R1_seed_202608231,0,1,sand_solref_interpolation_1of3_0p20_v04,128,64,0,0,64,False,4.0
R1_seed_202608231,0,1,sand_solref_interpolation_2of3_0p20_v04,128,64,0,0,64,False,4.0
R1_seed_202608231,0,1,sand_solref_interpolation_3of4_stronger_v2_0p20_v04,128,64,0,0,64,False,4.0
R1_seed_202608231,0,1,sand_solref_interpolation_5of6_stronger_v2_0p20_v04,128,64,0,0,64,False,4.0
R1_seed_202608231,0,1,positive_0p10_left_early_loading_native_strong_ice_v1,160,64,0,32,64,False,4.0
R1_seed_202608231,0,1,control_0p10_left_early_loading_native_strong_ice_v1,128,64,0,0,64,False,4.0
R1_seed_202608231,0,2,positive_0p10_left_early_loading_native_strong_ice_v2,160,64,0,32,64,False,4.0
R1_seed_202608231,0,2,control_0p10_left_early_loading_native_strong_ice_v2,128,64,0,0,64,False,4.0
R1_seed_202608231,0,1,positive_0p10_left_mid_loading_early_stance_native_strong_ice_v1,160,64,32,0,64,False,4.0
R1_seed_202608231,0,1,control_0p10_left_mid_loading_early_stance_native_strong_ice_v1,128,64,0,0,64,False,4.0
R1_seed_202608231,0,2,positive_0p10_left_mid_loading_early_stance_native_strong_ice_v2,160,64,32,0,64,False,4.0
R1_seed_202608231,0,2,control_0p10_left_mid_loading_early_stance_native_strong_ice_v2,128,64,0,0,64,False,4.0
