fold,state_id,state_name,raw_sample_count,effective_weighted_mass
0,0,NORMAL_NO_EVENT,337915,329306.93267822266
0,1,EARLY_PRECURSOR,8878,9260.105178833008
0,2,ACTIONABLE_RISK,12310,14619.981170654297
0,3,PHYSICAL_ACTIVE_EVIDENCE,8704,14619.981353759766
1,0,NORMAL_NO_EVENT,332969,324751.31170654297
1,1,EARLY_PRECURSOR,12211,11253.083656311035
1,2,ACTIONABLE_RISK,13480,17069.30181121826
1,3,PHYSICAL_ACTIVE_EVIDENCE,11483,17069.30209350586
2,0,NORMAL_NO_EVENT,256832,248224.3446044922
2,1,EARLY_PRECURSOR,9052,9353.718589782715
2,2,ACTIONABLE_RISK,9420,12346.468353271484
2,3,PHYSICAL_ACTIVE_EVIDENCE,6967,12346.468673706055
pooled,0,NORMAL_NO_EVENT,927716,902282.5889892578
pooled,1,EARLY_PRECURSOR,30141,29866.907424926758
pooled,2,ACTIONABLE_RISK,35210,44035.75133514404
pooled,3,PHYSICAL_ACTIVE_EVIDENCE,27154,44035.75212097168
