run_id,fold,source_acquisition,role,pair_id,run_group,variation_group,contact_episode_group,pair_run_variation_episode_leakage
marble_native_0p10_v00,0,existing_valid_120_bilateral_development,hard_negative,,existing_v2:marble_native_0p10_v00,existing_v2:v0,existing_v2:marble_native_0p10_v00:all,0
concrete_native_0p10_v00,0,existing_valid_120_bilateral_development,hard_negative,,existing_v2:concrete_native_0p10_v00,existing_v2:v0,existing_v2:concrete_native_0p10_v00:all,0
sand_hardened_0p10_v00,0,existing_valid_120_bilateral_development,hard_negative,,existing_v2:sand_hardened_0p10_v00,existing_v2:v0,existing_v2:sand_hardened_0p10_v00:all,0
ice_native_0p10_v00,0,existing_valid_120_bilateral_development,slip_candidate,,existing_v2:ice_native_0p10_v00,existing_v2:v0,existing_v2:ice_native_0p10_v00:all,0
sand_solref_interpolation_1of3_0p10_v00,0,existing_valid_120_bilateral_development,sink_candidate,,existing_v2:sand_solref_interpolation_1of3_0p10_v00,existing_v2:v0,existing_v2:sand_solref_interpolation_1of3_0p10_v00:all,0
sand_solref_interpolation_2of3_0p10_v00,0,existing_valid_120_bilateral_development,sink_candidate,,existing_v2:sand_solref_interpolation_2of3_0p10_v00,existing_v2:v0,existing_v2:sand_solref_interpolation_2of3_0p10_v00:all,0
sand_solref_interpolation_3of4_stronger_v2_0p10_v00,0,existing_valid_120_bilateral_development,sink_candidate,,existing_v2:sand_solref_interpolation_3of4_stronger_v2_0p10_v00,existing_v2:v0,existing_v2:sand_solref_interpolation_3of4_stronger_v2_0p10_v00:all,0
sand_solref_interpolation_5of6_stronger_v2_0p10_v00,0,existing_valid_120_bilateral_development,sink_candidate,,existing_v2:sand_solref_interpolation_5of6_stronger_v2_0p10_v00,existing_v2:v0,existing_v2:sand_solref_interpolation_5of6_stronger_v2_0p10_v00:all,0
marble_native_0p15_v00,0,existing_valid_120_bilateral_development,hard_negative,,existing_v2:marble_native_0p15_v00,existing_v2:v0,existing_v2:marble_native_0p15_v00:all,0
concrete_native_0p15_v00,0,existing_valid_120_bilateral_development,hard_negative,,existing_v2:concrete_native_0p15_v00,existing_v2:v0,existing_v2:concrete_native_0p15_v00:all,0
sand_hardened_0p15_v00,0,existing_valid_120_bilateral_development,hard_negative,,existing_v2:sand_hardened_0p15_v00,existing_v2:v0,existing_v2:sand_hardened_0p15_v00:all,0
ice_native_0p15_v00,0,existing_valid_120_bilateral_development,slip_candidate,,existing_v2:ice_native_0p15_v00,existing_v2:v0,existing_v2:ice_native_0p15_v00:all,0
sand_solref_interpolation_1of3_0p15_v00,0,existing_valid_120_bilateral_development,sink_candidate,,existing_v2:sand_solref_interpolation_1of3_0p15_v00,existing_v2:v0,existing_v2:sand_solref_interpolation_1of3_0p15_v00:all,0
sand_solref_interpolation_2of3_0p15_v00,0,existing_valid_120_bilateral_development,sink_candidate,,existing_v2:sand_solref_interpolation_2of3_0p15_v00,existing_v2:v0,existing_v2:sand_solref_interpolation_2of3_0p15_v00:all,0
